,“ú•Ê
3,237.3
6,527.83
11,261.39
12,83.7
14,1156.92
18,74.75
19,13.1
20,94.02
23,56.22
24,59.04
29,168.82
31,150.41
37,126.52
39,208.75
40,20.15
43,233.82
44,150.78
51,94.7
58,83.49
59,12.97
60,37.33
63,50.82
67,299.83
74,59.79
79,85.17
81,33.21
83,265.15
85,142.28
88,12.36
89,58.81
92,9.17
95,444.52
97,1.12
99,57.58
100,1022.79
101,77.15
109,19.56
113,43.45
115,63.84
117,49.82
120,2.99
125,23.34
126,22.28
130,59.76
132,22.81
135,145.38
136,66.26
145,18.05
147,28.53
150,34.72
152,55.79
160,176.97
161,190.49
163,83.06
165,12.23
170,27.52
177,26.21
182,19.51
185,161.74
186,93.44
188,75.76
190,669.12
200,559.58
203,343.69
206,28.96
214,6.81
216,16.31
217,30.97
219,41.18
223,874.99
227,243.04
229,1017.03
233,618.22
238,18.69
249,36.36
250,16.87
254,18.41
255,64.77
256,18.0
258,11.31
262,26.53
273,72.69
274,4303.5
281,14.24
285,4.59
295,2.93
296,1835.24
298,31.76
300,11.37
306,1.79
307,43.25
309,23.68
310,44.44
311,27.8
312,8.95
313,2.05
322,4.4
324,4.47
327,2.99
329,8.24
333,11.77
334,27.48
338,0.06
340,1.76
341,7.27
346,499.35
350,39.6
351,10.52
356,1.65
359,333.23
363,343.78
