,“ú•Ê
1,25.0
2,53.83
3,32.97
5,36.55
6,44.75
7,68.33
9,39.7
10,7.6
11,58.66
12,20.06
15,68.44
16,75.88
17,15.65
18,9.59
20,99.96
21,31.36
23,30.94
24,27.19
25,190.37
26,39.06
27,46.84
28,33.85
29,17.71
30,125.47
31,50.96
32,75.53
34,131.3
35,159.04
36,0.31
37,31.4
38,149.69
42,99.11
44,79.24
46,44.32
48,37.58
52,146.44
54,164.86
55,55.35
57,70.09
59,146.79
60,103.11
61,3.95
63,12.89
64,133.9
65,66.8
66,140.09
67,38.94
69,22.05
70,15.62
72,14.59
76,101.63
77,146.42
78,0.08
79,30.65
80,70.64
82,61.31
83,63.22
84,44.09
86,20.35
87,87.37
88,21.57
90,18.77
91,9.76
92,68.52
94,18.95
97,9.1
98,11.85
99,19.92
100,234.84
101,9.39
102,6.37
103,11.92
104,11.26
105,1.77
106,5.54
107,80.06
109,12.27
110,2.69
111,4.92
112,8.46
113,5.43
114,9.23
118,5.94
120,5.12
121,99.23
122,160.25
123,13.74
124,15.14
125,8.64
126,2.73
127,9.42
129,9.62
130,0.59
131,3.67
133,8.8
134,19.41
136,24.84
138,2.46
139,35.67
140,4.83
141,2.52
144,1.93
145,7.7
146,1.65
147,4.21
148,0.19
149,14.02
150,0.73
154,22.59
155,92.19
156,28.58
158,67.72
159,0.7
160,4.54
163,79.11
164,32.51
168,12.96
170,19.62
171,149.31
172,51.79
173,0.97
174,3.66
175,3.35
178,8.93
179,21.32
182,28.06
185,97.43
186,31.16
187,8.34
189,12.2
190,88.63
191,26.73
192,128.88
193,13.37
194,64.12
195,78.68
196,74.73
199,22.44
200,44.0
201,289.19
204,1.9
205,2.42
206,17.35
207,15.48
209,4.42
211,15.38
214,8.77
215,16.65
216,34.65
217,3.34
220,4.05
221,6.77
223,176.0
224,158.81
225,87.15
226,32.53
227,33.62
228,30.08
230,23.16
231,10.72
232,19.09
234,64.69
235,9.76
236,4.55
237,8.56
238,9.63
240,0.03
241,189.11
242,12.11
243,0.22
244,7.66
245,8.68
246,24.93
248,2.52
249,11.17
251,2.94
252,7.55
253,4.57
254,14.8
255,10.97
256,29.16
257,7.36
259,5.6
260,3.62
262,13.12
263,2.52
265,5.32
266,5.44
267,3.31
270,7.55
271,16.65
272,26.93
273,7.78
274,1297.95
276,1210.15
278,0.84
279,9.23
280,18.9
282,19.11
283,4.11
284,2.13
285,0.39
286,4.65
288,11.48
289,654.13
290,42.57
291,0.94
292,3.93
293,11.09
294,3.04
295,7.85
296,1180.09
297,12.22
298,1.38
299,0.18
300,0.49
301,11.67
302,17.96
303,135.86
304,1.53
306,9.32
307,6.23
308,15.58
309,0.96
310,21.0
313,4.13
314,1.08
316,52.46
322,5.46
323,15.53
325,10.11
326,15.02
328,7.48
330,10.58
331,16.09
334,15.88
337,3.46
338,3.65
340,9.16
343,0.68
345,88.34
347,109.81
348,3.92
350,2.13
352,2.3
354,1.48
355,0.7
356,11.5
357,4.66
358,2.34
359,116.87
360,51.41
361,13.91
363,44.69
