,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
0,8.42,4.73
1,10.27,17.65
4,4.41,7.43
6,3.8,1.88
9,2.05,1.57
10,0.24,4.16
11,1.83,2.32
13,2.88,4.55
15,3.79,1.77
18,6.42,11.31
19,2.48,5.02
20,3.84,6.62
21,2.29,0.56
23,3.02,4.37
24,0.36,5.76
25,1.4,4.35
27,4.26,4.02
29,2.78,1.03
30,2.97,7.87
31,4.53,13.02
32,5.74,10.87
33,5.46,3.0
34,12.69,23.82
35,4.64,6.5
37,2.42,5.25
39,5.58,5.32
40,0.56,2.84
43,0.72,0.97
44,0.61,3.14
45,6.58,6.0
46,4.82,1.97
47,13.57,15.13
49,1.13,3.72
51,4.06,4.38
52,2.6,3.05
53,11.16,15.88
55,12.72,14.62
60,8.25,7.48
62,1.19,0.12
63,3.94,9.79
66,0.18,2.31
67,8.0,8.36
68,5.26,3.56
69,2.62,8.88
70,0.39,2.24
72,4.68,8.23
73,1.89,5.9
74,4.58,5.53
75,6.71,4.69
76,3.64,8.86
77,8.44,4.37
78,0.86,3.05
80,3.03,3.45
82,3.21,5.27
83,3.35,4.59
84,2.92,3.33
85,1.11,0.62
86,0.34,1.5
89,0.24,13.06
91,0.9,2.33
94,1.4,9.51
95,3.98,2.76
96,1.81,2.97
98,0.47,1.97
99,4.79,8.1
101,4.84,11.47
102,2.3,1.23
103,0.3,3.97
104,4.74,7.17
105,0.52,2.35
106,1.08,2.33
108,0.01,0.52
110,5.66,1.2
111,0.99,6.28
113,6.61,1.96
115,3.52,7.27
116,5.64,3.39
117,2.85,1.05
119,4.87,9.53
120,0.95,6.23
121,5.0,5.02
122,5.79,12.54
123,3.92,6.75
124,4.65,6.43
125,1.1,1.09
126,5.36,10.46
127,6.07,6.59
129,2.12,3.86
130,4.02,1.5
133,4.87,2.0
134,0.85,2.77
135,2.54,0.33
136,1.63,0.55
138,6.41,12.57
139,2.73,8.37
140,11.08,4.8
141,2.08,5.45
142,0.75,3.51
143,3.71,2.85
144,3.29,5.77
145,1.25,1.37
146,5.92,9.24
147,2.85,3.79
149,7.34,10.42
152,1.03,6.01
153,0.47,1.1
155,3.9,4.25
157,0.45,2.65
159,1.86,4.73
161,0.48,1.89
165,2.81,4.53
167,1.13,0.61
169,1.05,0.39
171,2.81,3.72
172,1.54,5.45
173,4.24,1.96
176,3.63,5.14
177,0.53,3.05
178,3.35,4.41
180,3.18,9.4
181,8.83,12.59
183,0.15,1.25
184,0.66,0.03
187,3.07,0.92
188,2.64,6.16
190,1.03,0.77
192,9.27,14.66
193,3.75,0.94
194,1.09,1.65
195,0.4,0.1
196,0.04,4.47
197,0.84,4.43
198,0.92,1.24
199,4.09,3.22
200,1.19,0.5
201,0.43,7.01
202,0.18,0.48
203,0.69,0.83
204,1.7,5.61
205,2.34,0.79
206,25.14,77.71
207,1.4,3.92
208,0.52,1.53
209,1.26,0.38
210,1.2,2.96
211,0.87,0.68
212,4.01,1.24
213,2.32,3.75
214,3.19,0.09
216,4.18,5.71
217,0.29,0.62
218,5.72,9.59
219,0.98,3.22
220,0.55,0.23
221,1.09,1.93
222,9.01,11.26
223,10.73,17.27
225,2.22,3.03
226,6.21,4.42
227,8.07,8.43
230,5.73,4.68
231,8.91,9.22
235,20.52,29.58
236,0.74,0.84
237,1.67,1.02
238,0.79,0.65
239,0.89,3.03
240,2.33,5.64
241,1.5,0.63
243,6.97,11.43
