,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1297,-0.02,0.0,0.01
1300,-0.02,0.0,0.0
1302,-0.25,0.0,0.15
1313,-0.28,0.0,0.01
1317,0.0,0.0,0.02
1321,0.05,0.0,-0.0
1322,0.02,0.0,0.0
1323,-0.0,0.0,0.0
1325,-0.01,0.0,-0.01
1327,0.96,4.0,3.87
1334,4.63,5.0,4.77
1340,0.02,0.0,-0.03
1341,0.03,0.0,0.01
1345,0.21,0.0,-0.01
1346,-0.01,0.0,-0.05
1347,-0.01,0.0,0.0
1348,-0.01,0.0,0.0
1351,1.14,3.0,3.46
1354,3.63,3.0,3.68
1355,4.04,5.0,3.94
1361,1.75,4.0,3.51
1370,0.03,0.0,0.0
1374,0.25,0.0,0.0
1379,4.82,6.0,4.91
1381,4.9,6.0,5.31
1382,4.65,5.0,5.19
1384,4.34,4.0,4.74
1386,0.5,0.0,0.02
1389,0.04,0.0,-0.02
1392,0.04,0.0,0.0
1393,0.06,0.0,0.0
1395,0.06,0.0,0.0
1398,0.5,0.0,0.0
1400,2.57,5.0,3.29
1403,5.63,6.0,5.19
1404,5.63,5.0,5.08
1405,5.58,6.0,5.19
1406,4.01,5.0,4.08
1408,2.63,4.0,2.78
1411,0.34,0.0,-0.0
1413,0.06,0.0,-0.01
1414,0.06,0.0,-0.0
1421,0.09,0.0,0.0
1424,1.44,5.0,2.95
1425,3.42,5.0,3.43
1427,3.36,5.0,3.08
1430,3.48,3.0,3.89
1434,0.91,0.0,0.05
1438,-0.01,0.0,-0.0
1439,-0.01,0.0,0.0
1441,0.04,0.0,0.03
1442,0.04,0.0,0.03
1444,0.04,0.0,0.03
1445,0.01,0.0,0.03
1446,1.1,0.0,0.04
1456,2.25,1.0,2.83
1458,0.05,0.0,-0.17
1468,-0.04,0.0,0.0
1471,0.06,0.0,0.02
1475,1.78,1.0,2.32
1477,2.02,1.0,1.82
1479,1.5,2.0,1.76
1482,0.26,0.0,-0.01
1490,-0.01,0.0,-0.01
1496,0.73,0.0,-0.05
1500,2.79,2.0,2.4
1503,3.48,4.0,3.24
1505,2.27,4.0,3.21
1512,-0.01,0.0,0.0
1517,0.05,0.0,0.0
1518,-0.0,0.0,0.0
1521,4.23,2.0,3.89
1525,3.96,5.0,3.46
1530,0.36,0.0,0.04
1536,-0.01,0.0,0.0
1544,0.47,0.0,-0.03
1553,1.46,2.0,2.97
1554,0.14,0.0,-0.05
1560,-0.01,0.0,0.0
1564,-0.01,0.0,-0.0
1569,1.56,0.0,-0.04
1577,0.87,2.0,2.74
1580,0.0,0.0,-0.01
1581,-0.0,0.0,-0.0
1586,-0.01,0.0,0.0
1588,0.04,0.0,0.0
1591,0.05,0.0,-0.07
1600,1.14,2.0,2.14
1604,0.03,0.0,-0.0
1609,-0.0,0.0,0.0
1612,0.01,0.0,0.0
1616,-0.12,0.0,0.0
1617,0.28,0.0,-0.06
1620,0.35,0.0,0.05
1621,0.36,0.0,0.15
1630,0.04,0.0,-0.02
1631,0.0,0.0,0.0
1638,-0.02,0.0,0.0
1639,-0.03,0.0,0.01
1642,3.89,3.0,4.19
1643,5.22,4.0,5.16
1644,5.38,4.0,5.1
1650,0.27,0.0,0.07
1657,-0.01,0.0,-0.0
1658,-0.01,0.0,-0.0
1660,-0.0,0.0,0.0
1662,0.11,0.0,0.01
1664,1.86,3.0,2.95
1666,5.0,6.0,5.14
1668,5.24,6.0,5.62
1669,5.22,7.0,5.25
1670,5.1,7.0,5.44
1672,2.73,5.0,4.26
1677,0.0,0.0,0.0
1679,-0.0,0.0,0.02
1684,-0.01,0.0,-0.0
1685,-0.03,0.0,0.0
1689,3.97,4.0,3.94
1695,3.72,5.0,3.55
1698,0.31,0.0,0.05
1708,0.02,0.0,0.0
1714,2.46,4.0,3.02
1715,4.24,6.0,3.93
1716,4.05,4.0,3.97
1717,3.72,3.0,3.28
1722,0.02,0.0,-0.01
1724,-0.01,0.0,-0.0
1725,0.01,0.0,-0.01
1726,0.08,0.0,0.04
1727,-0.02,0.0,-0.0
1730,-0.01,0.0,0.0
1735,0.32,0.0,-0.03
1737,2.26,1.0,2.67
1741,1.96,3.0,1.86
1751,0.02,0.0,-0.01
1754,-0.02,0.0,0.0
1760,0.25,0.0,-0.01
1763,1.57,2.0,2.63
1765,2.2,1.0,2.08
1766,1.93,0.0,0.01
1767,1.35,1.0,1.94
1768,1.11,2.0,1.61
1773,-0.05,0.0,-0.0
1781,0.01,0.0,0.0
1782,0.02,0.0,0.0
1786,0.14,0.0,0.04
1787,0.19,0.0,-0.02
1792,0.01,0.0,0.0
1794,0.06,0.0,-0.01
1796,-0.01,0.0,-0.0
1800,-0.01,0.0,0.0
1804,-0.01,0.0,-0.0
1806,0.05,0.0,0.0
