,“ú•Ê
0,8.36
3,20.34
4,153.4
5,2.62
8,45.82
10,18.6
11,9.72
12,34.97
13,80.39
14,0.25
15,28.23
20,65.76
21,11.1
22,23.69
23,24.98
24,12.01
25,159.87
27,8.54
28,40.64
33,6.75
34,45.82
35,6.58
36,19.73
37,16.04
39,17.09
40,11.88
42,63.84
43,75.32
46,41.7
47,19.7
48,47.88
49,22.35
50,1.24
51,16.72
52,22.32
53,7.89
57,42.03
58,77.85
60,121.57
62,1.55
63,91.4
64,13.7
65,33.03
67,5.4
69,29.22
70,20.87
71,3.88
74,30.02
75,26.04
76,21.7
77,45.03
78,35.73
80,64.53
81,7.54
82,0.29
83,17.59
85,2.55
86,0.61
87,87.06
88,31.94
89,17.41
90,33.74
92,7.12
93,93.66
94,inf
95,34.3
96,42.48
97,12.53
102,6.65
104,0.03
106,7.4
108,151.97
109,20.05
110,2.38
111,2.01
112,102.95
113,66.92
114,61.09
115,116.18
116,9.85
117,7.91
118,6.18
121,71.13
123,1.59
125,4.87
126,8.21
127,5.05
128,106.89
131,5.32
132,1.75
133,7.78
134,107.97
135,101.17
136,23.59
137,4.33
139,2.56
143,68.98
145,0.87
147,12.23
148,5.84
149,132.61
150,122.85
152,7.86
156,inf
157,61.16
158,55.39
159,6.79
160,2.66
161,25.82
162,5.96
164,112.55
165,8.16
167,4.88
168,24.73
169,31.68
170,42.09
172,61.76
173,65.28
174,10.63
175,6.41
176,24.84
177,4.03
179,7.1
182,123.2
183,32.34
184,28.62
187,35.86
188,90.6
189,3.15
191,37.2
193,84.98
194,1.5
195,54.19
196,inf
197,61.29
198,18.36
199,1.68
200,11.58
201,32.86
203,22.66
204,143.87
205,42.54
206,5.62
207,37.99
208,73.67
210,40.99
211,49.64
214,5.67
216,17.31
218,6.39
219,19.86
220,17.15
222,1.18
223,11.44
224,2.46
225,24.8
226,43.68
227,1.8
228,31.5
229,20.85
230,77.03
231,37.49
232,7.33
233,23.69
234,19.19
236,25.61
237,1.95
238,32.1
241,29.35
242,1.53
244,20.14
245,24.9
246,6.15
247,26.9
248,27.67
250,18.97
252,11.2
253,9.58
256,12.58
257,12.64
258,11.85
259,6.28
260,1.82
261,188.59
262,30.08
263,5.34
264,3.34
265,5.3
267,21.06
268,77.81
270,3.55
271,0.57
273,744.15
277,1219.98
278,6.4
279,12.51
281,5.43
284,187.33
285,1.33
289,55.25
290,75.69
291,11.51
293,7.55
294,5.01
295,3.06
297,45.48
299,10.23
300,2.66
302,2.47
303,6.12
304,18.5
305,1.01
306,9.5
308,0.09
310,107.45
311,40.65
313,8.15
315,15.38
316,65.41
317,49.25
318,79.15
319,7.72
320,6.5
321,11.79
322,6.49
323,12.19
324,33.11
325,70.71
326,3.95
327,1.64
330,7.94
331,10.43
334,9.66
335,25.25
336,13.68
337,5.06
338,29.48
340,8.98
341,5.4
342,2.17
345,28.78
347,40.94
348,9.89
349,18.14
351,2.44
352,42.19
354,1.87
355,5.86
356,325.32
359,29.55
360,60.98
361,29.11
362,23.12
364,13.06
