,ì˙ï ,é¿ê—
1,1.5714251024285801,2.0
2,1.2094261114481315,1.0
3,1.5356385591835042,1.0
5,9.684739310948412,8.0
6,3.759989250810634,4.0
7,3.3321501006345593,2.0
9,1.4732313067005987,1.0
10,1.2882320362660964,1.0
11,3.2762220008330702,3.0
12,1.5628860873289132,1.0
15,3.3403049697691585,4.0
16,1.4868389042855081,1.0
17,1.3066481569464412,1.0
18,2.0164159459507496,1.0
20,2.0070165961812148,1.0
21,2.4524740490051715,2.0
23,1.2533738609351972,1.0
24,1.4886922188077216,1.0
25,4.028942483402869,1.0
26,1.3675582354508788,1.0
27,1.370181351886546,2.0
28,1.5179418571913041,1.0
29,1.256962424703737,1.0
30,1.3969797707831382,1.0
31,1.4886922188077216,1.0
32,1.3066481569464412,1.0
34,1.6701581644859116,2.0
35,1.3784120946813616,1.0
36,1.2883519407797184,1.0
37,1.4341685428356574,1.0
38,1.1143881541853218,1.0
42,1.4265221473377128,1.0
44,1.5126853008270642,1.0
46,1.1605792005797917,1.0
48,1.1403104878306423,1.0
52,1.3463019873204023,1.0
54,2.2418379179454826,1.0
55,1.6675391796820869,1.0
57,1.3709281249204996,1.0
59,1.6244963308644997,2.0
60,1.258617996914838,1.0
61,1.2231435132309911,1.0
63,1.6170632908018439,1.0
64,1.380072626091723,1.0
65,1.4745309494949168,2.0
66,1.3842892580411457,1.0
67,3.5094579471489826,4.0
69,8.801377243165424,9.0
70,7.245537905153892,10.0
72,0.9058624230506983,1.0
76,1.8888636562768004,1.0
77,1.32282517112496,1.0
78,2.8444104803470056,2.0
79,1.4628419950097247,1.0
80,0.7581648816697661,1.0
82,3.5119436786562024,3.0
83,1.7081758021548432,1.0
84,1.4738738605243864,1.0
86,1.1069759630258373,1.0
87,0.6865156317866896,1.0
88,5.47544315185051,9.0
90,0.9559001282583942,1.0
91,1.3073720794131771,1.0
92,1.833272743801527,1.0
94,0.6663472475123862,0.0
97,9.53705499216275,10.0
98,2.2426331108265147,1.0
99,2.2179352223730957,1.0
100,1.9333302785667288,1.0
101,0.35287580597411794,1.0
102,14.415914885039582,13.0
103,11.100146711920097,10.0
104,7.707135627562787,9.0
105,11.904522944080346,12.0
106,16.958171061973516,16.0
107,1.9333302785667288,1.0
109,17.10400318180795,24.0
110,17.10400318180795,19.0
111,17.10400318180795,17.0
112,2.08804685167113,1.0
113,2.08804685167113,1.0
114,2.146583585697321,1.0
118,16.958171061973516,18.0
120,16.86122843682732,18.0
121,2.08804685167113,1.0
122,2.08804685167113,0.0
123,17.01594500993172,17.0
124,17.10400318180795,21.0
125,17.10400318180795,20.0
126,17.10400318180795,21.0
127,17.10400318180795,20.0
129,2.016512201701453,1.0
130,1.9333302785667288,0.0
131,17.10400318180795,19.0
133,14.349836495868084,14.0
