,“ú•Ê
0,80.63
1,2.63
2,30.97
4,135.24
5,13.56
7,43.9
8,61.8
9,42.72
10,40.96
13,136.31
15,37.02
16,36.0
17,35.05
21,26.41
22,126.33
25,154.79
26,76.38
27,11.72
28,41.43
30,53.79
32,9.21
33,14.69
34,17.13
35,21.82
36,11.77
38,15.51
41,59.69
42,11.35
45,42.19
46,31.1
47,34.29
48,2.61
49,11.99
50,36.45
52,45.63
53,30.91
54,239.87
55,63.78
56,6.06
57,55.68
61,32.57
62,61.84
64,8.37
65,24.57
66,45.22
68,8.63
69,5.88
70,40.92
71,31.78
72,4.72
73,1.88
75,42.62
76,41.27
77,40.68
78,44.33
80,81.31
82,0.35
84,41.42
86,21.56
87,59.68
90,3.8
91,18.18
93,36.85
94,inf
96,9.26
98,104.27
102,6.96
103,14.45
104,6.61
105,1.86
106,1.63
107,93.06
108,132.76
110,14.42
111,4.35
112,164.5
114,164.5
116,20.43
118,11.87
119,22.57
121,164.5
122,inf
123,4.35
124,22.57
127,18.7
128,125.9
129,94.15
131,14.42
133,0.73
134,42.86
137,12.92
138,105.7
139,6.03
140,1.63
141,1.63
142,164.5
143,164.5
144,2.26
146,14.42
148,14.42
149,164.5
151,14.42
153,1.23
154,5.42
155,2.71
156,inf
157,46.67
158,12.1
159,38.96
162,10.13
164,42.94
166,75.85
167,39.7
168,80.23
169,6.79
171,18.81
172,7.76
173,95.29
174,11.65
175,83.53
176,34.58
178,52.9
179,22.55
180,35.46
181,24.11
183,62.73
184,33.4
187,76.23
189,1.8
191,5.94
192,43.44
193,155.2
194,4.97
195,0.7
196,inf
197,7.24
198,38.68
199,37.38
201,93.14
202,4.68
204,245.38
205,21.64
207,52.1
208,27.11
209,44.95
210,5.39
211,32.41
212,26.41
213,14.39
215,44.5
218,34.34
220,19.23
221,42.61
222,6.93
224,47.35
225,47.74
226,19.91
228,32.1
230,129.01
231,13.78
232,7.46
234,35.31
235,2.61
236,33.04
237,4.56
239,53.95
240,79.24
241,19.62
242,0.46
243,20.22
244,29.98
245,27.37
246,7.97
247,68.98
248,54.98
251,7.37
252,12.92
253,15.44
257,23.72
259,11.2
260,5.61
261,59.7
263,10.78
264,17.56
265,5.08
266,0.84
267,21.34
268,75.98
269,71.69
270,13.73
271,7.89
272,1520.22
275,71.69
276,71.69
277,1583.85
278,5.25
279,1.85
280,30.29
282,14.15
283,20.16
284,288.27
286,7.06
287,1.05
288,16.96
289,71.69
290,14.15
291,7.42
292,6.52
293,15.32
294,4.77
297,45.13
299,5.87
301,12.09
302,4.31
303,45.13
304,19.16
305,11.59
308,2.42
314,7.06
315,19.89
316,71.69
317,71.69
318,71.69
319,13.41
320,5.87
321,6.71
323,17.44
325,61.67
326,14.22
328,315.04
330,9.02
331,35.04
332,5.72
335,37.3
336,25.72
337,2.79
339,41.89
342,1.4
343,9.1
344,1.36
345,16.57
347,134.88
348,0.95
349,22.65
352,62.49
353,60.3
354,24.16
355,2.52
357,7.05
358,15.78
360,65.98
361,37.33
362,9.92
364,9.47
