,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
1,1.05,1.05
3,8.76,8.76
6,2.81,2.81
8,2.34,2.34
9,5.59,5.59
10,5.83,5.83
11,40.48,40.48
12,2233.1,2233.1
13,0.26,0.26
15,2.47,2.47
16,5.61,5.61
19,2820.68,2820.68
20,8.45,8.45
21,4.37,4.37
22,1.6,1.6
23,1.97,1.97
24,4.99,4.99
25,24.74,24.74
27,2.02,2.02
30,8.02,8.02
31,7.02,7.02
33,2669.44,2669.44
34,4.56,4.56
35,8.39,8.39
36,1.71,1.71
39,39.74,39.74
40,2726.39,2726.39
42,2.91,2.91
43,7.12,7.12
44,4.0,4.0
45,4.76,4.76
46,42.38,42.38
48,1.96,1.96
50,6.68,6.68
51,6.0,6.0
52,13.68,13.68
53,44.4,44.4
54,3083.26,3083.26
56,4.63,4.63
57,6.32,6.32
58,6.32,6.32
59,7.23,7.23
61,9.6,9.6
62,8.98,8.98
63,5.71,5.71
64,6.91,6.91
65,5.99,5.99
66,44.02,44.02
67,2187.54,2187.54
70,6.36,6.36
71,1.44,1.44
73,29.44,29.44
74,2669.44,2669.44
77,4.93,4.93
78,9.68,9.68
79,7.87,7.87
81,2759.42,2759.42
83,7.11,7.11
84,3.59,3.59
85,10.27,10.27
86,2.07,2.07
87,37.58,37.58
88,2669.44,2669.44
90,5.05,5.05
91,4.18,4.18
92,4.51,4.51
93,2.2,2.2
94,39.04,39.04
97,1.71,1.71
98,3.14,3.14
99,2.01,2.01
100,0.49,0.49
101,38.9,38.9
102,1268.29,1268.29
103,4.14,4.14
104,7.65,7.65
109,2161.11,2161.11
110,2.78,2.78
111,1.35,1.35
112,3.02,3.02
113,8.48,8.48
114,0.64,0.64
117,5.66,5.66
118,2.96,2.96
119,9.4,9.4
