COP,•‰‰×—¦
2.758064516,0.342
2.714285714,0.342
2.406779661,0.284
2.522727273,0.222
2.631578947,0.3
2.394736842,0.182
1.347826087,0.062
1.263157895,0.048
1.263157895,0.048
1.263157895,0.048
2.386363636,0.21
2.487179487,0.194
3.428571429,0.096
3.5,0.056
2,0.004
2.695652174,0.124
4,0.184
3.904761905,0.164
3.826086957,0.176
4.157894737,0.158
4.294117647,0.146
1.571428571,0.044
1.785714286,0.05
3.833333333,0.046
3.375,0.054
2.375,0.076
2.75,0.088
2.294117647,0.078
1.971428571,0.138
2.3125,0.074
2.789473684,0.106
3.19047619,0.134
2.777777778,0.1
1.875,0.09
1.615384615,0.042
1.5,0.042
1.615384615,0.042
1.666666667,0.02
1.571428571,0.044
2.0625,0.066
3.136363636,0.138
3.611111111,0.13
1.571428571,0.044
1.5,0.042
1.6,0.048
1.6,0.048
1.647058824,0.056
1.545454545,0.034
3.222222222,0.058
2.764705882,0.094
4,0.008
2.7,0.054
2.5,0.08
2.155555556,0.194
1.703703704,0.092
0.695652174,0.032
2.423076923,0.378
2.445544554,0.494
2.906976744,0.25
2.763157895,0.21
3.4375,0.33
2.971014493,0.41
2.416666667,0.174
1.466666667,0.044
2.384615385,0.062
2.628571429,0.368
2.424242424,0.16
2.575757576,0.17
2.447761194,0.328
2.710144928,0.374
2.517241379,0.292
3.219512195,0.264
2.903225806,0.18
1.714285714,0.048
1.6,0.048
2.466666667,0.074
2.322580645,0.144
2.285714286,0.032
1.98,0.198
0.956521739,0.044
1,0.044
1.666666667,0.01
2.64,0.132
2.37254902,0.242
2.272727273,0.05
1.461538462,0.038
1.666666667,0.05
1.857142857,0.052
1.857142857,0.052
0,0
2.954545455,0.26
3.166666667,0.304
3.25,0.312
2.58974359,0.202
2.903225806,0.18
2.821428571,0.158
2.761904762,0.116
3.517241379,0.204
3.473684211,0.132
2.791666667,0.134
4,0.024
3.857142857,0.054
4.055555556,0.146
3.882352941,0.132
4,0.064
4.142857143,0.29
4.173913043,0.192
5,0.05
3,0.18
3.166666667,0.19
2.48,0.124
2.28,0.114
3,0.012
2.62962963,0.142
2.285714286,0.096
1.6,0.048
1.6,0.048
1.142857143,0.016
2.875,0.092
2.736842105,0.104
2.428571429,0.102
2.517241379,0.146
1.934782609,0.178
0.954545455,0.042
1,0.002
1.615384615,0.042
1.466666667,0.044
1.466666667,0.044
3,0.006
0.909090909,0.04
1.333333333,0.056
1.5,0.042
1.6,0.048
1.533333333,0.046
3.454545455,0.076
3.438596491,0.392
3.152173913,0.29
2.8,0.112
2.761904762,0.116
3,0.222
2.722222222,0.196
3.115384615,0.162
2.970588235,0.202
3.577777778,0.322
3.142857143,0.176
1.428571429,0.04
1.714285714,0.048
2,0.004
1.533333333,0.046
1.733333333,0.052
2.548387097,0.158
1.6,0.048
3,0.162
3.125,0.15
2.653846154,0.138
3.088235294,0.21
3,0.018
3.28,0.328
2.142857143,0.09
2.095238095,0.088
2.555555556,0.138
2.803921569,0.286
