COP,•‰‰×—¦
2.322916667,0.362601626
2.089147287,0.876422764
1.988372093,0.834146341
2,0.822764228
2.0234375,0.842276423
2.043478261,0.840650407
2.059055118,0.850406504
2.092,0.850406504
2.068669528,0.783739837
2.054054054,0.86504065
2.230769231,0.895934959
3,0.004878049
2.8,0.068292683
2.147286822,0.900813008
2.062256809,0.861788618
2.04743083,0.842276423
2.03125,0.845528455
2.062256809,0.861788618
2.015384615,0.85203252
2.106299213,0.869918699
2.105263158,0.845528455
2.081818182,0.744715447
2.341772152,0.300813008
2.160493827,0.284552846
1.25,0.016260163
3.771428571,0.214634146
2.398148148,0.842276423
2.275555556,0.832520325
2.266375546,0.843902439
2.239130435,0.837398374
2.239316239,0.85203252
2.216101695,0.850406504
2.189873418,0.843902439
2.214953271,0.770731707
2.125,0.884552846
1,0.001626016
2.46835443,0.317073171
2.143410853,0.899186992
2.104247104,0.886178862
2.115384615,0.894308943
2.114503817,0.900813008
2.149606299,0.887804878
2.220408163,0.884552846
2.213114754,0.87804878
2.276497696,0.803252033
2.188235294,0.907317073
2.176,0.884552846
3.708333333,0.289430894
2.397260274,0.853658537
2.30044843,0.834146341
2.254237288,0.86504065
2.217573222,0.861788618
2.152263374,0.850406504
2.277777778,0.866666667
2.337662338,0.87804878
2.309859155,0.8
2.194552529,0.917073171
2.196787149,0.889430894
4.620689655,0.217886179
2.396226415,0.82601626
2.245614035,0.832520325
2.303964758,0.850406504
2.287553648,0.866666667
2.185654008,0.842276423
2.1625,0.843902439
2.17768595,0.856910569
2.201834862,0.780487805
2.12992126,0.879674797
2.180722892,0.882926829
4.705882353,0.130081301
2.398104265,0.822764228
2.242290749,0.827642276
2.283842795,0.850406504
2.295652174,0.858536585
2.201716738,0.834146341
2.210300429,0.837398374
2.163865546,0.837398374
2.176744186,0.76097561
2.12109375,0.882926829
2.144578313,0.868292683
2.571428571,0.234146341
2.07421875,0.863414634
1.976377953,0.816260163
2.054263566,0.861788618
2.031128405,0.848780488
2,0.842276423
2.030888031,0.855284553
1.972332016,0.811382114
2.052631579,0.697560976
1.99137931,0.375609756
2.642857143,0.240650407
2.082352941,0.863414634
2.046511628,0.858536585
2.054474708,0.858536585
2.042635659,0.856910569
2.03875969,0.855284553
1.9921875,0.829268293
2.035019455,0.850406504
2.14159292,0.78699187
2.141176471,0.887804878
2.7,0.087804878
2.704918033,0.268292683
2.506666667,0.305691057
4.09375,0.42601626
2.16017316,0.811382114
2.151162791,0.902439024
2.162162162,0.910569106
2.147286822,0.900813008
2.158301158,0.908943089
2.174418605,0.912195122
2.116935484,0.853658537
2.2,0.876422764
2.185185185,0.863414634
1,0.001626016
3.653846154,0.154471545
4.754098361,0.471544715
2.322580645,0.819512195
2.233606557,0.886178862
2.239837398,0.895934959
2.245901639,0.891056911
2.327868852,0.923577236
2.331983806,0.936585366
