,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,7.4,24.45
1,15.45,12.58
2,54.57,66.67
3,27.03,25.91
4,20.42,24.55
6,16.47,1.35
7,2.46,18.38
12,0.15,1.41
13,4.2,7.83
14,4.47,0.94
17,13.56,2.49
19,6.6,7.18
20,14.43,11.77
21,9.55,9.2
23,46.28,30.22
24,6.77,18.87
25,12.47,5.37
27,6.82,8.0
30,61.75,51.38
32,3.47,3.22
34,0.96,7.22
35,8.49,7.67
36,6.95,5.9
38,30.12,32.89
39,4.06,10.0
40,10.13,4.96
41,5.91,10.51
42,1.94,0.07
43,9.85,5.44
44,21.91,31.74
45,195.48,134.79
46,54.45,18.51
47,29.45,32.65
48,18.61,17.79
49,19.3,18.14
50,3.26,1.38
51,6.26,6.31
53,7.67,6.7
54,5.84,7.62
55,1.19,2.89
57,12.43,12.43
58,6.1,0.55
59,17.61,5.07
60,13.59,13.51
61,2.3,5.19
63,9.7,0.7
65,11.94,12.15
66,32.71,20.39
67,12.78,7.4
68,2.06,2.29
70,15.43,13.11
74,9.91,1.01
77,11.44,8.09
80,90.18,73.98
81,5.09,7.38
82,6.74,6.97
83,0.11,3.81
84,1.47,1.88
85,8.2,16.17
86,220.08,180.36
87,4.94,5.33
88,1.97,4.03
89,2.07,4.85
90,11.6,0.43
91,15.99,7.65
92,5.06,2.72
94,15.19,2.11
95,0.24,3.29
98,4.8,5.34
99,10.37,8.37
100,1.78,9.04
101,48.48,32.39
102,31.36,19.87
103,2.24,8.85
104,7.31,5.06
107,17.94,11.35
108,30.61,16.8
110,9.38,9.19
111,11.14,9.33
112,5.19,4.31
113,4.0,4.86
114,9.61,0.24
115,19.93,7.19
117,5.13,6.23
118,8.53,11.83
120,14.76,16.36
121,24.69,43.12
122,25.57,16.47
124,7.08,3.91
127,11.4,3.45
129,2.26,11.3
130,7.77,4.6
132,6.62,8.26
133,0.23,7.29
134,33.3,46.03
135,7.71,9.96
137,384.22,353.29
139,13.8,11.56
140,10.75,3.44
141,9.17,5.22
142,8.03,1.33
143,35.85,53.2
144,29.72,6.41
145,20.66,12.08
146,9.13,1.56
147,17.6,8.0
149,23.59,23.21
150,3.2,5.75
151,2.51,2.19
153,3.84,0.7
154,4.33,10.84
155,8.53,7.77
157,6.83,1.18
159,0.26,1.02
161,9.11,4.19
162,10.29,12.82
164,8.84,0.72
167,3.67,8.87
168,4.61,7.17
172,45.53,20.95
173,0.12,0.13
174,8.48,4.93
175,7.17,4.91
176,3.7,7.63
177,10.41,5.3
178,4.91,9.05
179,27.7,3.0
181,10.0,5.21
182,24.93,5.0
185,10.1,10.22
