,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
4,38.88,32.0,40.04
13,59.34,61.0,57.73
18,92.3,94.0,94.79
20,84.2,100.0,82.79
25,64.47,79.0,71.87
28,76.68,69.0,74.37
29,59.44,54.0,56.37
30,47.21,23.0,36.84
31,61.83,42.0,55.44
34,92.48,92.0,86.18
39,56.75,58.0,53.29
40,97.98,81.0,90.46
42,57.99,63.0,54.35
46,35.9,23.0,30.67
47,45.64,31.0,46.93
52,61.46,52.0,50.2
54,73.73,78.0,72.91
57,98.14,106.0,95.93
59,54.53,81.0,64.35
60,90.3,107.0,87.81
64,37.42,59.0,47.64
70,42.11,54.0,40.68
71,48.2,50.0,48.92
75,42.74,44.0,47.6
81,60.96,59.0,68.48
86,28.32,8.0,24.96
88,63.46,65.0,65.97
90,31.36,42.0,42.77
91,32.63,42.0,33.19
98,84.32,87.0,79.4
99,91.26,98.0,92.14
108,67.52,101.0,79.4
109,87.39,82.0,87.35
123,77.81,90.0,78.9
124,46.14,43.0,45.02
127,39.98,42.0,46.27
128,30.96,56.0,42.15
131,35.8,34.0,48.22
132,31.7,42.0,33.89
133,31.22,38.0,45.65
151,46.97,34.0,41.73
152,71.66,59.0,72.34
154,73.6,71.0,77.38
155,67.64,79.0,68.14
157,43.75,54.0,41.38
159,73.24,80.0,77.57
164,42.9,53.0,45.6
165,46.68,46.0,48.22
166,48.33,41.0,47.76
170,55.75,59.0,62.39
173,58.85,57.0,60.84
175,56.63,51.0,55.92
177,50.51,44.0,44.15
181,54.35,48.0,60.1
182,54.07,39.0,44.28
184,49.6,48.0,49.01
