,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
1,13.74,9.08
3,13.71,8.51
6,3.03,5.41
8,49.97,29.0
9,24.13,9.75
10,19.77,7.26
11,37.66,48.18
12,887.11,368.4
13,18.47,18.76
15,17.53,14.22
16,32.35,5.12
19,633.15,323.57
20,10.79,6.59
21,13.24,1.18
22,8.29,19.02
23,13.42,4.68
24,1.21,16.97
25,28.83,16.68
27,8.99,2.63
30,9.95,8.18
31,14.25,11.1
33,496.4,339.71
34,20.3,22.11
35,3.49,7.57
36,11.34,7.59
39,31.73,35.07
40,761.51,681.62
42,14.85,9.24
43,6.6,4.0
44,27.19,16.59
45,17.43,0.94
46,23.07,15.53
48,11.89,7.83
50,4.04,0.98
51,9.62,12.09
52,2.38,6.19
53,22.28,14.82
54,361.59,406.83
56,3.95,18.03
57,9.09,3.88
58,22.04,20.89
59,7.75,8.43
61,33.82,22.49
62,0.73,1.34
63,5.63,1.4
64,0.8,6.49
65,23.08,9.49
66,49.67,35.38
67,719.76,1322.1
70,31.47,26.42
71,20.58,13.45
73,38.51,36.27
74,426.35,282.77
77,17.9,13.16
78,18.21,21.18
79,8.63,12.04
81,420.41,206.11
83,7.94,24.83
84,5.57,12.62
85,26.83,16.48
86,12.57,8.89
87,16.6,20.18
88,486.59,494.07
90,24.35,6.41
91,6.92,6.74
92,37.06,14.49
93,9.39,7.09
94,23.78,25.92
97,4.03,3.18
98,14.89,10.56
99,9.99,2.38
100,2.45,7.25
101,6.5,12.45
102,100.03,117.94
103,14.26,3.45
104,25.2,13.24
109,379.98,455.11
110,13.96,3.19
111,6.41,4.17
112,4.4,2.15
113,5.09,8.68
114,10.73,18.02
117,11.67,7.66
118,13.37,10.66
119,2.05,15.29
