,“ú•Ê
0,18.6
3,20.73
4,21.87
5,35.39
8,25.73
10,32.11
11,33.94
12,25.45
13,21.87
14,29.31
15,29.54
20,15.93
21,15.93
22,23.15
23,16.59
24,16.7
25,23.15
27,16.7
28,16.63
33,20.98
34,18.6
35,39.63
36,19.52
37,17.73
39,15.82
40,16.59
42,16.63
43,16.26
46,15.86
47,16.63
48,21.01
49,17.76
50,15.86
51,16.63
52,16.37
53,20.98
57,19.96
58,15.93
60,20.98
62,17.61
63,17.61
64,39.86
65,19.52
67,20.98
69,17.72
70,19.16
71,15.82
74,21.01
75,38.52
76,15.86
77,16.37
78,15.83
80,16.37
81,15.83
82,23.21
83,21.01
85,18.27
86,39.3
87,17.76
88,15.83
89,16.37
90,21.01
92,19.52
93,19.41
94,19.52
95,22.77
96,37.9
97,24.2
102,16.26
104,21.01
106,19.7
108,18.07
109,24.65
110,22.41
111,15.83
112,15.83
113,15.83
114,19.16
115,19.16
116,15.93
117,16.37
118,16.37
121,18.07
123,24.2
125,37.68
126,21.4
127,21.4
128,19.41
131,15.82
132,15.82
133,15.75
134,15.75
135,15.75
136,16.63
137,16.63
139,16.37
143,39.3
145,22.95
147,21.4
148,18.07
149,21.4
150,15.83
152,18.07
156,20.29
157,19.41
158,20.29
159,17.72
160,38.62
161,19.52
162,19.7
164,17.76
165,15.82
167,16.37
168,15.93
169,17.76
170,15.86
172,15.93
173,38.39
174,16.37
175,21.4
176,15.83
177,15.93
179,18.07
182,18.27
183,19.41
184,19.85
187,24.65
188,19.85
189,19.52
191,19.41
193,21.52
194,16.63
195,16.63
196,18.27
197,18.27
198,17.76
199,39.07
200,26.73
201,26.73
203,23.15
204,21.87
205,23.15
206,35.23
207,23.15
208,21.87
210,16.7
211,23.15
214,22.77
216,18.6
218,18.6
219,33.94
220,35.35
222,38.62
223,16.7
224,32.11
225,33.94
226,32.11
227,33.94
228,32.11
229,29.54
230,35.23
231,29.54
232,35.23
233,29.54
234,25.45
236,23.15
237,35.23
238,29.54
241,26.65
242,33.6
244,37.14
245,29.31
246,33.94
247,32.11
248,34.39
250,21.87
252,29.23
253,31.1
256,29.23
257,28.71
258,30.29
259,29.54
260,37.32
261,32.36
262,28.5
263,39.26
264,33.6
265,26.65
267,30.37
268,26.65
270,42.99
271,32.2
273,31.58
277,29.08
278,27.27
279,33.82
281,32.36
284,30.52
285,28.71
289,32.36
290,39.26
291,28.5
293,28.5
294,32.36
295,33.82
297,28.5
299,28.5
300,32.75
302,32.84
303,34.31
304,32.84
305,32.36
306,29.08
308,29.08
310,32.36
311,28.5
313,28.5
315,37.32
316,25.36
317,28.5
318,25.36
319,25.36
320,29.08
321,26.68
322,33.82
323,26.68
324,28.5
325,25.36
326,33.82
327,32.36
330,24.69
331,32.99
334,29.23
335,25.73
336,35.39
337,31.22
338,35.39
340,29.23
341,32.84
342,32.56
345,33.94
347,15.82
348,35.39
349,26.73
351,36.34
352,25.37
354,29.54
355,25.36
356,33.82
359,21.87
360,16.7
361,38.43
362,28.38
364,21.87
