,“ú•Ê
0,12.3
4,23.95
8,30.24
13,23.95
14,41.97
19,18.47
22,37.64
33,19.82
39,18.47
40,12.78
41,13.24
43,17.99
45,43.83
47,13.27
49,15.2
50,13.81
51,13.73
53,12.33
56,15.2
58,12.33
62,12.75
68,17.88
71,17.88
73,13.69
74,15.27
75,44.01
81,12.33
85,11.94
89,12.87
93,12.2
95,14.23
96,42.77
108,17.26
115,19.23
116,12.12
117,11.19
119,11.01
128,11.39
132,11.32
135,11.87
137,13.68
142,13.51
143,43.5
151,17.76
152,13.51
153,14.14
157,14.14
161,12.81
162,10.9
165,11.36
166,15.27
167,11.48
169,15.27
176,16.91
177,13.65
180,12.29
181,11.98
183,13.6
184,19.77
188,15.11
197,15.27
198,15.27
202,30.24
203,24.74
208,21.82
210,17.5
212,34.86
213,23.95
218,36.13
219,32.87
222,43.6
229,38.36
233,36.49
239,31.76
247,44.2
250,26.42
258,37.85
261,27.61
264,29.59
268,25.53
269,36.2
275,34.37
277,29.14
281,28.36
287,27.48
305,33.56
311,29.56
312,35.08
315,38.02
317,31.94
318,23.95
319,23.95
320,39.09
321,26.88
324,28.83
327,36.16
329,31.92
332,32.37
333,33.81
335,28.39
336,33.81
339,32.37
341,35.51
342,41.97
344,32.37
346,33.66
349,32.15
351,38.02
353,33.81
362,42.35
364,21.82
