,“ú•Ê
0,4.16
1,19.1
2,4.51
3,7.99
4,25.51
7,24.42
14,26.12
17,10.99
18,42.91
30,4.51
34,3.47
35,47.63
38,13.53
40,9.25
42,11.71
47,16.45
50,9.93
57,8.65
66,11.27
81,9.51
82,16.68
83,13.55
86,45.57
87,15.1
89,14.95
95,8.54
99,10.84
101,12.86
104,10.25
105,4.84
106,15.84
108,13.0
110,22.31
111,12.43
113,10.95
116,7.24
117,9.24
121,5.68
126,12.39
129,13.23
133,4.46
134,7.18
138,17.34
139,9.65
144,3.55
148,6.91
151,20.02
159,7.21
160,47.53
164,8.8
167,5.04
168,4.15
176,9.94
178,9.64
181,11.49
185,38.87
186,20.56
195,10.06
196,3.19
201,30.67
202,13.22
203,27.59
210,1.84
214,14.56
215,11.66
220,37.4
226,49.1
228,46.81
229,29.21
230,31.52
236,31.05
237,25.35
242,22.5
243,40.38
251,34.77
253,30.24
255,31.02
256,26.97
264,22.5
268,36.98
270,52.12
274,49.49
279,28.31
281,47.26
282,20.67
283,60.94
284,28.03
285,52.08
288,27.63
290,58.67
292,18.62
296,39.71
305,19.76
306,31.12
309,49.03
316,44.31
318,47.74
322,35.87
323,22.2
326,40.43
327,21.08
329,35.87
331,28.25
334,41.57
335,31.74
341,27.11
347,24.1
354,54.01
359,26.62
362,38.94
364,40.23
