,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
488,111.9,111.9,94.65,94.65
490,2.82,2.82,0.52,0.52
492,1.4,1.4,0.45,0.45
493,2.19,2.19,0.98,0.98
494,2.36,2.36,6.52,6.52
495,546.5,546.5,223.12,223.12
500,6.64,6.64,7.17,7.17
503,7.01,7.01,6.48,6.48
504,5.59,5.59,8.01,8.01
506,8.12,8.12,4.61,4.61
508,1.89,1.89,2.02,2.02
510,7.26,7.26,6.33,6.33
511,0.24,0.24,3.44,3.44
513,1.14,1.14,1.38,1.38
514,3.52,3.52,3.59,3.59
515,2.48,2.48,2.58,2.58
517,5.6,5.6,13.82,13.82
518,1.2,1.2,1.58,1.58
520,1.53,1.53,0.66,0.66
521,7.32,7.32,3.59,3.59
522,0.15,0.15,3.14,3.14
523,56.56,56.56,79.27,79.27
524,3.35,3.35,0.25,0.25
526,7.71,7.71,6.3,6.3
527,8.78,8.78,4.73,4.73
528,3.46,3.46,3.01,3.01
531,5.58,5.58,5.81,5.81
535,23.05,23.05,18.23,18.23
537,48.36,48.36,6.7,6.7
538,14.73,14.73,8.75,8.75
539,5.99,5.99,10.04,10.04
540,6.55,6.55,7.4,7.4
542,4.69,4.69,6.6,6.6
543,7.08,7.08,1.24,1.24
544,62.09,62.09,39.71,39.71
547,9.51,9.51,7.64,7.64
548,0.11,0.11,4.32,4.32
549,1.6,1.6,0.72,0.72
550,8.95,8.95,3.42,3.42
553,6.4,6.4,2.24,2.24
554,6.52,6.52,5.07,5.07
555,0.97,0.97,0.77,0.77
556,6.23,6.23,10.71,10.71
558,55.14,55.14,102.83,102.83
559,25.05,25.05,13.46,13.46
560,9.87,9.87,11.29,11.29
561,5.57,5.57,3.93,3.93
562,3.91,3.91,4.75,4.75
564,8.9,8.9,9.44,9.44
565,64.19,64.19,26.86,26.86
567,10.39,10.39,9.8,9.8
568,1.51,1.51,3.3,3.3
569,0.23,0.23,0.28,0.28
573,11.04,11.04,2.24,2.24
574,0.76,0.76,2.28,2.28
575,3.66,3.66,2.43,2.43
577,25.32,25.32,23.72,23.72
579,27.47,27.47,15.51,15.51
580,7.59,7.59,12.26,12.26
581,185.01,185.01,93.05,93.05
583,20.75,20.75,23.1,23.1
584,29.91,29.91,20.84,20.84
585,218.05,218.05,21.6,21.6
586,105.09,105.09,19.73,19.73
587,19.13,19.13,15.83,15.83
588,37.23,37.23,28.38,28.38
589,14.26,14.26,17.09,17.09
590,23.31,23.31,4.99,4.99
592,12.69,12.69,6.41,6.41
593,54.1,54.1,42.73,42.73
594,14.22,14.22,32.05,32.05
597,26.71,26.71,17.37,17.37
598,26.02,26.02,23.82,23.82
599,15.09,15.09,11.38,11.38
600,71.22,71.22,22.26,22.26
601,204.22,204.22,22.31,22.31
602,15.41,15.41,7.41,7.41
603,0.03,0.03,2.97,2.97
604,11.75,11.75,4.34,4.34
605,12.52,12.52,9.03,9.03
606,3.81,3.81,7.62,7.62
607,25.39,25.39,12.05,12.05
608,12.92,12.92,2.84,2.84
609,0.12,0.12,4.37,4.37
610,31.1,31.1,10.59,10.59
611,12.61,12.61,0.59,0.59
614,2.3,2.3,35.34,35.34
615,16.4,16.4,17.4,17.4
616,19.5,19.5,18.51,18.51
617,7.49,7.49,4.78,4.78
619,5.0,5.0,2.31,2.31
620,6.93,6.93,13.67,13.67
621,38.46,38.46,55.73,55.73
