,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1707,inf,inf,inf,inf
1708,inf,inf,inf,inf
1709,inf,inf,inf,inf
1710,inf,inf,inf,inf
1712,inf,inf,inf,inf
1713,inf,inf,inf,inf
1715,inf,inf,inf,inf
1717,inf,inf,inf,inf
1719,inf,inf,inf,inf
1720,inf,inf,inf,inf
1721,inf,inf,inf,inf
1722,inf,inf,inf,inf
1723,94.19,94.19,0.0,0.0
1724,inf,inf,inf,inf
1726,inf,inf,inf,inf
1728,inf,inf,inf,inf
1729,inf,inf,inf,inf
1730,inf,inf,inf,inf
1731,inf,inf,inf,inf
1733,inf,inf,inf,inf
1735,inf,inf,inf,inf
1736,inf,inf,inf,inf
1739,inf,inf,inf,inf
1740,inf,inf,inf,inf
1741,inf,inf,inf,inf
1742,inf,inf,inf,inf
1743,inf,inf,inf,inf
1744,inf,inf,inf,inf
1745,94.94,94.94,0.0,0.0
1746,inf,inf,inf,inf
1747,inf,inf,inf,inf
1748,inf,inf,inf,inf
1750,inf,inf,inf,inf
1751,inf,inf,inf,inf
1753,inf,inf,inf,inf
1754,inf,inf,inf,inf
1756,inf,inf,inf,inf
1757,inf,inf,inf,inf
1758,inf,inf,inf,inf
1759,inf,inf,inf,inf
1760,inf,inf,inf,inf
1763,inf,inf,inf,inf
1764,inf,inf,inf,inf
1765,inf,inf,inf,inf
1766,94.19,94.19,0.0,0.0
1767,inf,inf,inf,inf
1771,inf,inf,inf,inf
1772,inf,inf,inf,inf
1774,inf,inf,inf,inf
1775,inf,inf,inf,inf
1776,inf,inf,inf,inf
1778,inf,inf,inf,inf
1779,inf,inf,inf,inf
1780,inf,inf,inf,inf
1782,inf,inf,inf,inf
1783,inf,inf,inf,inf
1786,inf,inf,inf,inf
1787,93.48,93.48,0.0,0.0
1790,inf,inf,inf,inf
1791,inf,inf,inf,inf
1793,inf,inf,inf,inf
1794,inf,inf,inf,inf
1796,inf,inf,inf,inf
1798,inf,inf,inf,inf
1799,inf,inf,inf,inf
1800,inf,inf,inf,inf
1801,inf,inf,inf,inf
1802,inf,inf,inf,inf
1803,inf,inf,inf,inf
1805,inf,inf,inf,inf
1807,94.01,94.01,0.0,0.0
1811,inf,inf,inf,inf
1812,inf,inf,inf,inf
1813,inf,inf,inf,inf
1814,inf,inf,inf,inf
1816,inf,inf,inf,inf
1817,inf,inf,inf,inf
1818,inf,inf,inf,inf
1819,inf,inf,inf,inf
1822,inf,inf,inf,inf
1824,inf,inf,inf,inf
1826,inf,inf,inf,inf
1827,inf,inf,inf,inf
1828,inf,inf,inf,inf
1829,92.48,92.48,0.0,0.0
1830,inf,inf,inf,inf
1831,inf,inf,inf,inf
1832,inf,inf,inf,inf
1833,inf,inf,inf,inf
1837,inf,inf,inf,inf
1838,inf,inf,inf,inf
1839,inf,inf,inf,inf
1840,inf,inf,inf,inf
1841,inf,inf,inf,inf
1842,inf,inf,inf,inf
1844,inf,inf,inf,inf
1845,inf,inf,inf,inf
1846,inf,inf,inf,inf
1847,inf,inf,inf,inf
1848,inf,inf,inf,inf
1849,inf,inf,inf,inf
1851,94.64,94.64,0.0,0.0
1852,inf,inf,inf,inf
1853,inf,inf,inf,inf
1854,inf,inf,inf,inf
1858,inf,inf,inf,inf
1859,inf,inf,inf,inf
1860,inf,inf,inf,inf
1861,inf,inf,inf,inf
1864,inf,inf,inf,inf
1866,inf,inf,inf,inf
1867,inf,inf,inf,inf
1868,inf,inf,inf,inf
1869,inf,inf,inf,inf
1871,inf,inf,inf,inf
1872,inf,inf,inf,inf
1874,inf,inf,inf,inf
1875,inf,inf,inf,inf
1877,inf,inf,inf,inf
1878,inf,inf,inf,inf
1881,inf,inf,inf,inf
1882,inf,inf,inf,inf
1883,inf,inf,inf,inf
1884,inf,inf,inf,inf
1885,inf,inf,inf,inf
1887,inf,inf,inf,inf
1889,inf,inf,inf,inf
1891,inf,inf,inf,inf
1892,inf,inf,inf,inf
1893,inf,inf,inf,inf
1894,94.19,94.19,0.0,0.0
1895,inf,inf,inf,inf
1897,inf,inf,inf,inf
