,特徴量重要度,クラスタ平均値
曜日,0.016300220315777325,-0.13570003664969962
平均外気温度,0.03446285654192605,0.2833889755095929
日空調時間数,0.20829269628837263,-0.5467953663594606
電力消費量,0.3479009302459845,-0.658421051284537
日平均入力比,0.3512309938070058,-0.6597367202816076
