,特徴量重要度,クラスタ平均値
月,0.08694320105300617,0.11675214320772528
平均外気温度,0.15943914636977957,1.189340036732173
相対湿度,0.16148055034218126,0.3872364751108193
電力消費量,0.17421810075964805,2.822445073724126
日平均入力比,0.23136885740879112,2.817662532577278
