,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
15290,inf,inf,inf,inf
15291,inf,inf,inf,inf
15294,inf,inf,inf,inf
15295,inf,inf,inf,inf
15298,1.7,0.21,11.73,8.98
15300,25.65,29.88,36.96,26.38
15301,5.33,1.42,6.57,3.88
15302,9.18,13.45,16.26,0.26
15303,7.56,21.52,5.47,2.46
15304,0.39,15.89,2.18,13.25
15306,inf,inf,inf,inf
15307,16.08,28.5,66.6,82.2
15309,inf,inf,inf,inf
15310,inf,inf,inf,inf
15313,71.47,76.11,20.43,0.13
15314,inf,inf,inf,inf
15315,inf,inf,inf,inf
15316,inf,inf,inf,inf
15317,inf,inf,inf,inf
15318,53.97,85.3,14.22,9.03
15322,inf,inf,inf,inf
15324,37.15,47.0,79.45,58.16
15325,inf,inf,inf,inf
15326,inf,inf,inf,inf
15327,inf,inf,inf,inf
15328,inf,inf,inf,inf
15329,49.36,36.16,87.31,88.2
15330,inf,inf,inf,inf
15331,inf,inf,inf,inf
15333,inf,inf,inf,inf
15334,60.3,61.56,19.51,17.91
15335,inf,inf,inf,inf
15337,inf,inf,inf,inf
15338,inf,inf,inf,inf
15339,inf,inf,inf,inf
15340,61.61,68.59,24.23,17.95
15341,inf,inf,inf,inf
15342,inf,inf,inf,inf
15343,inf,inf,inf,inf
15344,inf,inf,inf,inf
15347,inf,inf,inf,inf
15349,inf,inf,inf,inf
15350,inf,inf,inf,inf
15351,28.02,54.42,92.32,60.56
15352,inf,inf,inf,inf
15353,inf,inf,inf,inf
15355,inf,inf,inf,inf
15356,37.11,36.06,5.15,19.85
15358,inf,inf,inf,inf
15359,inf,inf,inf,inf
15361,74.09,93.1,11.92,31.85
15362,inf,inf,inf,inf
15364,inf,inf,inf,inf
15366,inf,inf,inf,inf
15367,159.29,142.17,344.05,269.66
15369,inf,inf,inf,inf
15370,inf,inf,inf,inf
