,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
5,6.33,0.0,0.04
8,4.59,0.0,0.29
9,6.25,0.0,-0.86
10,2.51,0.0,1.43
13,2.34,9.0,12.54
14,10.48,0.0,0.53
15,1.5,3.0,4.86
16,3.48,0.0,0.6
17,4.31,0.0,0.75
29,4.16,2.0,1.71
33,1.95,0.0,0.99
34,-0.11,0.0,-0.11
36,1.06,4.0,4.95
37,7.82,0.0,1.5
44,9.7,0.0,-0.02
49,3.26,5.0,4.16
52,2.29,0.0,0.33
56,6.58,5.0,6.17
58,8.33,0.0,0.23
59,8.08,0.0,-0.11
61,6.24,7.0,9.09
65,6.09,10.0,5.8
69,20.62,18.0,25.57
71,15.24,15.0,17.08
72,10.23,18.0,24.2
73,17.12,28.0,25.59
78,11.44,14.0,14.95
82,10.13,22.0,17.05
87,7.64,12.0,13.19
92,12.25,5.0,5.71
98,16.33,18.0,19.61
99,15.6,19.0,16.49
100,35.46,67.0,48.8
104,23.53,22.0,20.98
106,29.06,37.0,38.71
107,28.36,61.0,35.44
112,47.79,36.0,54.93
114,36.21,52.0,36.22
116,23.25,39.0,30.35
118,26.49,61.0,37.13
121,33.13,11.0,35.07
123,37.13,35.0,35.74
127,39.65,47.0,47.41
129,34.92,32.0,35.06
130,32.53,31.0,30.67
132,42.38,37.0,40.65
133,20.97,13.0,17.31
134,13.81,14.0,12.78
135,15.77,16.0,16.84
137,9.66,4.0,5.32
144,25.41,24.0,29.05
145,27.04,19.0,19.42
151,53.51,51.0,53.66
154,4.15,4.0,5.05
163,25.34,22.0,25.81
170,22.16,15.0,31.65
178,2.39,2.0,2.1
180,6.97,0.0,0.05
181,11.68,14.0,10.33
190,13.28,10.0,14.47
191,8.43,18.0,22.44
192,9.22,12.0,5.83
193,12.96,17.0,14.72
208,4.42,1.0,1.71
211,0.91,0.0,0.06
212,0.73,0.0,-0.36
213,2.37,0.0,0.1
214,0.35,3.0,3.98
220,1.03,2.0,1.87
221,0.46,11.0,12.76
228,1.8,5.0,5.87
232,1.61,0.0,-0.32
234,0.69,0.0,0.85
235,0.92,7.0,5.93
238,1.92,11.0,12.96
242,11.82,0.0,0.5
243,6.83,0.0,0.22
