,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
509,inf,inf
510,20.28,104.11
512,inf,inf
513,0.09,11.66
514,8.25,15.76
516,3.26,6.9
517,2.38,5.2
518,7.39,4.62
519,2.69,0.23
520,9.6,20.27
521,0.65,9.91
522,inf,inf
524,inf,inf
525,11.86,62.98
526,inf,inf
527,inf,inf
528,inf,inf
529,inf,inf
530,60.97,4.24
531,inf,inf
532,inf,inf
533,inf,inf
535,inf,inf
537,inf,inf
538,6.18,5.52
540,12.74,21.25
541,0.92,3.05
542,10.69,1.61
543,15.01,26.23
545,11.59,14.2
546,inf,inf
547,inf,inf
548,56.62,28.67
549,inf,inf
552,inf,inf
553,inf,inf
554,69.71,15.76
555,inf,inf
556,inf,inf
557,inf,inf
558,inf,inf
560,inf,inf
561,inf,inf
562,inf,inf
564,inf,inf
566,2.36,9.05
567,8.81,2.25
568,10.34,32.06
570,inf,inf
572,inf,inf
573,inf,inf
575,inf,inf
576,62.3,26.08
577,inf,inf
578,inf,inf
579,inf,inf
581,25.38,13.47
582,inf,inf
584,inf,inf
585,inf,inf
587,inf,inf
590,0.42,0.13
591,1.02,9.47
592,3.26,0.4
595,inf,inf
596,inf,inf
598,inf,inf
600,inf,inf
601,inf,inf
603,inf,inf
604,inf,inf
606,inf,inf
607,inf,inf
609,42.77,118.94
610,6.74,19.27
612,3.03,3.48
617,13.3,21.18
618,inf,inf
619,inf,inf
620,inf,inf
621,31.86,63.85
622,inf,inf
623,inf,inf
624,inf,inf
626,64.63,9.28
627,inf,inf
628,inf,inf
629,inf,inf
630,inf,inf
631,inf,inf
632,16.18,118.33
635,inf,inf
636,inf,inf
637,55.29,205.59
638,inf,inf
639,12.07,11.74
641,2.18,2.65
642,inf,inf
643,49.64,46.5
644,inf,inf
646,inf,inf
648,53.57,0.98
649,inf,inf
650,inf,inf
651,inf,inf
652,inf,inf
654,27.47,48.27
655,inf,inf
656,0.69,1.49
658,2.87,9.2
660,2.13,2.32
662,1.02,5.13
664,2.19,2.32
665,0.38,4.46
670,inf,inf
672,inf,inf
673,inf,inf
674,36.87,3.62
675,inf,inf
676,inf,inf
677,inf,inf
679,4.09,37.39
680,inf,inf
681,inf,inf
682,4.46,10.52
684,0.42,2.84
685,2.32,3.24
686,0.7,1.21
687,2.64,1.24
688,3.77,7.47
689,4.77,9.28
690,inf,inf
691,inf,inf
692,inf,inf
693,13.2,98.74
694,inf,inf
697,inf,inf
698,35.1,8.87
699,inf,inf
700,inf,inf
701,inf,inf
703,inf,inf
705,9.79,73.43
707,13.29,2.04
708,5.4,15.61
709,1.42,4.82
710,8.89,8.92
711,9.19,0.27
712,5.21,6.03
713,11.21,15.46
714,inf,inf
716,inf,inf
717,inf,inf
718,69.03,17.15
719,inf,inf
720,inf,inf
721,inf,inf
723,40.35,9.17
724,inf,inf
725,inf,inf
726,inf,inf
727,inf,inf
728,inf,inf
729,0.93,35.45
730,3.35,19.72
731,18.53,37.16
732,16.13,31.54
734,41.42,100.03
736,29.34,85.14
737,7.15,5.98
738,9.44,35.59
740,inf,inf
741,inf,inf
742,inf,inf
744,inf,inf
745,inf,inf
746,inf,inf
747,inf,inf
748,inf,inf
749,38.89,7.36
755,inf,inf
756,inf,inf
757,inf,inf
758,14.32,65.93
760,31.39,36.27
762,9.73,13.11
763,inf,inf
766,inf,inf
767,57.77,2.79
768,inf,inf
771,inf,inf
772,31.17,14.94
773,inf,inf
775,inf,inf
776,inf,inf
777,29.02,32.46
778,inf,inf
779,inf,inf
781,5.46,11.07
783,6.81,12.97
784,5.5,25.58
785,3.17,92.02
786,inf,inf
787,40.06,31.34
789,inf,inf
790,inf,inf
791,inf,inf
792,41.35,17.41
794,inf,inf
797,inf,inf
799,inf,inf
800,inf,inf
802,20.75,67.6
803,6.07,71.82
804,9.1,4.23
806,11.02,62.04
807,10.67,28.87
810,inf,inf
811,inf,inf
814,inf,inf
815,inf,inf
816,inf,inf
817,inf,inf
818,54.45,9.27
820,inf,inf
822,inf,inf
823,inf,inf
824,33.37,27.67
825,inf,inf
827,23.39,2.92
828,7.26,77.23
830,24.37,96.84
831,24.68,62.22
832,10.09,2.65
834,inf,inf
835,inf,inf
836,25.33,57.74
838,inf,inf
840,inf,inf
842,inf,inf
843,inf,inf
844,inf,inf
845,inf,inf
847,50.93,7.06
848,inf,inf
849,4.13,4.88
851,1.47,12.55
854,3.12,24.9
855,9.59,27.59
856,1.59,6.4
857,3.68,2.66
859,inf,inf
860,0.39,81.44
861,inf,inf
862,inf,inf
864,inf,inf
865,71.56,8.27
866,inf,inf
867,inf,inf
868,inf,inf
870,inf,inf
871,18.52,1.53
873,72.38,207.26
874,3.68,6.2
875,1.07,3.96
876,5.65,4.64
877,2.64,15.57
878,2.2,7.59
879,0.32,0.17
881,4.8,2.53
882,9.3,25.74
883,14.73,21.65
886,18.38,84.27
893,inf,inf
894,inf,inf
895,inf,inf
896,4.75,7.22
897,7.19,2.07
898,13.79,12.13
902,3.26,17.26
903,9.45,1.83
905,11.74,13.85
906,inf,inf
908,inf,inf
911,inf,inf
912,inf,inf
913,inf,inf
914,66.36,2.04
916,inf,inf
917,inf,inf
920,14.65,9.79
921,15.51,31.25
923,7.13,13.07
924,4.37,1.75
926,0.83,4.2
927,4.7,8.79
929,4.65,3.73
931,inf,inf
935,inf,inf
936,inf,inf
937,inf,inf
939,43.48,0.94
942,inf,inf
943,inf,inf
946,3.3,5.98
947,0.3,3.46
949,0.57,5.99
951,1.52,4.9
952,8.08,41.61
953,2.17,12.31
954,6.74,0.06
955,1.39,8.73
956,inf,inf
957,inf,inf
959,inf,inf
961,inf,inf
962,inf,inf
963,39.15,9.77
964,inf,inf
965,inf,inf
966,inf,inf
967,inf,inf
968,inf,inf
969,40.03,50.54
977,11.58,26.07
978,0.32,33.6
979,inf,inf
980,14.1,3.76
982,inf,inf
986,44.17,3.2
988,inf,inf
989,inf,inf
990,inf,inf
994,0.9,4.37
995,5.16,1.17
998,5.48,11.84
1000,0.09,8.02
1002,96.95,130.83
1003,inf,inf
1005,17.13,28.77
1006,8.11,150.07
1007,inf,inf
1008,inf,inf
1009,inf,inf
1011,67.71,11.47
1012,inf,inf
1013,inf,inf
1014,inf,inf
1015,inf,inf
1016,15.07,1.72
1017,8.2,6.9
1020,0.0,2.28
1021,1.91,11.13
1022,0.07,2.83
1023,9.17,17.3
1026,inf,inf
1027,inf,inf
1029,inf,inf
1031,inf,inf
1032,inf,inf
1034,inf,inf
1037,inf,inf
1038,inf,inf
1039,inf,inf
1040,20.14,24.25
1041,10.09,13.45
1043,0.89,0.48
1049,0.98,9.68
1050,16.53,13.75
1051,8.65,3.76
1053,inf,inf
1054,inf,inf
1055,inf,inf
1056,64.73,9.05
1057,inf,inf
1059,inf,inf
1060,inf,inf
1062,inf,inf
1063,inf,inf
1066,12.9,16.52
1067,0.26,1.88
1068,0.8,7.89
1070,2.73,6.17
1072,1.0,1.68
1074,2.56,7.36
1077,inf,inf
1078,inf,inf
1079,inf,inf
1080,inf,inf
1082,inf,inf
1083,inf,inf
1085,inf,inf
1086,41.61,31.07
1087,inf,inf
1089,1.8,11.64
1090,1.55,2.6
1091,1.73,5.98
1094,1.48,8.16
1095,1.23,3.6
1096,5.7,16.6
1097,2.64,14.57
1099,39.79,163.69
1101,30.72,25.58
1102,inf,inf
1103,inf,inf
1104,inf,inf
1106,50.68,0.91
1108,inf,inf
1109,inf,inf
1110,inf,inf
1111,inf,inf
1112,45.73,73.39
1113,1.98,11.2
1114,2.1,2.96
1118,3.31,3.67
1119,1.53,7.26
1120,6.75,19.75
1121,3.57,10.09
1122,8.36,8.44
1124,inf,inf
1125,inf,inf
1126,14.25,12.64
1127,27.46,33.33
1128,inf,inf
1129,inf,inf
1130,inf,inf
1131,inf,inf
1133,31.65,8.04
1134,inf,inf
1135,inf,inf
1136,inf,inf
1137,inf,inf
1138,22.52,108.29
1140,58.12,193.42
1141,2.93,16.18
1142,2.7,3.08
1143,5.84,9.38
1144,8.35,21.84
1145,26.71,75.26
1146,26.12,7.41
1147,inf,inf
1148,inf,inf
1149,inf,inf
1150,49.01,38.08
1151,inf,inf
1152,inf,inf
1154,inf,inf
1155,inf,inf
1156,71.96,9.75
1157,inf,inf
1158,inf,inf
1160,2.5,7.76
1162,1.35,2.76
1163,0.35,2.8
1164,2.3,3.32
1165,0.86,1.35
1166,3.43,8.29
1169,1.47,5.03
1170,23.41,141.68
1171,7.98,19.25
1173,1.54,4.27
1174,inf,inf
1176,inf,inf
1178,inf,inf
1179,inf,inf
1180,12.82,30.22
1181,inf,inf
1182,inf,inf
1184,0.31,2.09
1185,0.54,0.9
1187,2.63,12.41
1190,0.11,0.96
1191,0.74,3.36
1192,1.38,5.21
1193,0.55,5.01
1197,inf,inf
1199,inf,inf
1201,inf,inf
1202,inf,inf
1204,inf,inf
1205,inf,inf
