,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,0.33,0.21
1,0.13,1.58
2,7.58,21.53
3,42.85,1.01
4,8.29,6.15
5,3.67,7.5
6,5.86,3.47
9,28.73,23.77
10,27.42,3.54
11,6.79,1.35
12,1.61,2.44
13,2.69,4.93
14,5.73,4.19
16,6.86,25.94
19,5.88,1.21
20,9.24,5.02
21,7.48,3.79
24,140.73,33.22
26,17.05,8.81
27,11.98,9.4
29,9.41,1.86
30,2.39,0.02
32,3.35,13.35
33,6.97,2.77
35,1.72,1.94
36,2.17,1.79
37,25.02,0.33
39,11.02,8.34
40,5.22,2.46
41,1.86,1.56
45,152.25,27.46
46,22.72,8.21
47,11.4,7.33
48,5.29,2.41
50,14.31,7.91
51,0.95,2.99
52,274.9,16.15
53,9.9,0.95
54,9.54,1.25
55,10.57,0.53
57,6.47,4.21
58,0.01,15.2
59,99.81,156.89
60,6.96,1.75
63,17.88,11.03
64,14.82,14.04
67,4.47,0.19
68,2.9,3.07
71,0.9,2.05
72,12.82,12.16
73,71.5,99.89
76,0.37,0.8
77,17.44,9.82
78,19.96,7.94
80,51.37,28.57
82,3.73,3.2
84,2.17,4.86
85,4.03,0.74
86,11.43,11.73
87,78.29,114.49
88,4.64,2.7
89,15.17,11.12
90,24.85,13.49
91,9.56,5.22
93,18.5,3.72
94,40.45,2.69
95,4.1,4.27
96,2.51,0.09
99,3.93,2.1
100,18.06,3.73
101,78.29,103.14
102,0.32,1.79
104,2.5,3.23
106,1.82,3.81
107,13.73,14.05
108,219.45,98.35
110,2.4,1.78
111,4.04,1.55
112,3.68,3.29
113,8.75,5.3
115,174.97,100.52
117,2.35,0.05
118,1.76,0.01
120,0.92,0.09
122,379.18,179.92
123,2.63,1.81
124,0.43,0.87
125,1.69,0.27
126,3.18,2.54
127,0.2,0.07
129,175.67,57.48
130,2.84,4.63
131,3.24,0.61
132,0.52,0.87
133,2.16,1.17
135,9.72,6.48
136,7.33,35.21
139,0.26,1.44
140,1.76,1.68
141,0.24,0.56
142,15.94,6.13
143,272.78,109.47
144,3.29,0.4
145,3.01,1.48
146,1.17,1.33
147,1.18,0.63
149,18.79,3.62
151,0.07,0.2
155,6.17,7.6
156,18.81,15.69
157,28.36,2.4
158,1.16,1.21
160,0.18,7.12
161,6.47,0.6
162,7.05,2.29
166,5.61,3.0
167,8.81,3.17
169,5.03,3.56
170,31.64,27.72
173,9.86,11.68
174,4.76,0.41
175,8.17,1.35
177,3.13,1.38
178,317.87,99.51
179,13.5,11.01
180,19.72,9.04
181,6.55,0.33
183,8.19,0.53
184,7.72,8.48
185,196.98,211.33
186,12.21,11.25
188,2.8,0.81
189,7.8,8.07
190,2.59,0.26
191,18.97,9.42
192,421.58,189.78
193,57.38,42.61
194,26.65,9.29
195,4.72,4.7
197,15.45,14.39
198,24.48,4.03
200,2.92,2.36
201,0.06,3.23
202,9.37,7.14
203,1.66,4.07
204,8.63,0.47
206,45.23,48.3
207,4.95,6.11
209,8.86,7.06
210,4.11,0.59
212,8.3,1.35
213,39.79,23.21
214,5.13,2.01
216,0.51,2.14
217,2.93,1.94
218,6.43,6.79
220,37.61,10.46
223,1.16,1.49
226,9.69,22.07
227,15.78,13.54
228,0.91,7.98
230,4.42,6.78
231,0.64,4.02
234,6.81,3.45
236,14.79,5.49
238,6.5,8.16
240,11.89,3.68
241,55.28,10.26
242,6.43,1.55
244,2.61,2.74
245,11.42,0.74
246,3.19,5.07
248,19.3,4.16
250,10.93,8.34
251,5.38,1.33
254,18.98,8.17
255,141.99,8.12
257,21.46,6.07
258,10.6,2.21
259,0.06,2.65
260,7.64,2.87
262,55.77,5.03
263,3.49,0.29
264,0.37,2.95
266,1.32,1.01
267,9.5,9.18
269,15.15,10.49
270,16.07,1.06
271,14.79,16.87
272,25.96,14.69
273,391.31,83.38
274,132.61,43.07
275,13.69,11.14
276,29.92,37.23
279,345.33,52.43
281,4.02,8.18
283,55.21,5.9
284,1.92,5.24
285,9.3,5.83
288,17.91,2.95
289,12.82,8.62
290,17.41,4.55
291,6.45,2.43
292,12.8,8.23
296,150.69,10.38
297,13.02,2.32
299,6.37,11.39
302,16.96,5.54
303,33.96,10.08
304,5.49,0.02
305,8.68,2.2
306,9.64,2.01
308,20.98,9.85
309,13.22,0.53
310,85.1,15.45
311,12.83,6.85
312,14.49,1.24
313,26.12,26.13
314,4.03,5.91
317,131.48,11.26
318,9.34,39.41
321,3.71,5.86
323,5.49,3.67
325,15.15,22.61
326,1.46,9.56
327,4.15,5.48
328,29.14,15.73
331,27.5,0.66
332,17.09,5.78
333,7.99,9.45
334,3.52,4.14
335,28.31,5.85
336,0.02,1.24
337,3.75,3.6
339,37.91,1.55
340,15.89,15.49
342,4.46,4.43
344,11.95,9.19
345,20.01,14.86
346,12.85,28.86
347,5.84,7.92
348,0.17,0.91
349,1.33,5.03
350,2.37,0.96
352,0.5,14.96
353,42.77,28.8
354,13.91,5.15
355,3.44,8.93
356,5.2,4.36
357,4.43,3.91
358,3.01,3.92
362,7.75,6.51
363,5.96,5.92
364,7.15,6.56
366,5.68,4.33
370,13.67,4.78
371,10.98,5.22
372,3.16,4.0
373,6.87,6.07
374,3.55,5.2
375,38.82,13.27
376,5.5,35.64
377,14.08,4.81
378,15.25,17.9
379,5.47,5.49
380,7.26,3.01
382,3.85,21.63
384,91.57,33.65
385,6.67,6.54
386,14.92,4.21
387,0.79,1.32
388,2.27,0.73
389,32.46,14.85
390,114.39,1.86
391,0.54,9.0
392,3.11,1.87
393,283.92,44.88
394,2.76,1.78
395,15.02,6.42
396,1018.03,105.48
397,99.63,235.35
398,12.74,2.95
400,29.22,4.86
402,10.14,9.35
404,145.51,124.4
405,15.33,10.69
407,3.66,2.66
409,11.13,6.97
410,454.04,63.6
413,13.03,8.95
414,8.08,6.65
416,9.78,3.62
417,10.06,8.4
419,4.33,4.75
420,8.07,1.34
422,3.06,5.47
424,21.96,12.91
425,349.15,29.39
426,9.68,7.28
427,6.59,1.83
428,12.31,6.11
429,5.67,3.32
431,8.4,1.25
432,142.03,117.79
433,11.98,9.12
436,9.03,1.67
437,5.13,2.7
439,16.07,97.77
440,2.89,0.91
441,4.91,2.0
442,4.42,3.36
443,3.42,1.52
444,6.52,0.38
446,129.38,183.64
447,1.9,0.7
449,8.98,10.7
451,3.12,2.67
452,23.52,14.29
454,2.47,2.9
455,3.68,3.01
456,3.81,1.4
457,9.82,6.6
458,3.56,6.35
460,80.25,212.88
461,11.96,2.9
462,5.08,4.72
465,13.25,7.51
466,12.33,2.46
469,3.69,4.17
470,0.33,5.17
471,9.16,4.5
473,6.23,10.0
475,21.0,10.89
476,5.13,1.57
478,12.51,2.12
479,0.3,5.24
482,2.98,1.53
483,9.18,10.03
484,5.11,4.94
485,0.76,1.82
486,9.47,3.31
488,30.97,118.76
489,0.37,1.6
490,1.28,0.75
491,2.11,0.42
492,4.15,0.82
495,194.42,132.64
496,9.19,6.08
498,4.77,3.79
499,4.08,1.99
500,8.98,4.46
501,13.38,19.77
502,285.94,198.15
503,11.39,6.11
504,11.38,7.05
