,ì˙ï ,é¿ê—
1,2.559758666596059,4.0
2,3.1531206959895375,4.0
3,6.400662819951758,5.0
5,6.065420100378317,5.0
6,2.60813310879566,4.0
7,4.575323317118222,5.0
9,7.3834204038163005,4.0
10,5.007926009051211,5.0
11,5.662512999131295,4.0
12,4.5256243032558645,5.0
15,4.436680869020881,5.0
16,4.904637324990011,4.0
17,5.1871276566030105,5.0
18,5.169192007486201,4.0
20,5.012284497710126,4.0
21,3.9330638164630676,4.0
23,1.7820769575615998,4.0
24,7.4316446042903515,5.0
25,7.4369572504614325,4.0
26,5.016348754957469,5.0
27,3.860217772507859,4.0
28,3.6238694607018793,4.0
29,5.905214859093804,5.0
30,4.133592681691192,4.0
31,3.9841639628323686,5.0
32,4.022492462396108,4.0
34,5.512745224438737,4.0
35,5.543015126904724,4.0
36,3.6172701003676253,5.0
37,4.210802960113087,4.0
38,13.576303522315538,17.0
42,7.183490149405195,4.0
44,8.472264764556598,5.0
46,24.106294286458475,22.0
48,15.936921529080038,14.0
52,19.93398325992042,27.0
54,28.2446296056472,31.0
55,23.95561256112768,21.0
57,23.74659761653971,21.0
59,26.908859165414903,34.0
60,32.79799723080817,33.0
61,22.051561881564353,23.0
63,32.65240200392952,28.0
64,31.81420540670833,32.0
65,12.740334458694548,14.0
66,15.623453842004725,10.0
67,44.041406290544614,42.0
69,42.60988895261321,40.0
70,46.202364126857006,46.0
72,22.00663390216668,22.0
76,40.73743202323761,41.0
77,35.76508918894348,40.0
78,32.380020958966476,36.0
79,6.787665226807018,7.0
80,15.661740641028848,14.0
82,50.40659221646117,53.0
83,48.35390497325273,48.0
84,46.697740022067904,46.0
86,23.42030797212733,26.0
87,27.85690118936966,31.0
88,59.46463618956664,64.0
90,32.36156295973375,35.0
91,40.18512403090698,39.0
92,35.143608878395284,40.0
94,15.521021483389898,16.0
97,51.39776929289643,53.0
98,42.3951255463754,42.0
99,42.75463503939519,42.0
100,30.088072768641855,26.0
101,41.64548746368026,44.0
102,55.56205200734719,56.0
103,64.61545712354862,65.0
104,60.59882023643006,61.0
105,61.39459614551298,63.0
106,77.98769297879632,78.0
107,40.34361026698887,48.0
109,94.95155802113091,94.0
110,93.72376678255098,94.0
111,89.17835416089238,100.0
112,60.62587766799915,58.0
113,54.17603953898561,45.0
114,47.743735966158404,37.0
118,75.06155156053698,79.0
120,61.780645906578634,54.0
121,36.34609978233883,23.0
122,58.20399612770794,42.0
123,84.01644689123657,83.0
124,89.22114311519903,93.0
125,89.78355429926421,92.0
126,93.61247505100138,104.0
127,92.82813168238371,99.0
129,52.508177993382965,61.0
130,60.45603216990729,58.0
131,81.8049664863648,81.0
133,63.07712542468013,63.0
134,37.115517847567105,38.0
