,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
270,inf,inf,inf,inf
271,44.62,43.1,6.42,6.28
272,inf,inf,inf,inf
273,inf,inf,inf,inf
274,inf,inf,inf,inf
275,57.23,58.0,4.73,2.37
276,inf,inf,inf,inf
277,inf,inf,inf,inf
278,inf,inf,inf,inf
279,inf,inf,inf,inf
282,67.41,60.45,2.92,5.13
287,inf,inf,inf,inf
288,61.83,60.04,0.64,0.75
289,inf,inf,inf,inf
290,84.03,84.3,3.03,6.18
291,inf,inf,inf,inf
293,59.5,59.23,0.64,0.75
294,inf,inf,inf,inf
295,inf,inf,inf,inf
297,53.49,37.69,0.02,2.29
298,inf,inf,inf,inf
299,inf,inf,inf,inf
301,inf,inf,inf,inf
302,57.03,39.46,2.16,4.0
303,inf,inf,inf,inf
304,inf,inf,inf,inf
305,57.83,59.89,1.79,2.48
307,inf,inf,inf,inf
308,inf,inf,inf,inf
309,inf,inf,inf,inf
310,inf,inf,inf,inf
311,inf,inf,inf,inf
312,47.36,49.06,0.43,0.23
313,inf,inf,inf,inf
314,58.78,63.13,0.43,0.23
315,78.55,79.01,0.59,1.7
316,inf,inf,inf,inf
318,39.65,38.36,1.03,1.18
319,54.87,57.83,1.02,1.0
320,21.58,11.9,3.64,2.26
322,24.25,29.54,6.69,6.41
323,30.98,29.18,45.23,46.6
324,24.94,28.03,7.35,11.06
325,28.3,34.25,5.56,10.64
329,inf,inf,inf,inf
330,inf,inf,inf,inf
331,inf,inf,inf,inf
332,inf,inf,inf,inf
334,inf,inf,inf,inf
335,63.77,69.29,0.34,0.05
337,51.97,55.71,0.71,2.89
339,58.41,63.02,0.19,0.33
340,58.3,61.91,0.19,0.33
342,4.39,0.86,4.03,1.43
343,12.54,1.37,10.76,10.33
344,74.64,70.21,5.55,6.36
345,7.17,1.74,6.33,2.86
346,12.81,5.11,12.5,12.2
347,15.63,10.12,6.7,5.79
348,11.78,8.73,6.35,5.6
349,4.84,6.15,1.15,1.58
351,3.34,7.05,6.0,7.54
353,43.94,41.05,4.43,2.47
354,inf,inf,inf,inf
355,61.18,67.05,0.51,0.38
357,inf,inf,inf,inf
360,inf,inf,inf,inf
361,inf,inf,inf,inf
362,58.02,65.37,1.01,0.88
364,inf,inf,inf,inf
366,inf,inf,inf,inf
367,52.98,58.07,2.99,3.56
368,46.15,43.92,5.12,3.17
369,20.13,25.25,6.53,6.48
371,48.49,43.94,23.9,26.65
372,35.86,27.38,7.82,1.81
374,27.45,35.44,8.09,1.3
375,inf,inf,inf,inf
376,39.2,41.01,4.27,1.21
377,inf,inf,inf,inf
379,62.46,68.72,0.58,0.16
381,59.02,57.93,0.58,0.48
383,inf,inf,inf,inf
384,inf,inf,inf,inf
385,inf,inf,inf,inf
386,inf,inf,inf,inf
387,58.62,59.84,0.25,0.7
388,64.44,61.81,0.33,0.41
390,inf,inf,inf,inf
391,23.7,18.85,1.55,1.78
392,25.07,34.24,1.23,0.7
393,29.48,31.34,1.22,1.82
394,17.18,4.83,2.27,9.36
395,50.13,53.78,3.35,1.87
396,0.09,9.58,6.72,11.04
398,inf,inf,inf,inf
399,64.16,47.33,0.37,8.79
400,54.89,34.62,2.59,6.72
401,inf,inf,inf,inf
402,56.42,55.43,2.85,1.42
405,69.74,77.19,1.19,1.2
407,inf,inf,inf,inf
408,71.98,54.35,0.33,0.38
411,inf,inf,inf,inf
412,inf,inf,inf,inf
413,66.24,59.77,0.33,0.38
416,50.64,53.24,0.82,5.44
417,53.36,65.44,5.18,2.52
418,0.26,3.01,19.21,18.42
420,36.87,41.04,2.54,0.89
423,12.23,10.55,8.49,7.41
425,12.47,39.67,1.85,2.91
428,inf,inf,inf,inf
430,inf,inf,inf,inf
431,59.1,60.69,0.4,0.03
435,64.77,62.19,0.62,1.27
439,43.94,32.12,1.93,2.09
440,inf,inf,inf,inf
442,inf,inf,inf,inf
444,48.11,41.01,6.71,5.34
445,inf,inf,inf,inf
446,48.41,32.66,5.43,4.84
447,57.81,37.88,3.96,3.31
449,54.22,49.11,1.8,1.89
450,inf,inf,inf,inf
451,inf,inf,inf,inf
452,inf,inf,inf,inf
453,inf,inf,inf,inf
454,inf,inf,inf,inf
457,inf,inf,inf,inf
458,inf,inf,inf,inf
459,inf,inf,inf,inf
460,inf,inf,inf,inf
461,inf,inf,inf,inf
462,57.71,51.71,7.6,1.17
463,42.95,29.2,8.75,1.72
464,inf,inf,inf,inf
465,inf,inf,inf,inf
467,inf,inf,inf,inf
468,60.23,77.16,7.74,11.54
469,inf,inf,inf,inf
470,inf,inf,inf,inf
471,30.5,40.84,1.93,5.05
473,45.69,53.35,4.95,4.14
475,inf,inf,inf,inf
476,inf,inf,inf,inf
477,inf,inf,inf,inf
478,inf,inf,inf,inf
479,54.43,59.36,0.83,1.3
481,inf,inf,inf,inf
482,inf,inf,inf,inf
483,56.71,57.17,0.48,0.03
485,inf,inf,inf,inf
486,27.49,18.21,1.65,0.94
488,41.35,30.27,2.54,3.44
490,13.37,9.86,4.14,4.36
491,82.17,82.08,9.24,10.32
493,3.09,0.78,2.24,4.18
494,5.97,2.76,14.73,15.04
495,17.66,9.28,3.99,2.19
496,32.81,23.01,0.21,0.72
497,inf,inf,inf,inf
499,63.13,58.46,0.86,0.68
500,inf,inf,inf,inf
501,inf,inf,inf,inf
502,inf,inf,inf,inf
503,63.18,68.23,0.38,0.24
504,inf,inf,inf,inf
505,inf,inf,inf,inf
506,65.84,68.26,0.66,0.53
507,inf,inf,inf,inf
508,inf,inf,inf,inf
509,inf,inf,inf,inf
510,inf,inf,inf,inf
511,5.54,15.24,13.28,17.1
512,53.69,53.17,0.22,3.4
513,53.97,40.06,5.84,4.24
515,5.83,6.92,7.28,6.97
517,8.75,11.11,5.77,3.81
519,21.04,25.54,8.77,5.88
521,31.59,47.4,2.07,2.34
522,inf,inf,inf,inf
523,69.62,60.49,0.14,0.57
525,inf,inf,inf,inf
527,inf,inf,inf,inf
528,64.55,68.08,0.7,0.56
529,64.26,64.74,0.7,0.56
531,inf,inf,inf,inf
532,inf,inf,inf,inf
533,inf,inf,inf,inf
534,13.73,11.46,1.94,1.01
535,51.49,56.01,1.57,0.84
536,30.35,25.72,5.3,7.06
538,36.99,43.17,4.57,5.68
539,48.47,59.52,3.58,2.82
540,27.89,23.44,3.47,1.37
542,25.81,29.03,16.1,8.37
546,inf,inf,inf,inf
550,inf,inf,inf,inf
553,64.8,64.37,0.92,2.33
554,inf,inf,inf,inf
555,inf,inf,inf,inf
556,inf,inf,inf,inf
557,63.3,68.81,1.12,2.34
558,17.91,19.83,0.94,1.67
560,inf,inf,inf,inf
561,32.75,37.21,2.32,0.06
562,19.25,13.06,5.22,7.98
563,14.31,14.64,6.1,5.01
564,20.92,12.38,6.55,11.75
565,27.74,15.72,2.12,1.05
566,2.42,8.83,2.42,1.54
567,46.1,35.05,7.87,12.85
568,44.52,46.63,14.11,11.14
571,inf,inf,inf,inf
572,inf,inf,inf,inf
573,inf,inf,inf,inf
574,61.01,62.6,0.98,0.27
575,63.6,62.6,0.98,0.27
576,inf,inf,inf,inf
577,inf,inf,inf,inf
578,inf,inf,inf,inf
579,70.68,63.47,4.5,0.37
580,inf,inf,inf,inf
582,32.78,36.22,2.21,1.04
583,inf,inf,inf,inf
584,24.32,31.48,6.7,6.73
586,59.43,57.49,1.82,3.43
587,38.03,33.33,47.34,47.64
588,30.07,22.75,14.64,8.21
589,4.08,9.58,1.18,1.64
590,6.99,10.35,2.69,7.76
593,19.56,16.25,5.16,2.05
594,63.72,46.77,0.71,0.12
595,inf,inf,inf,inf
596,inf,inf,inf,inf
597,65.07,70.31,0.1,0.19
598,inf,inf,inf,inf
599,inf,inf,inf,inf
600,inf,inf,inf,inf
601,60.53,60.98,0.23,0.01
602,inf,inf,inf,inf
603,inf,inf,inf,inf
604,inf,inf,inf,inf
605,55.92,59.6,0.23,0.01
606,inf,inf,inf,inf
608,inf,inf,inf,inf
609,inf,inf,inf,inf
610,inf,inf,inf,inf
611,inf,inf,inf,inf
614,inf,inf,inf,inf
616,inf,inf,inf,inf
617,inf,inf,inf,inf
619,inf,inf,inf,inf
620,77.99,80.83,7.99,9.0
621,inf,inf,inf,inf
622,inf,inf,inf,inf
623,53.42,64.21,1.04,0.66
624,inf,inf,inf,inf
625,57.52,60.95,2.27,3.8
626,inf,inf,inf,inf
627,60.24,66.18,2.19,3.8
628,inf,inf,inf,inf
629,inf,inf,inf,inf
630,inf,inf,inf,inf
631,inf,inf,inf,inf
633,inf,inf,inf,inf
634,37.3,43.31,6.51,7.72
635,50.12,38.08,3.88,4.79
636,inf,inf,inf,inf
637,inf,inf,inf,inf
639,inf,inf,inf,inf
641,inf,inf,inf,inf
642,62.43,64.91,0.44,3.47
644,inf,inf,inf,inf
645,inf,inf,inf,inf
647,52.95,61.53,0.55,3.23
648,inf,inf,inf,inf
649,inf,inf,inf,inf
650,63.58,56.51,0.58,0.6
653,inf,inf,inf,inf
655,18.32,16.48,35.85,38.82
656,102.97,109.7,11.51,3.09
657,15.22,19.08,7.32,7.63
661,10.07,11.4,8.86,14.31
662,9.19,7.97,3.77,3.55
663,9.59,7.49,0.95,1.67
665,51.92,56.47,16.21,16.84
666,24.52,22.2,3.84,2.45
667,inf,inf,inf,inf
668,82.3,83.66,0.51,1.84
671,inf,inf,inf,inf
672,inf,inf,inf,inf
673,inf,inf,inf,inf
674,65.88,64.24,2.56,2.39
675,inf,inf,inf,inf
677,inf,inf,inf,inf
679,33.14,33.73,2.15,4.32
681,8.02,6.74,4.9,3.84
682,15.76,15.7,2.4,0.59
683,63.96,52.48,13.5,6.07
