,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1,33.89,36.0,37.0
2,14.63,15.0,15.17
4,29.39,31.0,31.7
5,24.91,27.0,24.71
6,30.77,29.0,30.03
7,31.6,32.0,29.04
9,11.04,7.0,8.08
10,2.3,2.0,2.03
12,35.0,35.0,35.1
14,28.52,30.0,27.58
15,32.37,32.0,32.09
16,15.39,14.0,15.33
17,1.82,2.0,2.27
18,28.45,31.0,31.98
20,42.01,39.0,42.15
21,42.73,42.0,41.3
22,32.99,36.0,33.53
23,17.57,16.0,19.46
24,2.43,2.0,1.63
25,24.37,27.0,26.75
27,41.46,45.0,41.67
29,41.74,46.0,42.25
30,17.94,20.0,20.3
31,2.17,3.0,3.16
32,19.21,22.0,23.34
33,32.31,35.0,36.68
34,31.73,36.0,37.91
35,44.65,44.0,45.88
36,42.79,42.0,41.33
37,37.29,42.0,40.94
38,1.68,2.0,2.78
39,48.98,41.0,47.45
40,41.04,41.0,41.05
41,40.74,41.0,43.43
42,37.61,41.0,40.68
43,54.29,53.0,56.0
44,38.79,29.0,38.76
45,2.79,2.0,0.12
47,59.19,51.0,58.02
48,42.96,46.0,44.56
49,53.79,46.0,55.3
50,66.12,59.0,62.71
51,25.65,27.0,30.75
52,2.63,2.0,2.06
54,68.32,63.0,70.87
57,54.42,53.0,53.71
58,56.37,45.0,58.52
60,53.94,55.0,53.76
63,70.71,62.0,71.82
65,69.66,62.0,67.36
66,4.0,2.0,1.91
67,99.24,99.0,99.2
68,112.84,112.0,109.12
69,104.85,113.0,101.76
70,94.33,97.0,94.49
71,107.11,110.0,110.28
72,90.81,92.0,83.82
73,3.23,3.0,2.3
74,95.78,92.0,93.27
76,100.92,98.0,99.87
77,91.66,102.0,98.09
81,99.91,97.0,96.72
82,101.88,108.0,103.87
83,100.84,100.0,98.37
84,104.35,104.0,102.4
85,104.89,106.0,105.07
86,83.17,89.0,80.34
87,5.3,2.0,4.35
88,102.19,102.0,102.57
89,92.21,103.0,89.68
90,76.5,91.0,73.55
91,80.21,89.0,80.1
92,71.32,64.0,74.96
93,77.41,84.0,76.91
94,4.01,2.0,1.54
99,101.29,104.0,105.21
100,93.95,100.0,94.06
101,2.17,2.0,1.73
102,109.68,110.0,108.74
104,110.47,111.0,108.22
105,115.36,113.0,112.75
106,118.49,120.0,122.25
107,93.37,96.0,93.19
108,4.26,3.0,4.46
109,114.96,113.0,113.54
110,115.86,122.0,118.1
111,122.74,122.0,120.89
112,103.77,107.0,103.71
113,101.41,104.0,106.13
114,92.35,96.0,92.14
118,119.2,119.0,116.42
119,121.07,120.0,121.19
120,112.9,113.0,112.07
122,5.57,2.0,3.85
125,118.38,122.0,122.27
127,118.9,123.0,122.62
128,92.6,98.0,93.5
129,4.02,2.0,3.15
130,98.54,101.0,101.3
132,122.53,121.0,118.72
134,97.56,95.0,96.34
136,3.45,2.0,2.55
137,71.33,84.0,70.44
140,122.44,121.0,120.43
141,120.22,121.0,121.57
142,95.73,101.0,95.59
143,2.91,2.0,2.47
144,111.18,110.0,113.05
145,115.14,118.0,116.04
146,118.74,121.0,120.6
147,120.09,123.0,119.61
148,120.06,123.0,119.91
150,5.07,2.0,3.44
152,116.74,117.0,116.77
156,35.77,31.0,37.51
157,3.41,2.0,1.85
158,57.01,56.0,53.46
159,59.7,66.0,58.39
161,66.18,64.0,64.84
163,82.78,83.0,83.25
164,2.23,2.0,2.57
165,109.63,105.0,104.68
166,98.91,103.0,98.0
167,109.73,118.0,109.5
168,100.34,110.0,100.12
170,68.72,52.0,70.84
171,5.17,2.0,3.12
172,74.4,93.0,77.52
173,80.67,72.0,83.83
176,112.7,107.0,112.39
178,4.76,2.0,1.61
179,53.66,60.0,52.59
182,105.44,105.0,99.99
183,58.85,61.0,61.52
186,89.95,102.0,92.97
187,84.88,72.0,86.5
189,57.41,64.0,58.37
190,96.29,108.0,98.83
191,44.34,64.0,48.31
192,5.3,2.0,3.03
193,74.38,49.0,74.07
194,43.47,39.0,46.94
195,36.1,36.0,35.5
196,39.28,39.0,38.34
198,39.75,32.0,37.67
199,2.94,3.0,3.49
200,24.11,27.0,25.55
201,28.68,28.0,28.91
203,28.54,28.0,26.44
207,25.1,24.0,25.24
208,31.32,29.0,30.43
209,28.36,26.0,27.4
211,28.15,28.0,28.02
212,15.56,19.0,16.93
213,3.17,2.0,2.76
214,23.99,26.0,26.9
215,33.69,32.0,32.92
217,29.21,30.0,27.9
218,29.68,30.0,29.1
220,3.11,5.0,4.69
221,26.8,29.0,27.39
222,29.63,32.0,30.89
223,29.93,30.0,29.3
224,28.65,30.0,29.98
226,15.56,20.0,15.04
227,4.04,3.0,3.03
228,21.9,25.0,22.4
229,27.77,27.0,24.44
230,26.06,26.0,29.32
232,26.08,27.0,26.12
234,4.09,3.0,3.1
236,19.02,24.0,21.57
239,25.83,27.0,25.21
240,12.74,14.0,14.42
241,2.2,2.0,1.91
243,20.98,21.0,20.77
244,27.97,28.0,27.98
246,21.68,24.0,25.93
247,12.93,13.0,12.6
248,2.6,3.0,3.13
249,15.38,16.0,17.44
252,22.65,22.0,22.57
253,22.46,22.0,20.08
254,11.89,14.0,14.41
255,2.96,2.0,1.61
256,15.46,17.0,16.73
257,16.08,18.0,16.43
258,19.52,21.0,19.86
260,23.97,23.0,24.53
261,9.57,9.0,9.06
262,3.05,2.0,1.66
264,19.12,19.0,17.65
265,18.66,19.0,18.68
267,18.77,22.0,19.47
269,2.37,2.0,2.26
271,10.89,14.0,11.47
272,6.46,7.0,6.79
273,6.19,2.0,2.29
275,3.05,2.0,2.4
277,7.09,2.0,2.44
279,7.76,2.0,2.87
280,8.18,6.0,6.85
281,9.56,10.0,10.8
282,4.2,4.0,4.1
284,9.74,13.0,11.61
285,14.86,16.0,16.1
287,15.0,16.0,14.77
291,11.58,12.0,12.35
292,13.8,15.0,14.07
