,“ú•Ê
1,inf
2,inf
3,inf
5,inf
6,inf
7,inf
9,inf
10,inf
11,inf
12,inf
15,inf
16,inf
17,inf
18,inf
20,inf
21,inf
23,inf
24,inf
25,6.63
26,inf
27,inf
28,inf
29,2.3
30,0.12
31,inf
32,0.59
34,0.46
35,0.46
36,0.37
37,0.3
38,inf
42,inf
44,0.2
46,0.15
48,0.08
52,inf
54,0.0
55,0.29
57,0.06
59,inf
60,0.25
61,0.68
63,0.26
64,2.13
65,0.26
66,inf
67,0.24
69,0.24
70,0.16
72,0.08
76,0.55
77,0.05
78,0.17
79,0.52
80,inf
82,0.08
83,0.0
84,0.24
86,0.25
87,inf
88,0.03
90,1.74
91,3.11
92,3.79
94,inf
97,0.12
98,0.02
99,0.43
100,0.02
101,inf
102,0.09
103,0.21
104,0.21
105,0.17
106,0.28
107,0.25
109,1.85
110,0.37
111,0.22
112,0.24
113,0.39
114,0.51
118,0.22
120,0.11
121,0.19
122,inf
123,0.09
124,0.49
125,0.43
126,0.55
127,0.14
129,1.15
130,0.28
131,0.24
133,0.17
134,0.55
136,inf
138,0.0
139,0.09
140,0.02
141,0.44
144,0.28
145,0.63
146,0.47
147,0.09
148,0.01
149,0.75
150,inf
154,3.55
155,3.86
156,0.81
158,0.54
159,0.15
160,0.41
163,0.49
164,0.39
168,0.09
170,0.23
171,inf
172,0.06
173,0.18
174,0.3
175,0.02
178,0.71
179,0.39
182,0.22
185,inf
186,0.2
187,0.01
189,0.79
190,0.13
191,0.01
192,inf
193,0.42
194,0.29
195,1.1
196,0.03
199,inf
200,1.71
201,inf
204,1.97
205,0.07
206,inf
207,3.36
209,0.4
211,0.37
214,inf
215,inf
216,inf
217,0.12
220,0.97
221,inf
223,inf
224,0.43
225,inf
226,0.84
227,inf
228,0.25
230,inf
231,0.0
232,0.07
234,inf
235,inf
236,inf
237,inf
238,inf
240,0.23
241,inf
242,inf
243,inf
244,inf
245,2.21
246,inf
248,inf
249,inf
251,inf
252,inf
253,inf
254,inf
255,inf
256,inf
257,inf
259,inf
260,inf
262,inf
263,inf
265,inf
266,inf
267,inf
270,inf
271,inf
272,inf
273,inf
274,inf
276,inf
278,2.83
279,2.58
280,0.01
282,inf
283,inf
284,0.37
285,0.52
286,inf
288,inf
289,inf
290,inf
291,0.4
292,3.87
293,14.32
294,0.4
295,5.3
296,inf
297,inf
298,0.2
299,1.67
300,0.28
301,5.66
302,3.27
303,2.0
304,inf
306,5.11
307,3.08
308,inf
309,inf
310,inf
313,inf
314,inf
316,0.54
322,2.74
323,inf
325,inf
326,0.47
328,0.36
330,0.53
331,0.5
334,inf
337,5.83
338,inf
340,inf
343,inf
345,inf
347,inf
348,3.88
350,0.75
352,inf
354,inf
355,0.36
356,inf
357,inf
358,inf
359,inf
360,inf
361,inf
363,inf
