,“ú•Ê
0,31.58
3,3.61
4,26.46
5,0.13
8,20.57
10,88.95
11,17.78
12,20.24
13,135.12
14,16.66
15,3.94
20,82.02
21,97.58
22,15.01
23,9.29
24,18.0
25,8.33
27,33.54
28,33.27
33,21.82
34,2.09
35,43.71
36,4.2
37,19.79
39,88.09
40,7.09
42,27.76
43,91.06
46,25.91
47,45.01
48,2.2
49,7.74
50,16.2
51,16.14
52,0.93
53,28.49
57,13.44
58,9.66
60,39.73
62,53.6
63,11.76
64,1.14
65,35.31
67,6.61
69,38.49
70,13.65
71,12.15
74,36.36
75,5.06
76,13.88
77,65.16
78,245.27
80,36.74
81,17.2
82,5.0
83,46.09
85,0.74
86,40.02
87,55.2
88,4.57
89,27.59
90,1.16
92,4.04
93,21.55
94,6.15
95,34.9
96,20.84
97,30.52
102,7.17
104,10.64
106,2.96
108,77.78
109,0.05
110,0.91
111,2.98
112,90.86
113,90.86
114,85.83
115,98.79
116,1.59
117,3.92
118,8.15
121,67.71
123,1.76
125,12.55
126,20.41
127,20.41
128,92.21
131,8.95
132,11.24
133,16.02
134,33.31
135,23.01
136,9.71
137,2.2
139,0.87
143,85.83
145,1.38
147,20.83
148,14.16
149,98.79
150,69.89
152,10.65
156,0.35
157,27.35
158,22.92
159,19.1
160,28.56
161,18.71
162,21.58
164,10.94
165,4.96
167,12.48
168,1.71
169,34.63
170,68.0
172,8.93
173,1.3
174,3.55
175,inf
176,3.95
177,inf
179,25.08
182,9.68
183,151.59
184,16.15
187,10.12
188,7.55
189,3.47
191,20.1
193,5.03
194,31.41
195,15.22
196,64.5
197,87.44
198,22.37
199,23.31
200,157.19
201,153.06
203,90.68
204,319.2
205,64.63
206,4.3
207,83.09
208,48.4
210,23.18
211,16.31
214,57.77
216,inf
218,48.76
219,34.56
220,19.28
222,0.91
223,57.01
224,2.88
225,1.68
226,37.4
227,24.24
228,7.1
229,10.11
230,20.09
231,0.9
232,12.1
233,25.37
234,122.39
236,2.72
237,0.73
238,35.13
241,6.77
242,13.37
244,36.67
245,18.2
246,19.21
247,117.56
248,57.94
250,12.89
252,13.66
253,13.01
256,1.93
257,8.83
258,6.04
259,7.22
260,6.95
261,108.22
262,3.81
263,14.38
264,2.28
265,5.76
267,10.88
268,27.27
270,8.14
271,8.14
273,1063.13
277,1301.26
278,14.02
279,1.75
281,7.26
284,4.21
285,8.41
289,8.2
290,18.06
291,11.63
293,10.57
294,0.89
295,5.92
297,128.14
299,8.07
300,12.26
302,10.45
303,15.23
304,130.45
305,2.69
306,11.54
308,9.66
310,101.6
311,99.29
313,7.15
315,9.89
316,24.39
317,18.06
318,16.56
319,3.11
320,13.92
321,12.09
322,7.97
323,4.34
324,47.8
325,80.92
326,3.46
327,1.91
330,8.12
331,14.57
334,0.4
335,26.11
336,14.29
337,9.54
338,99.01
340,10.66
341,6.32
342,13.69
345,7.39
347,73.23
348,16.55
349,23.53
351,3.57
352,12.78
354,5.7
355,7.75
356,566.95
359,33.84
360,10.11
361,30.15
362,39.54
364,108.35
