,“ú•Ê
8,16.59
12,19.33
23,3.15
26,25.97
28,41.78
29,66.44
33,12.53
35,81.09
37,1.48
47,57.91
52,1.12
53,97.73
54,276.99
57,19.31
61,42.49
63,44.9
67,11.79
70,14.01
74,7.45
77,16.88
80,48.37
81,33.79
86,2.1
88,8.14
95,8.98
96,4.66
104,5.41
108,88.12
113,42.08
118,10.56
119,28.44
127,14.8
130,153.05
133,28.28
135,13.02
139,2.39
142,66.33
143,62.62
147,16.11
148,2.91
149,82.54
151,3.16
154,20.17
155,35.17
163,8.68
166,77.56
169,15.22
173,7.67
176,11.41
178,19.51
179,131.81
183,346.38
185,43.28
186,19.84
189,11.97
196,30.97
197,4.79
200,322.56
201,541.1
212,23.8
216,inf
217,160.24
218,167.81
221,46.15
222,54.29
226,59.53
227,16.18
233,3.48
234,17.93
238,60.88
239,16.03
241,47.53
242,4.73
243,0.2
246,39.83
251,8.09
252,22.86
253,23.11
257,7.32
258,0.03
259,2.85
261,60.14
266,1.63
272,1624.88
273,1524.58
274,759.12
275,33.61
276,14.57
278,17.54
281,15.02
287,2.17
290,63.82
291,20.52
292,5.29
294,4.55
300,6.69
304,78.81
308,4.72
312,3.8
318,4.61
324,130.61
325,122.1
327,4.7
329,1.5
336,14.52
338,68.01
345,12.54
354,131.9
359,34.2
361,23.62
362,77.11
