,“ú•Ê
1,8.5
2,60.65
6,13.36
7,22.62
9,83.18
16,33.89
17,22.47
18,128.53
19,82.25
26,37.65
29,11.45
30,12.16
31,27.51
32,21.78
38,6.79
41,19.53
44,25.19
45,10.0
54,253.2
55,4.3
56,22.38
59,87.84
61,20.78
66,23.54
68,32.12
72,inf
73,39.78
79,23.76
84,60.77
91,9.72
98,210.07
99,196.31
100,101.72
101,66.88
103,8.06
105,11.38
107,42.49
119,34.36
120,12.41
122,100.93
124,3.92
129,71.45
130,309.87
138,205.5
140,5.63
141,18.17
142,90.86
144,31.05
146,3.91
151,1.3
153,33.03
154,23.07
155,33.18
163,88.81
166,211.2
171,34.37
178,14.01
180,13.73
181,128.3
185,10.75
186,18.38
190,0.38
192,32.3
202,0.75
209,46.89
212,5.66
213,14.81
215,70.04
217,104.58
221,49.68
235,63.5
239,2.17
240,48.63
243,14.68
249,8.98
251,0.2
254,43.8
255,140.75
266,3.57
269,116.41
272,1515.53
274,737.57
275,101.6
276,114.1
280,8.7
282,92.8
283,112.2
286,3.7
287,6.91
288,0.32
292,3.7
296,0.36
298,10.5
301,13.73
307,4.98
309,7.42
312,2.92
314,2.01
328,143.46
329,2.72
332,14.57
333,17.22
339,116.05
343,12.88
344,7.0
346,3.82
350,41.12
353,17.66
357,29.71
358,11.95
363,17.96
