,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
基本変数のみ,78.7,423.1,99.2,125.84,123.04,307.28,75.11,61.55,45.71,86.16,75.41,112.6,71.23,39.23,34.03,121.42,76.02,89.31,143.78
詳細変数あり,51.66,0.45,57.7,73.1,67.18,80.92,67.15,51.9,44.44,59.61,59.77,81.85,59.01,35.72,31.89,93.3,50.5,61.23,104.38
