,“ú•Ê
1,358.48
2,69.31
6,75.6
7,74.1
9,44.15
16,53.47
17,28.96
18,183.41
19,107.67
26,115.94
29,171.08
30,255.6
31,525.37
32,378.54
38,213.13
41,242.69
44,50.52
45,341.17
54,47.81
55,121.82
56,10.28
59,76.62
61,6.27
66,54.78
68,39.07
72,24.47
73,46.65
79,60.08
84,46.79
91,86.69
98,49.19
99,184.9
100,57.91
101,28.39
103,2.74
105,35.43
107,41.31
119,3.94
120,20.35
122,5.44
124,90.71
129,6.03
130,34.48
138,14.01
140,50.71
141,65.06
142,10.14
144,12.62
146,100.45
151,24.71
153,23.12
154,20.07
155,36.29
163,7.48
166,18.51
171,9.87
178,56.11
180,36.5
181,24.65
185,3.26
186,19.7
190,1.06
192,63.87
202,537.18
209,43.81
212,561.91
213,27.07
215,445.43
217,41.01
221,31.56
235,24.59
239,26.86
240,15.36
243,17.53
249,9.69
251,14.83
254,39.41
255,30.93
266,4.07
269,22.59
272,570.83
274,2297.24
275,2240.05
276,2834.96
280,34.77
282,35.2
283,40.82
286,7.25
287,11.12
288,22.83
292,22.96
296,34.41
298,0.65
301,24.35
307,34.64
309,1.32
312,25.37
314,28.75
328,13.36
329,3.35
332,21.42
333,79.37
339,34.31
343,16.89
344,44.6
346,20.62
350,64.13
353,18.76
357,44.05
358,42.06
363,14.2
