,“ú•Ê
5,29.63
6,49.27
8,30.18
9,44.7
10,11.99
11,114.2
12,4.03
13,366.16
15,329.17
16,28.61
19,109.32
20,239.75
21,115.98
22,343.68
23,116.51
24,83.08
25,365.11
26,154.85
27,153.32
28,320.97
29,151.63
31,188.65
32,118.51
33,181.78
36,153.21
37,485.07
39,186.4
41,167.42
43,186.73
44,24.31
45,254.79
46,50.92
48,59.43
49,179.7
51,21.83
52,116.22
53,110.72
54,37.87
55,147.81
56,6.05
58,31.61
59,14.18
60,18.96
61,1.9
62,34.21
63,31.68
64,5.13
65,40.53
67,54.73
68,45.17
69,36.72
70,4.03
71,312.92
72,17.99
73,4.7
74,38.91
75,12.05
76,38.12
77,26.08
78,47.3
79,16.24
80,19.07
84,20.05
85,28.55
88,27.71
90,16.68
91,24.8
92,15.8
93,24.59
94,50.64
96,18.53
97,25.69
98,29.05
100,38.09
102,91.44
103,3.43
107,29.33
109,32.05
112,40.01
114,37.13
115,36.72
118,37.23
119,18.23
120,6.99
122,9.49
123,41.68
124,62.05
125,75.18
127,14.4
128,9.25
130,48.4
131,82.97
132,118.31
135,27.2
136,0.53
137,18.43
140,51.8
141,64.62
142,20.87
143,20.22
145,55.36
146,98.97
147,17.09
149,35.45
150,25.5
152,17.09
153,13.51
154,27.37
155,3.02
156,18.32
157,16.91
158,35.26
161,11.09
162,0.89
163,24.17
165,14.96
166,8.79
169,44.97
170,30.76
171,4.37
172,0.39
173,14.01
174,19.5
175,32.72
177,25.72
179,17.58
180,19.8
182,11.92
183,51.99
184,11.68
187,20.03
188,11.33
189,9.48
190,1.09
191,4.48
192,4.0
193,15.5
194,24.22
197,11.61
198,215.72
199,21.69
200,112.73
204,129.55
205,50.92
206,0.11
207,203.0
208,0.96
209,16.58
211,39.2
212,590.7
213,5.07
216,35.45
217,28.49
218,1.87
219,170.06
221,19.56
222,4.26
223,18.7
224,3.21
225,2.91
227,22.94
231,1.87
232,14.84
233,108.04
234,15.72
235,7.4
238,18.95
239,21.48
240,11.73
241,13.49
244,19.87
245,38.08
246,14.12
247,4.05
248,31.03
249,16.6
250,2.43
252,12.17
254,24.18
257,0.81
258,18.65
259,22.02
260,16.36
261,14.7
262,21.45
263,7.28
265,6.17
266,3.25
267,10.12
269,19.85
271,1.77
272,503.14
273,808.22
275,1898.78
276,2347.07
277,1468.02
278,32.13
280,34.36
286,8.82
287,11.09
289,19.09
291,1.53
293,16.18
294,36.22
295,8.63
297,20.38
298,11.57
299,20.84
300,21.94
301,21.38
302,77.41
303,23.99
304,10.76
307,28.46
308,24.81
310,40.39
311,25.25
312,11.53
313,18.98
314,18.67
315,34.36
317,33.39
319,35.69
320,39.28
321,33.24
324,30.84
325,0.83
328,6.32
330,18.99
332,21.38
333,83.45
336,25.77
337,23.51
338,21.59
339,28.21
340,50.6
342,42.97
343,24.4
344,27.81
345,67.44
346,2.04
348,4.15
349,1.04
350,23.06
351,19.45
352,131.81
353,14.65
355,22.47
356,42.97
357,29.9
358,18.2
360,14.52
361,27.78
363,25.96
