,日時,クラスタ番号
288,2022-01-14,1
289,2022-01-15,0
290,2022-01-16,0
291,2022-01-17,1
292,2022-01-18,1
293,2022-01-19,1
294,2022-01-20,1
295,2022-01-21,1
296,2022-01-22,0
297,2022-01-23,0
298,2022-01-24,1
299,2022-01-25,1
300,2022-01-26,1
301,2022-01-27,1
302,2022-01-28,1
303,2022-01-29,0
304,2022-01-30,0
305,2022-01-31,1
306,2022-02-01,1
307,2022-02-02,1
308,2022-02-03,1
309,2022-02-04,1
310,2022-02-05,0
311,2022-02-06,0
312,2022-02-07,1
313,2022-02-08,1
314,2022-02-09,1
315,2022-02-10,2
316,2022-02-11,0
317,2022-02-12,0
318,2022-02-13,0
319,2022-02-14,1
320,2022-02-15,1
321,2022-02-16,1
322,2022-02-17,1
323,2022-02-18,1
324,2022-02-19,0
325,2022-02-20,0
326,2022-02-21,1
327,2022-02-22,1
328,2022-02-23,0
329,2022-02-24,1
330,2022-02-25,1
331,2022-02-26,0
332,2022-02-27,0
333,2022-02-28,3
334,2022-03-01,3
335,2022-03-02,3
336,2022-03-03,3
337,2022-03-04,1
338,2022-03-05,0
339,2022-03-06,0
340,2022-03-07,1
341,2022-03-08,1
342,2022-03-09,1
343,2022-03-10,1
344,2022-03-11,3
345,2022-03-12,0
346,2022-03-13,0
347,2022-03-14,0
348,2022-03-15,3
349,2022-03-16,0
350,2022-03-17,0
351,2022-03-18,1
352,2022-03-19,0
353,2022-03-20,0
354,2022-03-21,0
355,2022-03-22,1
356,2022-03-23,1
357,2022-03-24,1
358,2022-03-25,3
359,2022-03-26,0
360,2022-03-27,0
361,2022-03-28,0
362,2022-03-29,3
363,2022-03-30,0
364,2022-03-31,0
