,“ú•Ê
0,28.54
1,39.53
2,67.98
4,47.02
5,37.43
7,0.52
8,19.49
9,186.19
10,97.13
13,1.35
15,44.52
16,18.33
17,19.73
21,2.51
22,20.55
25,46.81
26,108.36
27,43.11
28,39.83
30,19.4
32,42.7
33,11.72
34,10.62
35,4.72
36,25.92
38,43.65
41,16.74
42,5.48
45,2.86
46,2.3
47,6.76
48,14.23
49,35.49
50,4.65
52,122.84
53,6.33
54,0.51
55,30.26
56,1.57
57,8.43
61,5.37
62,0.32
64,28.87
65,13.82
66,17.02
68,5.65
69,28.48
70,7.06
71,5.05
72,4.04
73,58.79
75,9.37
76,0.2
77,21.57
78,17.23
80,95.04
82,5.8
84,12.87
86,2.16
87,11.59
90,6.95
91,7.05
93,54.35
94,32.26
96,22.16
98,1.69
102,16.12
103,7.19
104,1.98
105,7.86
106,38.6
107,30.71
108,183.24
110,0.36
111,5.26
112,138.13
114,27.11
116,2.55
118,10.37
119,17.05
121,1.27
122,620.71
123,6.55
124,2.52
127,11.35
128,11.48
129,8.45
131,27.77
133,1.35
134,8.74
137,1.43
138,0.23
139,0.0
140,8.56
141,3.83
142,17.25
143,2.82
144,9.61
146,8.51
148,17.62
149,6.16
151,9.63
153,32.27
154,24.56
155,2.3
156,44.36
157,82.55
158,1.95
159,2.92
162,22.64
164,50.61
166,25.23
167,19.84
168,1.59
169,3.74
171,36.63
172,36.22
173,5.45
174,36.55
175,34.69
176,39.36
178,57.53
179,11.25
180,3.23
181,9.96
183,36.27
184,55.0
187,23.77
189,2.23
191,0.61
192,28.89
193,15.55
194,11.22
195,1.72
196,11.77
197,14.86
198,9.96
199,12.11
201,52.18
202,46.39
204,38.7
205,74.06
207,41.98
208,58.0
209,55.11
210,1.63
211,42.96
212,18.77
213,14.28
215,20.33
218,11.02
220,72.29
221,12.33
222,9.95
224,66.41
225,58.19
226,4.39
228,15.35
230,33.66
231,14.9
232,10.85
234,60.94
235,12.74
236,2.74
237,1.74
239,7.39
240,8.43
241,94.85
242,18.39
243,5.29
244,15.25
245,23.06
246,36.56
247,41.37
248,16.8
251,10.66
252,6.78
253,2.95
257,14.98
259,3.33
260,6.65
261,13.56
263,7.04
264,19.17
265,6.02
266,8.04
267,25.4
268,18.43
269,303.73
270,20.02
271,10.6
272,531.85
275,341.64
276,240.69
277,622.7
278,5.12
279,4.51
280,16.98
282,156.16
283,81.59
284,365.56
286,22.75
287,28.05
288,32.65
289,25.47
290,382.96
291,16.71
292,32.72
293,11.97
294,26.28
297,33.39
299,21.35
301,8.47
302,12.39
303,21.7
304,10.82
305,19.46
308,10.15
314,8.68
315,15.8
316,7.12
317,25.05
318,3.78
319,7.6
320,7.03
321,3.3
323,0.77
325,4.17
326,6.75
328,10.29
330,6.95
331,4.58
332,9.87
335,31.6
336,6.07
337,3.52
339,17.59
342,3.93
343,17.41
344,20.12
345,33.69
347,8.17
348,123.58
349,47.02
352,90.97
353,158.71
354,152.0
355,48.14
357,73.17
358,46.9
360,82.87
361,34.15
362,53.06
364,64.39
