,“ú•Ê
0,97.6
4,121.7
8,12.67
13,78.38
14,13.18
19,25.28
22,46.28
33,56.3
39,126.5
40,122.5
41,49.05
43,38.33
45,63.99
47,11.89
49,109.19
50,21.39
51,60.82
53,29.36
56,29.6
58,0.49
62,6.78
68,63.19
71,6.91
73,75.4
74,8.37
75,15.4
81,16.48
85,5.72
89,36.39
93,19.42
95,22.78
96,0.45
108,204.75
115,26.46
116,34.12
117,14.42
119,31.66
128,21.36
132,12.34
135,36.32
137,19.9
142,21.62
143,14.68
151,5.93
152,30.34
153,66.38
157,87.2
161,29.05
162,34.1
165,46.65
166,30.15
167,15.79
169,4.66
176,105.4
177,38.59
180,42.26
181,40.37
183,17.97
184,25.07
188,2.64
197,15.79
198,33.83
202,8.86
203,4.4
208,22.26
210,3.21
212,30.92
213,103.32
218,45.05
219,50.93
222,113.92
229,38.51
233,121.97
239,14.99
247,51.76
250,30.84
258,45.47
261,83.55
264,26.9
268,49.99
269,681.27
275,773.99
277,1204.44
281,21.62
287,35.19
305,8.35
311,16.98
312,11.19
315,33.38
317,46.32
318,31.96
319,31.97
320,37.14
321,24.55
324,33.3
327,2.6
329,6.2
332,14.62
333,14.39
335,49.15
336,14.69
339,19.47
341,30.31
342,3.58
344,42.03
346,84.1
349,14.21
351,3.9
353,396.83
362,128.34
364,157.73
