,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
0,36.14,41.78
2,26.63,10.21
4,77.31,72.23
5,inf,inf
7,18.52,4.01
14,14.93,24.03
17,42.91,8.4
18,81.09,74.56
26,inf,inf
28,19.46,16.26
29,301.98,210.68
32,67.8,61.2
37,30.83,12.12
38,37.33,16.36
41,3.23,3.37
47,inf,inf
49,21.96,22.0
55,17.63,17.67
60,23.86,24.01
68,46.21,35.98
69,47.62,35.22
72,74.97,69.3
75,40.67,33.64
76,96.13,85.69
80,6.82,29.68
82,25.74,39.53
89,78.3,68.39
95,inf,inf
96,4.4,5.83
105,4.47,16.72
106,71.75,76.84
107,13.16,5.2
108,83.86,74.19
115,20.7,3.79
116,inf,inf
120,33.06,36.54
121,4.71,1.51
