,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
9,13.67,19.63
15,62.39,2.97
21,41.99,53.09
22,2.38,11.51
23,5.52,11.03
25,4.06,10.0
26,inf,inf
30,15.05,14.07
34,58.1,73.69
38,23.54,20.95
40,inf,inf
41,11.02,0.16
47,inf,inf
49,27.03,27.25
50,20.5,20.67
53,10.18,5.41
61,10.66,29.65
62,36.84,59.48
69,53.67,35.93
78,13.68,1.31
79,15.34,12.42
81,inf,inf
83,29.99,17.09
85,17.26,18.53
86,42.35,22.11
91,11.6,2.0
93,16.67,15.51
95,inf,inf
96,12.44,17.59
98,31.9,18.53
99,14.54,12.69
101,53.24,43.99
102,447.34,437.64
110,31.95,18.99
115,32.74,38.69
116,inf,inf
119,11.84,19.21
