,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
0,29.62,39.98
11,55.86,59.03
16,72.79,23.65
17,29.97,5.87
20,26.79,19.57
22,12.24,12.74
24,36.71,46.59
25,35.11,52.7
32,57.36,62.78
36,0.2,13.67
37,23.95,6.67
40,inf,inf
45,4.32,6.77
46,19.68,18.5
47,inf,inf
50,25.45,18.19
53,11.37,8.56
55,26.41,19.71
56,37.97,26.06
60,27.82,26.34
69,46.92,37.66
72,114.12,93.55
75,56.02,45.03
76,124.96,100.59
80,64.15,62.52
83,27.91,21.36
90,29.96,12.76
97,19.83,9.36
99,27.96,11.36
100,36.37,33.18
102,680.58,641.87
108,62.86,63.46
109,inf,inf
110,43.17,31.89
111,6.36,1.82
112,15.77,11.26
116,inf,inf
