,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
0,30.98,56.81
4,50.65,53.31
8,17.95,10.1
11,51.07,50.28
12,inf,inf
13,31.33,12.69
27,5.24,12.7
32,54.65,55.73
33,inf,inf
34,63.61,105.79
37,26.04,4.85
44,16.79,7.03
54,inf,inf
55,21.78,20.1
63,34.62,35.42
64,136.35,137.55
67,inf,inf
69,49.92,36.56
70,39.38,21.03
77,102.45,72.47
80,73.9,69.28
81,inf,inf
84,20.71,30.95
86,60.84,35.12
90,10.24,1.47
92,31.83,20.59
93,23.63,31.22
101,9.92,10.42
102,543.4,587.09
105,6.92,6.43
108,55.51,53.56
109,inf,inf
112,22.06,27.96
113,12.32,5.64
114,13.78,8.06
120,41.42,29.95
121,31.78,17.57
