,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,11.83,2.0
2,2.89,1.18
3,146.03,49.92
4,13.44,4.58
5,4.83,5.31
6,4.15,2.86
10,69.0,25.98
11,14.55,7.07
12,4.99,2.81
14,0.97,1.42
16,28.81,5.58
18,9.15,4.79
20,6.83,1.65
21,15.07,2.34
22,24.6,5.85
24,199.77,42.27
27,6.8,1.63
28,6.96,5.15
29,4.91,0.91
30,15.63,1.37
32,12.41,5.18
33,12.54,3.45
35,14.47,6.04
36,2.87,2.26
37,10.59,5.04
38,23.16,13.15
39,14.16,3.22
40,8.81,0.62
41,3.41,0.03
42,4.83,0.06
43,3.5,0.58
44,1.55,0.46
46,2.81,0.55
47,9.11,0.64
48,0.62,0.2
49,0.19,0.8
51,3.56,0.26
52,67.53,40.28
53,1.36,0.11
54,6.42,1.88
55,2.63,1.52
56,8.38,3.21
57,6.46,1.38
58,4.39,1.62
59,29.63,18.65
60,0.44,1.31
61,7.37,0.72
62,0.83,3.0
63,3.43,0.02
64,0.19,0.59
66,79.69,0.09
67,0.25,0.42
68,0.47,0.03
70,2.12,2.4
71,0.89,0.3
73,75.64,9.36
75,0.41,0.5
76,0.25,0.75
77,0.21,0.29
78,6.73,2.52
79,3.55,2.53
80,50.73,0.82
81,6.89,0.0
83,4.38,0.13
85,5.81,0.38
86,5.56,5.28
87,136.63,17.32
92,3.66,0.37
96,2.52,0.19
97,1.33,0.08
99,0.81,0.1
100,1.13,1.1
102,4.47,0.82
104,3.03,0.68
105,1.33,0.07
106,0.3,0.7
107,0.48,0.75
108,285.4,24.19
109,0.16,0.18
110,1.19,0.15
111,0.5,0.22
113,13.88,0.39
114,1.48,0.38
115,189.93,28.87
116,3.91,0.58
117,0.07,0.92
119,1.76,0.37
120,1.94,0.65
121,1.31,0.5
124,0.49,0.2
126,2.4,0.69
127,0.12,0.16
129,117.98,18.91
130,17.32,0.37
132,0.19,0.06
133,0.12,0.9
136,221.4,11.97
137,1.0,0.4
138,0.65,0.08
140,1.58,0.67
141,0.8,0.01
144,2.07,0.68
146,1.07,0.29
147,2.8,0.11
148,3.18,0.28
149,3.18,1.88
150,78.85,37.13
151,2.07,0.77
155,15.72,3.65
157,102.97,21.94
158,3.64,0.35
162,5.51,0.96
163,7.04,3.48
164,72.75,81.67
165,8.71,0.33
166,0.9,0.14
167,3.38,0.03
168,8.14,1.27
169,0.82,1.45
170,2.45,1.42
172,19.45,2.99
173,2.86,2.33
175,6.07,0.49
176,3.89,0.52
177,3.31,0.17
178,49.0,3.86
179,14.03,4.74
180,3.17,1.24
181,0.48,0.61
