“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-18 16:00:00,7,18,0,33,55,0.22767857142857142
2022-07-19 08:00:00,7,19,1,30,56,0.25
2022-07-19 09:00:00,7,19,1,31,60,0.35714285714285715
2022-07-19 10:00:00,7,19,1,32,60,0.26785714285714285
2022-07-19 11:00:00,7,19,1,30,60,0.27232142857142855
2022-07-19 12:00:00,7,19,1,32,60,0.26785714285714285
2022-07-19 13:00:00,7,19,1,32,60,0.32142857142857145
2022-07-19 14:00:00,7,19,1,30,60,0.26785714285714285
2022-07-19 15:00:00,7,19,1,30,60,0.25446428571428575
2022-07-19 16:00:00,7,19,1,29,60,0.25
2022-07-19 17:00:00,7,19,1,27,8,0.013392857142857144
2022-07-20 08:00:00,7,20,2,33,46,0.17857142857142858
2022-07-20 10:00:00,7,20,2,36,55,0.34375000000000006
2022-07-20 11:00:00,7,20,2,35,1,0.00892857142857143
2022-07-20 12:00:00,7,20,2,34,55,0.34821428571428575
2022-07-20 14:00:00,7,20,2,35,55,0.26339285714285715
2022-07-20 16:00:00,7,20,2,34,55,0.2991071428571429
2022-07-21 08:00:00,7,21,3,30,56,0.20535714285714285
2022-07-21 09:00:00,7,21,3,32,60,0.25
2022-07-21 10:00:00,7,21,3,33,60,0.23660714285714288
2022-07-21 11:00:00,7,21,3,34,60,0.25892857142857145
2022-07-21 12:00:00,7,21,3,34,60,0.3973214285714286
2022-07-21 13:00:00,7,21,3,35,60,0.5401785714285714
2022-07-21 14:00:00,7,21,3,34,60,0.32142857142857145
2022-07-21 15:00:00,7,21,3,33,60,0.28571428571428575
2022-07-21 16:00:00,7,21,3,31,60,0.2767857142857143
2022-07-21 17:00:00,7,21,3,29,11,0.00892857142857143
2022-07-22 08:00:00,7,22,4,30,56,0.23214285714285718
2022-07-22 10:00:00,7,22,4,30,55,0.2767857142857143
2022-07-22 12:00:00,7,22,4,34,55,0.25446428571428575
2022-07-22 14:00:00,7,22,4,34,55,0.25892857142857145
2022-07-22 16:00:00,7,22,4,34,55,0.46875000000000006
2022-07-25 08:00:00,7,25,0,33,56,0.21875000000000003
2022-07-25 10:00:00,7,25,0,35,56,0.4196428571428572
2022-07-25 11:00:00,7,25,0,37,0,0.004464285714285715
2022-07-25 12:00:00,7,25,0,35,56,0.5044642857142858
2022-07-25 14:00:00,7,25,0,35,56,0.38392857142857145
2022-07-25 16:00:00,7,25,0,33,56,0.5178571428571429
2022-07-26 08:00:00,7,26,1,26,56,0.3303571428571429
2022-07-26 09:00:00,7,26,1,27,60,0.3125
2022-07-26 10:00:00,7,26,1,27,60,0.25446428571428575
2022-07-26 11:00:00,7,26,1,27,60,0.26785714285714285
2022-07-26 12:00:00,7,26,1,27,60,0.25
2022-07-26 13:00:00,7,26,1,29,60,0.26339285714285715
2022-07-26 14:00:00,7,26,1,30,60,0.3080357142857143
2022-07-26 15:00:00,7,26,1,31,60,0.28125
2022-07-26 16:00:00,7,26,1,30,60,0.27232142857142855
2022-07-26 17:00:00,7,26,1,29,8,0.013392857142857144
2022-07-27 08:00:00,7,27,2,32,56,0.2410714285714286
2022-07-27 10:00:00,7,27,2,34,56,0.34821428571428575
