,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
937,inf,inf,inf,inf
940,inf,inf,inf,inf
951,9.21,3.75,23.69,14.33
955,45.5,37.22,193.39,164.96
956,57.84,56.23,31.98,42.07
960,83.27,87.04,7.06,1.15
964,inf,inf,inf,inf
967,71.03,75.16,80.67,69.51
970,17.41,43.07,10.71,41.68
976,28.26,57.02,10.53,0.54
977,46.12,12.13,34.62,6.25
981,inf,inf,inf,inf
982,inf,inf,inf,inf
986,inf,inf,inf,inf
987,100.47,95.72,5.1,0.43
993,199.94,275.57,201.78,283.17
994,26.9,32.49,72.56,64.44
995,31.65,27.58,30.61,26.98
996,8.7,16.56,0.02,14.56
998,27.62,28.67,22.09,41.7
1002,25.96,35.77,58.04,72.5
1005,49.78,45.9,4.37,3.5
1007,inf,inf,inf,inf
1009,inf,inf,inf,inf
1010,inf,inf,inf,inf
1012,inf,inf,inf,inf
1017,46.26,31.12,29.93,42.2
1018,19.57,18.68,1.84,7.51
1023,13.24,14.26,10.52,16.21
1031,inf,inf,inf,inf
1040,inf,inf,inf,inf
1041,43.0,66.12,30.45,44.01
1044,20.33,2.04,11.06,5.97
1045,28.79,12.07,18.83,13.38
1048,3.93,2.45,10.56,14.35
1050,inf,inf,inf,inf
1058,inf,inf,inf,inf
1060,inf,inf,inf,inf
1063,inf,inf,inf,inf
1067,146.82,102.39,114.5,74.56
1073,17.38,25.6,29.09,45.39
1087,inf,inf,inf,inf
1092,11.24,1.63,4.75,2.26
1095,11.42,9.15,17.66,11.56
1103,inf,inf,inf,inf
1107,inf,inf,inf,inf
1111,18.38,71.11,158.54,105.18
1116,7.29,8.62,0.69,14.28
1118,6.93,2.21,3.5,0.88
1124,inf,inf,inf,inf
1127,inf,inf,inf,inf
1130,inf,inf,inf,inf
1132,inf,inf,inf,inf
1134,inf,inf,inf,inf
1143,3.4,6.77,1.77,2.45
1145,31.97,19.63,45.29,17.3
1148,69.04,64.56,52.56,42.55
1149,inf,inf,inf,inf
1151,inf,inf,inf,inf
1152,inf,inf,inf,inf
1156,inf,inf,inf,inf
1157,inf,inf,inf,inf
1158,28.5,9.92,109.03,122.74
1159,inf,inf,inf,inf
1160,inf,inf,inf,inf
1162,71.46,70.46,88.8,91.8
1166,18.36,16.42,15.13,10.91
1172,6.32,29.8,23.95,9.31
1175,inf,inf,inf,inf
1184,8.88,33.92,11.73,26.8
1186,36.41,41.04,30.47,29.69
1188,28.66,25.94,25.96,14.77
1191,3.62,16.88,4.36,7.99
1194,30.81,25.93,12.61,7.52
1204,inf,inf,inf,inf
1206,inf,inf,inf,inf
1207,inf,inf,inf,inf
1210,63.07,79.44,75.96,70.18
1213,24.99,13.51,27.63,16.79
1216,1.42,6.36,9.17,11.86
1220,128.93,89.44,117.78,105.23
1224,inf,inf,inf,inf
1225,83.37,89.15,18.26,11.5
1226,inf,inf,inf,inf
1230,inf,inf,inf,inf
1239,56.51,44.08,52.84,42.14
1240,33.81,37.34,19.99,27.93
1245,64.16,70.57,9.2,14.37
1251,90.66,85.62,13.35,10.56
1254,inf,inf,inf,inf
1260,9.46,13.04,15.65,13.89
1265,21.82,59.76,51.0,70.32
1266,16.89,17.38,20.73,0.5
1275,inf,inf,inf,inf
1283,33.69,35.54,33.73,41.23
1289,20.81,33.38,21.76,29.95
1292,57.55,58.41,36.82,20.21
1294,84.64,76.34,35.07,92.28
1295,inf,inf,inf,inf
1297,inf,inf,inf,inf
1298,inf,inf,inf,inf
1299,inf,inf,inf,inf
1301,inf,inf,inf,inf
1305,9.23,4.52,5.49,1.59
1313,14.37,22.5,32.98,33.85
1318,inf,inf,inf,inf
1322,inf,inf,inf,inf
1332,20.04,26.07,26.32,44.51
1333,35.35,25.05,22.13,32.71
1335,2.45,2.67,0.55,8.31
1347,78.14,83.76,7.39,1.38
1348,inf,inf,inf,inf
1353,56.26,69.78,62.45,54.74
1357,36.03,42.41,23.49,36.21
1360,1.41,4.84,7.68,13.5
1361,28.8,26.81,35.5,17.49
1366,inf,inf,inf,inf
1367,inf,inf,inf,inf
1372,84.67,81.68,7.66,1.9
1373,inf,inf,inf,inf
1378,58.29,40.22,44.01,30.08
1386,51.75,61.03,37.27,44.72
1391,inf,inf,inf,inf
1393,inf,inf,inf,inf
1395,inf,inf,inf,inf
1406,30.38,40.26,25.11,26.69
1411,30.78,18.58,42.37,38.74
1414,inf,inf,inf,inf
1423,107.52,112.85,9.42,21.47
1427,14.38,20.48,5.76,3.14
1435,62.48,72.42,46.73,49.56
1438,inf,inf,inf,inf
1440,inf,inf,inf,inf
1441,89.39,86.97,13.83,13.23
1442,inf,inf,inf,inf
1443,inf,inf,inf,inf
1448,45.51,22.93,25.33,16.81
1451,36.46,38.29,37.56,35.69
1456,110.31,71.55,95.48,88.57
1461,inf,inf,inf,inf
1463,inf,inf,inf,inf
1464,inf,inf,inf,inf
1469,inf,inf,inf,inf
1470,99.78,97.13,14.26,4.46
1476,12.68,56.04,17.23,18.21
1480,inf,inf,inf,inf
1481,25.67,43.38,20.97,18.78
1482,inf,inf,inf,inf
1487,inf,inf,inf,inf
1489,98.09,90.63,15.83,6.17
1493,inf,inf,inf,inf
1496,inf,inf,inf,inf
1502,inf,inf,inf,inf
1509,inf,inf,inf,inf
1511,inf,inf,inf,inf
1514,inf,inf,inf,inf
1515,inf,inf,inf,inf
1516,inf,inf,inf,inf
1517,inf,inf,inf,inf
1522,127.3,87.09,66.07,68.91
1524,58.7,62.9,11.12,1.81
1529,inf,inf,inf,inf
1530,30.07,11.71,49.72,50.26
1531,64.92,70.23,56.35,59.0
1532,inf,inf,inf,inf
1533,82.93,79.38,35.82,45.05
1534,inf,inf,inf,inf
1542,inf,inf,inf,inf
1543,inf,inf,inf,inf
1547,inf,inf,inf,inf
1549,63.76,61.5,15.55,1.4
1553,inf,inf,inf,inf
1556,77.56,78.47,59.99,59.13
1558,inf,inf,inf,inf
1560,inf,inf,inf,inf
1561,inf,inf,inf,inf
1568,inf,inf,inf,inf
1573,31.23,24.76,24.6,1.71
1574,1.37,11.72,5.75,2.4
1581,44.37,43.19,25.82,19.09
1583,inf,inf,inf,inf
1585,inf,inf,inf,inf
1595,39.04,19.62,35.97,30.36
1602,59.87,40.77,25.0,12.86
1603,52.23,55.37,30.61,32.63
1612,inf,inf,inf,inf
1619,61.46,50.14,13.21,21.69
1620,inf,inf,inf,inf
1628,inf,inf,inf,inf
1629,inf,inf,inf,inf
1632,inf,inf,inf,inf
1633,inf,inf,inf,inf
1638,85.12,87.9,1.74,0.11
1639,inf,inf,inf,inf
1643,inf,inf,inf,inf
1646,inf,inf,inf,inf
1647,inf,inf,inf,inf
1652,31.04,15.46,23.81,28.94
1653,66.78,65.5,38.1,35.78
1654,inf,inf,inf,inf
1656,inf,inf,inf,inf
1660,inf,inf,inf,inf
1667,56.07,9.96,37.49,67.41
1668,24.69,4.77,10.01,19.5
1675,32.95,21.15,39.81,37.09
1678,inf,inf,inf,inf
1682,89.77,87.53,2.99,2.06
1693,inf,inf,inf,inf
1694,79.52,73.76,64.16,60.79
1695,76.99,72.61,56.49,63.8
1696,48.3,51.76,34.81,26.58
1698,40.15,54.96,46.45,45.88
1700,44.18,61.8,22.25,26.69
1701,58.41,70.33,26.39,32.85
1702,inf,inf,inf,inf
1704,inf,inf,inf,inf
1706,inf,inf,inf,inf
1718,26.76,36.51,2.39,2.25
1719,22.5,6.1,82.29,69.92
1722,40.79,0.53,63.15,50.44
1726,inf,inf,inf,inf
1727,inf,inf,inf,inf
1733,80.79,87.63,0.15,3.93
1734,inf,inf,inf,inf
1739,54.24,50.41,34.09,36.02
1741,18.92,13.9,13.64,10.21
1749,inf,inf,inf,inf
1753,inf,inf,inf,inf
1756,inf,inf,inf,inf
1759,inf,inf,inf,inf
1762,inf,inf,inf,inf
1764,inf,inf,inf,inf
1769,42.6,47.07,20.26,20.85
1770,inf,inf,inf,inf
1772,inf,inf,inf,inf
1775,inf,inf,inf,inf
1784,inf,inf,inf,inf
1790,45.5,65.12,28.55,42.92
1791,17.01,12.56,72.81,16.32
1797,88.73,81.83,16.47,10.4
1798,inf,inf,inf,inf
1800,inf,inf,inf,inf
1803,inf,inf,inf,inf
1808,inf,inf,inf,inf
1810,inf,inf,inf,inf
