,éûçèï 
914,inf
915,inf
919,inf
921,inf
924,inf
925,90.59
926,inf
927,inf
929,inf
930,inf
931,inf
932,inf
933,inf
934,inf
935,inf
937,inf
938,inf
939,inf
940,inf
941,inf
942,inf
946,51.13
948,inf
950,inf
951,inf
952,inf
953,inf
954,inf
957,inf
958,inf
960,inf
961,inf
965,inf
966,94.94
967,inf
969,inf
970,inf
971,inf
972,inf
973,inf
974,inf
975,inf
976,inf
977,inf
978,inf
979,inf
980,inf
982,inf
983,inf
984,inf
985,inf
986,95.56
987,inf
989,inf
991,inf
992,inf
993,inf
994,inf
995,inf
996,inf
997,inf
998,inf
1000,inf
1002,inf
1003,inf
1004,inf
1005,inf
1007,inf
1009,inf
1010,inf
1011,inf
1013,inf
1015,inf
1016,inf
1017,inf
1018,inf
1019,inf
1021,inf
1022,inf
1023,inf
1024,inf
1025,inf
1027,inf
1029,inf
1030,inf
1031,inf
1033,inf
1034,inf
1036,inf
1037,inf
1038,inf
1039,inf
1040,inf
1041,inf
1042,inf
1043,inf
1044,inf
1045,inf
1047,85.51
1048,inf
1049,inf
1050,inf
1051,inf
1053,inf
1054,inf
1055,inf
1056,inf
1057,inf
1058,inf
1059,inf
1060,inf
1061,inf
1063,inf
1065,inf
1066,inf
1068,84.84
1069,inf
1071,inf
1075,inf
1077,inf
1081,inf
1082,inf
1083,inf
1085,inf
1086,inf
1087,inf
1089,96.97
1090,inf
1091,inf
1094,inf
1095,inf
1096,inf
1097,inf
1100,inf
1101,inf
1102,inf
1103,inf
1104,inf
1105,inf
1106,inf
1107,inf
1108,inf
1109,inf
1110,92.3
1111,inf
1112,inf
1113,inf
1116,inf
1118,inf
1119,inf
1120,inf
1121,inf
1122,inf
1123,inf
1124,inf
1125,inf
1127,inf
1128,inf
1130,inf
1131,95.44
1132,inf
1133,inf
1134,inf
1135,inf
1136,inf
1137,inf
1138,inf
1139,inf
1140,inf
1142,inf
1145,inf
1146,inf
1147,inf
1148,inf
1149,inf
1150,inf
1152,inf
1154,inf
1155,inf
1156,inf
1157,inf
1158,inf
1162,inf
1163,inf
1165,inf
1166,inf
1168,inf
1169,inf
1171,96.14
1172,inf
1175,inf
1176,inf
1178,inf
1180,inf
1182,inf
1183,inf
1184,inf
1187,inf
1189,inf
1190,inf
1192,inf
1194,inf
1196,inf
1197,inf
1198,inf
1201,inf
1204,inf
1206,inf
1208,inf
1212,inf
1213,inf
1215,inf
1216,inf
1217,inf
1219,inf
1220,inf
1221,inf
1222,inf
1223,inf
1224,inf
1225,inf
1226,inf
1227,inf
1228,inf
1230,inf
1231,91.5
1232,inf
1234,inf
1235,inf
1236,inf
1237,inf
1238,inf
1240,inf
1241,inf
1242,inf
1244,inf
1245,inf
1247,inf
1248,inf
1249,inf
1251,inf
1252,inf
1253,94.51
1254,inf
1255,inf
1256,inf
1257,inf
1258,inf
1259,inf
1262,inf
1263,inf
1265,inf
1266,inf
1269,inf
1271,inf
1272,inf
1273,inf
1274,95.45
1275,inf
1279,inf
1280,inf
1281,inf
1282,inf
1284,inf
1286,inf
1287,inf
1288,inf
1289,inf
1290,inf
1292,inf
1295,96.24
1296,inf
1297,inf
1298,inf
1299,inf
1300,inf
1301,inf
1303,inf
1304,inf
1305,inf
1306,inf
1308,inf
1309,inf
1311,inf
1313,inf
1314,inf
1315,95.3
1316,inf
1317,inf
1318,inf
1320,inf
1321,inf
1322,inf
1323,inf
1324,inf
1326,inf
1328,inf
1329,inf
