“úŽž,EHP2-2,EHP4-4,EHP6-2
2018/8/7,24.66666667,27.16666667,24.72083333
2018/8/8,24.48333333,26.60416667,24.85416667
2018/8/9,23.69166667,26.96875,24.79166667
2018/8/10,23.88333333,26.60416667,24.55833333
2018/8/11,23.86666667,26.72916667,24.2
2018/8/12,23.25833333,27.0625,24.2
2018/8/13,23.49166667,27.08333333,24.12916667
2018/8/14,23.85,26.89583333,24.14166667
2018/8/15,23.8,26.95833333,24.3875
2018/8/16,23.8,27.08333333,24.59583333
2018/8/17,24.08333333,27.04166667,24.65833333
2018/8/18,24.53333333,26.89583333,24.575
2018/8/19,24.6,27,24.4
2018/8/20,24.73333333,26.95833333,24.52916667
2018/8/21,24.225,26.89583333,24.52916667
2018/8/22,24.15833333,27,24.63333333
2018/8/23,24.28333333,27,24.69166667
2018/8/24,24.15833333,26.83333333,24.91666667
2018/8/25,24,26.91666667,24.6875
2018/8/26,24,27,24.2625
2018/8/27,24.03333333,26.94791667,24.23333333
2018/8/28,24.10833333,27.28125,24.52916667
2018/8/29,24.10833333,26.8125,24.6875
2018/8/30,24.00833333,27.0625,24.52083333
2018/8/31,23.8,26.5625,24.41666667
2018/9/1,23.6,26.28125,24.7125
2018/9/2,23.6,26.72916667,24.8
2018/9/3,24.11666667,26.92708333,24.775
2018/9/4,23.99166667,26.88541667,24.7
2018/9/5,23.975,26.625,24.5875
2018/9/6,23.86666667,27.04166667,24.64166667
2018/9/7,24.29166667,27.32291667,24.69166667
2018/9/8,24.4,27.375,24.5
2018/9/9,24.36666667,27.16666667,24.55833333
2018/9/10,24.48333333,27.07291667,24.77083333
2018/9/11,24.51666667,26.89583333,24.74166667
2018/9/12,24.41666667,26.97916667,24.7125
2018/9/13,24.4,26.89583333,24.75833333
2018/9/14,24.23333333,26.89583333,24.84166667
2018/9/15,23.85,27,24.9
2018/9/16,23.975,27.0625,24.9
2018/9/17,24,26.91666667,24.9
2018/9/18,23.95,26.82291667,24.82916667
2018/9/19,24.06666667,27.04166667,24.70416667
2018/9/20,24.13333333,26.79166667,24.66666667
2018/9/21,24.15833333,26.16666667,24.6375
2018/9/22,23.96666667,26,24.6
2018/9/23,23.93333333,26.71875,24.55416667
2018/9/24,24,28,24.5
2018/9/25,24.50833333,27.38541667,24.575
2018/9/26,24.49166667,26.5,24.59166667
2018/9/27,24.85,26,24.5
2018/9/28,24.50833333,26,24.49583333
2018/9/29,24.2,26.40625,24.5
2018/9/30,24.2,26.75,24.5
2018/10/1,24.05833333,26.39583333,24.575
2018/10/2,23.8,26.23958333,24.65416667
2018/10/3,24.01666667,26.52083333,24.6375
2018/10/4,24.34166667,26.64583333,24.56666667
2018/10/5,24.075,26.25,24.5
2018/10/6,23.68333333,26.1875,24.5
2018/10/7,24.46666667,25.75,24.5
2018/10/8,25.2,26.02083333,24.4375
2018/10/9,24.63333333,26.75,24.40416667
2018/10/10,24.04166667,26.33333333,24.54166667
2018/10/11,23.95,25.8125,24.57083333
2018/10/12,24.36666667,26.25,24.44166667
2018/10/13,24.8,26.6875,24.21666667
2018/10/14,24.7,26.5,24.1
2018/10/15,24.74166667,27.3125,24.23333333
2018/10/16,24.6,27.6875,24.43333333
2018/10/17,24.6,27.5625,24.44583333
2018/10/18,24.6,27.73958333,24.47916667
2018/10/19,24.45,28,24.55
2018/10/20,24.08333333,28,24.6
2018/10/21,24,25.25,24.6
2018/10/22,24.05,26.25,24.50833333
2018/10/23,24.2,24.89583333,24.3
2018/10/24,24.11666667,22.5,24.29166667
2018/10/25,23.96666667,22.5,24.35416667
2018/10/26,24.05,22.5,24.51666667
2018/10/27,24,22.52083333,24.49583333
2018/10/28,24,22.5625,24.5
2018/10/29,23.91666667,26.16666667,24.54583333
2018/10/30,24.06666667,28,24.58333333
2018/10/31,23.89166667,28,24.59166667
2018/11/1,23.8,25.5,24.55416667
2018/11/2,24.19166667,23,24.50416667
2018/11/3,24,23.20833333,24.45
2018/11/4,23.2,24.14583333,24.4
2018/11/5,23.95,26.01041667,24.31666667
2018/11/6,24.08333333,26.10416667,24.2
2018/11/7,24.33333333,23.44791667,24.2
2018/11/8,24.38333333,23.08333333,24.2
2018/11/9,24.2,21.625,24.2
2018/11/10,24.2,21.92708333,24.2
2018/11/11,24.2,23.5,24.2
2018/11/12,24.2,26.70833333,24.2
2018/11/13,24.2,27.0625,24.2
2018/11/14,20.19166667,23,23.90833333
2018/11/15,16.8,22.375,22.45
2018/11/16,16.8,22,22.4
2018/11/17,16.8,22,22.4
2018/11/18,16.8,22,22.4
2018/11/19,16.86666667,22,22.52083333
2018/11/20,17.06666667,22,22.6
2018/11/21,17.2,22,22.77916667
2018/11/22,17.2,22,23.0375
2018/11/23,17.2,22,23.2
2018/11/24,19.94166667,23.1875,23.30833333
2018/11/25,21.6,25.76041667,23.4
2018/11/26,21.86666667,23.5,23.31666667
2018/11/27,22,22,23.16666667
2018/11/28,22,22.15625,22.86666667
2018/11/29,22,22.4375,22.96666667
2018/11/30,22,22.34375,23.15833333
2018/12/1,22.21666667,22,23.2
2018/12/2,22.4,22,23.2
