“úŽž,EHP2-2,EHP4-4,EHP6-2
2018/12/1,7,14,0
2018/12/2,0,13,3
2018/12/3,6,14,14
2018/12/4,0,5,12
2018/12/5,0,12,12
2018/12/6,0,14,15
2018/12/7,8,11,13
2018/12/8,0,10,0
2018/12/9,0,14,5
2018/12/10,10,21,17
2018/12/11,11,16,17
2018/12/12,10,16,16
2018/12/13,11,16,17
2018/12/14,10,15,16
2018/12/15,6,16,5
2018/12/16,0,16,5
2018/12/17,11,17,17
2018/12/18,10,13,15
2018/12/19,11,13,15
2018/12/20,9,15,14
2018/12/21,9,14,15
2018/12/22,6,21,0
2018/12/23,0,15,2
2018/12/24,6,15,9
2018/12/25,11,16,16
2018/12/26,10,13,15
2018/12/27,10,16,16
2018/12/28,9,16,14
2018/12/29,4,14,0
2018/12/30,2,12,2
2018/12/31,0,5,7
2019/1/1,0,5,7
2019/1/2,0,4,6
2019/1/3,0,5,6
2019/1/4,9,13,9
2019/1/5,10,15,0
2019/1/6,10,13,4
2019/1/7,11,17,17
2019/1/8,11,14,17
2019/1/9,11,15,17
2019/1/10,10,15,16
2019/1/11,11,15,16
2019/1/12,10,16,5
2019/1/13,0,17,5
2019/1/14,9,22,9
2019/1/15,11,18,16
2019/1/16,13,22,16
2019/1/17,11,16,16
2019/1/18,10,15,16
2019/1/19,10,24,14
2019/1/20,0,20,1
2019/1/21,9,14,16
2019/1/22,11,16,16
2019/1/23,11,17,16
2019/1/24,10,15,15
2019/1/25,11,16,16
2019/1/26,9,16,9
2019/1/27,0,16,3
2019/1/28,11,20,16
2019/1/29,10,16,17
2019/1/30,10,17,24
2019/1/31,11,14,16
2019/2/1,10,15,17
2019/2/2,10,16,9
2019/2/3,0,18,3
2019/2/4,7,22,16
2019/2/5,10,17,16
2019/2/6,11,16,16
2019/2/7,8,13,17
2019/2/8,10,18,16
2019/2/9,10,15,2
2019/2/10,0,16,0
2019/2/11,0,21,10
2019/2/12,11,17,17
2019/2/13,13,15,15
2019/2/14,10,16,17
2019/2/15,10,15,14
2019/2/16,9,11,8
2019/2/17,6,16,2
2019/2/18,10,15,16
2019/2/19,10,15,15
2019/2/20,7,13,16
2019/2/21,10,15,14
2019/2/22,9,14,16
2019/2/23,8,12,2
2019/2/24,0,16,10
2019/2/25,10,17,16
2019/2/26,10,9,15
2019/2/27,10,11,16
2019/2/28,10,12,15
2019/3/1,10,16,16
2019/3/2,0,16,2
2019/3/3,0,15,7
2019/3/4,10,17,17
2019/3/5,10,15,16
2019/3/6,9,17,15
2019/3/7,10,12,17
2019/3/8,9,15,17
2019/3/9,0,12,1
2019/3/10,0,12,4
2019/3/11,7,14,15
2019/3/12,7,9,15
2019/3/13,9,10,5
2019/3/14,10,12,16
2019/3/15,9,14,15
2019/3/16,9,16,1
2019/3/17,0,11,9
2019/3/18,9,14,15
2019/3/19,7,10,6
2019/3/20,3,9,0
2019/3/21,6,4,0
2019/3/22,0,7,0
2019/3/23,0,14,3
2019/3/24,0,13,0
2019/3/25,9,9,15
2019/3/26,11,15,14
2019/3/27,9,5,14
2019/3/28,6,6,14
2019/3/29,10,12,14
2019/3/30,0,15,9
2019/3/31,0,11,0
2019/4/1,9,14,17
