“úŽž,ŒŽ,‹x“ú,•½“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-01 06:00:00,7,0,1,31,14,0.08656716417910447
2022-07-01 07:00:00,7,0,1,31,57,0.2208955223880597
2022-07-01 08:00:00,7,0,1,34,55,0.2716417910447761
2022-07-01 09:00:00,7,0,1,35,50,0.28059701492537314
2022-07-01 10:00:00,7,0,1,37,60,0.30149253731343284
2022-07-01 11:00:00,7,0,1,38,47,0.26268656716417915
2022-07-01 12:00:00,7,0,1,38,60,0.3164179104477612
2022-07-01 13:00:00,7,0,1,39,46,0.28955223880597014
2022-07-01 14:00:00,7,0,1,37,60,0.31044776119402984
2022-07-01 15:00:00,7,0,1,36,50,0.31044776119402984
2022-07-01 16:00:00,7,0,1,35,57,0.28059701492537314
2022-07-01 17:00:00,7,0,1,32,50,0.2597014925373134
2022-07-01 18:00:00,7,0,1,31,52,0.24776119402985078
2022-07-01 19:00:00,7,0,1,30,60,0.26865671641791045
2022-07-01 20:00:00,7,0,1,29,1,0.005970149253731343
2022-07-02 09:00:00,7,1,0,34,46,0.3164179104477612
2022-07-02 10:00:00,7,1,0,36,60,0.5283582089552239
2022-07-02 11:00:00,7,1,0,37,60,0.4925373134328358
2022-07-02 12:00:00,7,1,0,37,60,0.48059701492537316
2022-07-02 13:00:00,7,1,0,37,60,0.5164179104477612
2022-07-02 14:00:00,7,1,0,37,60,0.49552238805970156
2022-07-02 15:00:00,7,1,0,35,60,0.4835820895522388
2022-07-02 16:00:00,7,1,0,35,60,0.4925373134328358
2022-07-02 17:00:00,7,1,0,33,60,0.4626865671641791
2022-07-02 18:00:00,7,1,0,32,1,0.008955223880597015
2022-07-03 09:00:00,7,1,0,31,14,0.08059701492537313
2022-07-04 07:00:00,7,0,1,26,39,0.3283582089552239
2022-07-04 08:00:00,7,0,1,26,60,0.4626865671641791
2022-07-04 09:00:00,7,0,1,25,60,0.4388059701492537
2022-07-04 10:00:00,7,0,1,26,60,0.24477611940298505
2022-07-04 11:00:00,7,0,1,28,60,0.28059701492537314
2022-07-04 12:00:00,7,0,1,27,46,0.22686567164179103
2022-07-04 13:00:00,7,0,1,29,60,0.2776119402985075
2022-07-04 14:00:00,7,0,1,29,60,0.22686567164179103
2022-07-04 15:00:00,7,0,1,30,47,0.25671641791044775
2022-07-04 16:00:00,7,0,1,30,54,0.23283582089552238
2022-07-04 17:00:00,7,0,1,29,60,0.29253731343283584
2022-07-04 18:00:00,7,0,1,28,49,0.21492537313432836
2022-07-04 19:00:00,7,0,1,28,60,0.2656716417910448
2022-07-05 06:00:00,7,0,1,28,20,0.14328358208955225
2022-07-05 07:00:00,7,0,1,28,60,0.45970149253731346
2022-07-05 08:00:00,7,0,1,30,60,0.2776119402985075
2022-07-05 09:00:00,7,0,1,31,60,0.23283582089552238
2022-07-05 10:00:00,7,0,1,31,60,0.28059701492537314
2022-07-05 11:00:00,7,0,1,32,60,0.21791044776119403
2022-07-05 12:00:00,7,0,1,30,60,0.15223880597014924
2022-07-05 13:00:00,7,0,1,29,60,0.1970149253731343
2022-07-05 14:00:00,7,0,1,28,60,0.26268656716417915
2022-07-05 15:00:00,7,0,1,27,60,0.3402985074626866
2022-07-05 16:00:00,7,0,1,26,60,0.22985074626865673
2022-07-05 17:00:00,7,0,1,25,60,0.2597014925373134
2022-07-05 18:00:00,7,0,1,25,48,0.1373134328358209
2022-07-05 19:00:00,7,0,1,25,60,0.21492537313432836
2022-07-06 06:00:00,7,0,1,26,20,0.14029850746268657
2022-07-06 07:00:00,7,0,1,28,60,0.4835820895522388
2022-07-06 08:00:00,7,0,1,27,40,0.1970149253731343
2022-07-06 09:00:00,7,0,1,29,60,0.2537313432835821
2022-07-06 10:00:00,7,0,1,31,60,0.2417910447761194
2022-07-06 11:00:00,7,0,1,32,43,0.23283582089552238
2022-07-06 12:00:00,7,0,1,32,60,0.23582089552238808
2022-07-06 13:00:00,7,0,1,29,60,0.2417910447761194
2022-07-06 14:00:00,7,0,1,28,45,0.22985074626865673
2022-07-06 15:00:00,7,0,1,30,59,0.22985074626865673
2022-07-06 16:00:00,7,0,1,30,60,0.25671641791044775
2022-07-06 17:00:00,7,0,1,27,60,0.23283582089552238
2022-07-06 18:00:00,7,0,1,28,47,0.20597014925373136
2022-07-06 19:00:00,7,0,1,25,60,0.2208955223880597
2022-07-07 06:00:00,7,0,1,26,20,0.14029850746268657
2022-07-07 07:00:00,7,0,1,27,60,0.45671641791044776
2022-07-07 08:00:00,7,0,1,27,60,0.32238805970149254
2022-07-07 09:00:00,7,0,1,27,51,0.19402985074626866
2022-07-07 10:00:00,7,0,1,26,59,0.2776119402985075
2022-07-07 11:00:00,7,0,1,29,43,0.1791044776119403
2022-07-07 12:00:00,7,0,1,29,60,0.2835820895522388
2022-07-07 13:00:00,7,0,1,31,60,0.21791044776119403
2022-07-07 14:00:00,7,0,1,30,40,0.2
2022-07-07 15:00:00,7,0,1,30,60,0.23283582089552238
2022-07-07 16:00:00,7,0,1,29,60,0.22686567164179103
2022-07-07 17:00:00,7,0,1,28,60,0.28059701492537314
