“úŽž,ŒŽ,‹x“ú,•½“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-07 08:00:00,7,0,1,27,31,0.09375000000000001
2022-07-07 09:00:00,7,0,1,28,60,0.2410714285714286
2022-07-07 10:00:00,7,0,1,28,60,0.22767857142857142
2022-07-07 11:00:00,7,0,1,30,60,0.22767857142857142
2022-07-07 12:00:00,7,0,1,30,60,0.22767857142857142
2022-07-07 13:00:00,7,0,1,31,60,0.2410714285714286
2022-07-07 14:00:00,7,0,1,31,60,0.23660714285714288
2022-07-07 15:00:00,7,0,1,31,60,0.37500000000000006
2022-07-07 16:00:00,7,0,1,31,60,0.4151785714285715
2022-07-07 17:00:00,7,0,1,28,7,0.00892857142857143
2022-07-08 08:00:00,7,0,1,28,41,0.13839285714285715
2022-07-08 10:00:00,7,0,1,29,56,0.18303571428571427
2022-07-08 12:00:00,7,0,1,30,56,0.18750000000000003
2022-07-08 14:00:00,7,0,1,32,56,0.19642857142857145
2022-07-08 16:00:00,7,0,1,31,56,0.19642857142857145
2022-07-11 08:00:00,7,0,1,30,56,0.2767857142857143
2022-07-11 10:00:00,7,0,1,33,56,0.27232142857142855
2022-07-11 12:00:00,7,0,1,35,56,0.23214285714285718
2022-07-11 14:00:00,7,0,1,35,56,0.23660714285714288
2022-07-11 16:00:00,7,0,1,33,56,0.2455357142857143
2022-07-12 08:00:00,7,0,1,29,56,0.20089285714285715
2022-07-12 09:00:00,7,0,1,29,60,0.23660714285714288
2022-07-12 10:00:00,7,0,1,31,60,0.28571428571428575
2022-07-12 11:00:00,7,0,1,29,60,0.2410714285714286
2022-07-12 12:00:00,7,0,1,29,60,0.22767857142857142
2022-07-12 13:00:00,7,0,1,30,60,0.2455357142857143
2022-07-12 14:00:00,7,0,1,29,60,0.23214285714285718
2022-07-12 15:00:00,7,0,1,30,60,0.28571428571428575
2022-07-12 16:00:00,7,0,1,28,60,0.25446428571428575
2022-07-12 17:00:00,7,0,1,26,7,0.00892857142857143
2022-07-13 08:00:00,7,0,1,23,10,0.01785714285714286
2022-07-13 10:00:00,7,0,1,23,6,0.004464285714285715
2022-07-13 12:00:00,7,0,1,25,8,0.00892857142857143
2022-07-13 14:00:00,7,0,1,24,5,0.0
