“úŽž,ŒŽ,‹x“ú,•½“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-09 08:00:00,7,1,0,27,59,0.18666666666666668
2022-07-09 09:00:00,7,1,0,30,60,0.23333333333333334
2022-07-09 10:00:00,7,1,0,32,60,0.24666666666666665
2022-07-09 11:00:00,7,1,0,32,60,0.21333333333333332
2022-07-09 12:00:00,7,1,0,32,60,0.19333333333333333
2022-07-09 13:00:00,7,1,0,33,60,0.19333333333333333
2022-07-09 14:00:00,7,1,0,33,60,0.24222222222222223
2022-07-09 15:00:00,7,1,0,31,60,0.23111111111111113
2022-07-09 16:00:00,7,1,0,30,60,0.23333333333333334
2022-07-09 17:00:00,7,1,0,28,1,0.0044444444444444444
2022-07-10 07:00:00,7,1,0,26,57,0.09333333333333334
2022-07-10 08:00:00,7,1,0,28,60,0.2822222222222222
2022-07-10 09:00:00,7,1,0,30,60,0.2733333333333334
2022-07-10 10:00:00,7,1,0,31,60,0.2733333333333334
2022-07-10 11:00:00,7,1,0,31,60,0.2977777777777778
2022-07-10 12:00:00,7,1,0,32,47,0.13777777777777778
2022-07-10 13:00:00,7,1,0,33,60,0.10444444444444445
2022-07-10 14:00:00,7,1,0,33,60,0.09555555555555555
2022-07-10 15:00:00,7,1,0,32,42,0.07333333333333333
2022-07-10 16:00:00,7,1,0,31,38,0.08
2022-07-11 06:00:00,7,0,1,26,23,0.026666666666666665
2022-07-11 07:00:00,7,0,1,28,51,0.1111111111111111
2022-07-11 08:00:00,7,0,1,31,60,0.43111111111111106
2022-07-11 09:00:00,7,0,1,30,60,0.4777777777777778
2022-07-11 10:00:00,7,0,1,32,60,0.1111111111111111
2022-07-11 11:00:00,7,0,1,34,60,0.44
2022-07-11 12:00:00,7,0,1,32,60,0.1111111111111111
2022-07-11 13:00:00,7,0,1,34,60,0.42
2022-07-11 14:00:00,7,0,1,34,60,0.1111111111111111
2022-07-11 15:00:00,7,0,1,34,60,0.4111111111111111
2022-07-11 16:00:00,7,0,1,33,60,0.13111111111111112
2022-07-12 06:00:00,7,0,1,26,24,0.03111111111111111
2022-07-12 07:00:00,7,0,1,27,53,0.13777777777777778
2022-07-12 08:00:00,7,0,1,28,60,0.44
2022-07-12 09:00:00,7,0,1,28,60,0.5111111111111111
2022-07-12 10:00:00,7,0,1,29,60,0.5066666666666667
2022-07-12 11:00:00,7,0,1,29,60,0.5133333333333334
2022-07-12 12:00:00,7,0,1,29,60,0.5
2022-07-12 13:00:00,7,0,1,29,60,0.49777777777777776
2022-07-12 14:00:00,7,0,1,29,60,0.5311111111111111
2022-07-12 15:00:00,7,0,1,29,60,0.5222222222222223
2022-07-12 16:00:00,7,0,1,26,60,0.5155555555555555
2022-07-13 06:00:00,7,0,1,22,23,0.024444444444444446
2022-07-13 07:00:00,7,0,1,23,34,0.08444444444444445
2022-07-13 08:00:00,7,0,1,23,60,0.43777777777777777
2022-07-13 09:00:00,7,0,1,24,60,0.5266666666666666
2022-07-13 10:00:00,7,0,1,24,60,0.16
2022-07-13 11:00:00,7,0,1,24,60,0.5244444444444445
2022-07-13 12:00:00,7,0,1,24,60,0.1288888888888889
2022-07-13 13:00:00,7,0,1,24,60,0.4666666666666667
2022-07-13 14:00:00,7,0,1,24,60,0.12222222222222222
2022-07-13 15:00:00,7,0,1,25,60,0.34
2022-07-13 16:00:00,7,0,1,27,41,0.09777777777777778
2022-07-14 06:00:00,7,0,1,23,20,0.026666666666666665
2022-07-14 07:00:00,7,0,1,24,39,0.09333333333333334
2022-07-14 08:00:00,7,0,1,25,60,0.46444444444444444
2022-07-14 09:00:00,7,0,1,26,60,0.5444444444444444
2022-07-14 10:00:00,7,0,1,26,60,0.5422222222222222
2022-07-14 11:00:00,7,0,1,27,60,0.5511111111111111
2022-07-14 12:00:00,7,0,1,24,60,0.5577777777777778
2022-07-14 13:00:00,7,0,1,25,60,0.5688888888888889
2022-07-14 14:00:00,7,0,1,24,60,0.5800000000000001
2022-07-14 15:00:00,7,0,1,24,60,0.5666666666666667
2022-07-14 16:00:00,7,0,1,24,60,0.5511111111111111
2022-07-15 06:00:00,7,0,1,24,12,0.017777777777777778
2022-07-15 07:00:00,7,0,1,25,34,0.07111111111111111
2022-07-15 08:00:00,7,0,1,25,60,0.39777777777777773
2022-07-15 09:00:00,7,0,1,22,60,0.48000000000000004
2022-07-15 10:00:00,7,0,1,22,60,0.10222222222222221
2022-07-15 11:00:00,7,0,1,23,60,0.3333333333333333
2022-07-15 12:00:00,7,0,1,24,60,0.09777777777777778
2022-07-15 13:00:00,7,0,1,25,60,0.2644444444444444
2022-07-15 14:00:00,7,0,1,26,60,0.11333333333333333
2022-07-15 15:00:00,7,0,1,24,60,0.20444444444444443
2022-07-15 16:00:00,7,0,1,24,60,0.09333333333333334
2022-07-16 08:00:00,7,1,0,22,57,0.22666666666666666
2022-07-16 10:00:00,7,1,0,23,23,0.06888888888888889
