,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,0.24,0.18
1,0.09,0.36
2,1.09,0.18
3,0.8,2.12
4,0.02,0.53
7,0.18,0.38
8,0.41,0.41
9,1.96,1.27
10,16.3,6.63
12,0.56,0.75
14,0.53,0.77
16,3.13,1.46
17,5.61,5.14
19,0.36,0.77
21,0.02,0.0
22,1.3,0.46
24,2.14,1.31
27,0.18,0.13
31,0.27,0.91
33,0.56,0.57
34,0.24,0.43
35,0.25,0.16
37,0.25,0.24
38,1.63,0.26
40,0.24,0.2
42,0.03,0.46
43,0.35,0.34
44,0.02,0.0
45,0.37,3.62
46,0.03,0.11
47,0.15,0.07
48,0.2,0.01
49,0.02,0.13
50,0.06,0.18
51,0.11,0.29
52,4.91,2.68
53,0.34,0.09
54,0.14,0.06
56,0.24,0.11
57,0.03,0.04
58,0.14,0.04
59,3.51,2.31
62,0.09,0.12
63,0.17,0.03
64,0.03,0.23
66,2.51,3.41
68,0.17,0.02
69,0.11,0.09
71,0.27,0.2
72,0.33,0.28
74,0.3,0.15
75,0.12,0.21
76,0.19,0.11
77,0.09,0.01
78,0.01,0.0
79,0.1,0.07
80,0.95,4.9
82,0.04,0.01
83,0.14,0.16
85,0.09,0.04
86,0.15,0.15
87,1.34,1.3
88,0.09,0.09
90,0.15,0.19
91,0.63,1.35
92,0.86,0.83
93,0.33,0.31
96,0.19,0.17
97,0.1,0.01
98,0.36,0.62
100,0.23,0.07
101,8.96,10.69
102,0.16,0.03
103,0.14,0.01
104,0.1,0.06
107,0.25,0.11
109,0.0,0.68
110,0.53,0.3
111,0.86,0.59
112,1.09,0.62
113,0.28,0.05
114,0.04,0.15
115,4.18,0.82
116,0.02,0.08
117,0.07,0.06
118,0.1,0.35
119,0.04,0.18
123,0.69,0.09
124,0.66,0.1
125,0.76,0.24
126,0.47,0.19
127,1.37,0.5
129,0.32,0.07
130,0.01,0.12
131,0.69,0.46
132,0.33,0.45
133,0.06,0.0
135,0.16,0.2
137,0.21,0.32
138,0.01,0.08
141,0.15,0.08
142,0.37,0.24
143,5.93,2.56
144,0.01,0.13
145,0.15,0.12
146,0.53,0.05
147,0.19,0.14
148,0.4,0.12
149,0.24,0.55
150,1.52,0.25
151,0.21,0.14
153,0.1,0.05
154,0.68,1.1
155,0.33,0.25
157,0.96,1.04
158,0.11,0.17
159,0.02,0.16
160,0.1,0.41
161,0.11,0.36
166,0.05,0.25
167,0.07,0.04
168,0.09,0.11
170,0.0,0.36
173,0.1,0.06
175,0.03,0.02
176,0.06,0.03
179,0.01,0.37
180,0.07,0.09
181,0.14,0.03
183,0.15,0.25
184,0.39,0.01
185,0.01,0.19
186,0.11,0.07
188,0.01,0.01
189,0.08,0.15
190,0.08,0.02
191,0.05,0.01
194,0.05,0.0
195,0.28,0.71
196,0.01,0.0
198,0.28,0.14
199,0.25,1.09
200,0.31,0.1
204,0.43,0.99
207,0.02,0.01
208,0.07,0.21
209,0.54,0.17
210,0.08,0.01
212,0.15,0.5
213,2.52,0.37
214,0.2,0.06
216,0.12,0.31
219,0.67,0.43
220,0.24,0.18
221,0.1,0.07
222,0.2,0.64
223,0.16,0.04
226,0.11,0.53
227,0.44,1.51
228,0.22,0.12
229,0.19,0.11
231,0.15,0.11
232,0.21,0.37
233,0.5,0.6
235,0.48,1.11
236,0.14,0.12
237,0.25,0.18
238,0.74,0.6
239,0.7,0.15
241,1.32,1.81
244,0.14,0.31
245,0.5,0.04
247,0.62,0.14
248,1.63,0.85
250,0.28,2.09
251,0.31,1.68
252,0.36,0.32
253,0.84,1.58
254,1.97,0.48
255,1.95,4.59
258,0.15,0.11
261,1.91,0.87
263,0.29,0.12
265,0.24,1.99
266,4.36,0.76
267,0.39,0.84
268,0.37,0.7
269,2.82,8.85
270,0.36,0.05
272,0.33,0.4
274,4.62,0.92
275,23.02,8.57
277,6.09,2.48
278,0.07,0.34
279,1.16,0.73
280,0.16,1.26
283,0.6,0.89
286,0.46,0.26
288,1.64,1.13
290,2.17,2.68
291,0.01,0.01
292,1.62,0.93
293,0.15,0.06
294,0.14,0.01
296,0.04,0.06
298,0.23,0.04
299,0.05,0.07
300,0.03,0.06
301,0.04,0.18
306,1.16,0.29
307,0.52,0.06
308,0.08,0.44
309,0.12,0.16
311,0.95,6.14
312,0.31,0.22
314,0.36,0.69
315,0.13,0.37
317,0.13,0.19
318,2.64,5.12
319,0.02,0.11
320,0.08,0.04
321,0.17,0.19
322,0.09,0.45
323,1.83,0.57
324,3.27,2.45
325,2.35,4.76
328,0.5,0.41
329,0.12,0.93
330,0.16,0.36
331,0.03,0.1
332,3.52,0.78
333,2.27,0.23
334,2.65,0.9
335,2.32,1.52
337,0.11,4.65
339,3.07,0.36
340,8.01,1.45
341,0.04,0.31
342,0.34,0.92
343,3.6,1.5
345,4.86,1.86
346,1.32,1.23
348,0.92,0.61
349,0.79,0.83
352,1.86,0.6
353,3.48,0.03
354,2.05,2.0
355,1.14,0.82
356,3.9,2.24
358,17.6,3.57
359,1.73,2.8
360,2.48,1.43
361,1.52,0.47
362,0.06,1.14
363,0.02,0.36
