,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,1.53,1.56
1,4.49,1.97
3,29.68,5.26
4,6.33,2.04
6,7.24,6.52
7,3.35,5.37
8,16.4,0.19
9,9.21,1.23
11,14.84,6.43
14,6.73,8.03
15,72.05,22.23
16,14.76,30.96
18,28.98,1.43
19,2.64,12.95
20,0.22,0.35
22,1.98,0.07
23,6.45,11.39
24,12.89,16.82
26,6.57,4.35
28,2.62,0.81
29,1.49,0.28
30,1.75,4.62
32,4.12,2.01
33,0.05,0.7
34,6.7,1.41
35,0.04,0.72
36,2.15,1.37
40,5.16,5.55
41,6.42,2.62
42,1.69,1.58
43,0.58,3.26
44,1.43,4.4
48,4.15,2.95
49,0.45,1.15
51,4.99,6.92
52,11.13,7.31
53,0.41,1.44
55,5.14,2.42
57,5.51,7.09
58,0.48,0.71
60,4.31,6.05
62,0.44,1.39
63,0.52,0.35
64,0.13,5.06
67,2.23,2.88
69,2.33,4.74
70,0.51,1.44
71,0.03,0.15
72,0.42,1.98
73,55.49,36.08
74,2.53,5.14
75,3.27,5.56
76,0.8,2.97
80,53.18,95.52
81,1.15,1.2
82,3.8,6.76
84,0.54,1.84
86,4.69,3.4
87,27.61,25.0
88,0.6,2.55
89,1.64,5.68
90,3.47,1.12
93,5.48,5.93
95,2.92,4.43
96,0.31,6.21
97,2.08,5.06
98,4.15,9.19
99,0.85,4.78
101,171.35,216.41
102,1.36,5.34
104,5.6,6.63
106,14.9,10.0
109,0.24,4.62
113,3.84,1.57
114,1.91,4.78
115,97.4,22.62
116,1.26,0.65
117,1.52,2.64
119,2.34,2.98
120,0.98,2.93
121,3.69,5.21
122,4.36,37.36
124,0.27,4.57
125,1.15,5.12
126,0.54,0.66
128,0.13,1.18
129,7.67,10.56
130,2.56,6.96
131,6.04,7.0
132,3.3,3.88
133,1.82,2.54
134,0.82,1.32
135,3.24,9.09
136,5.22,16.83
137,1.99,3.11
140,1.28,1.04
141,3.32,2.03
142,1.16,1.58
143,29.04,8.11
144,0.54,4.23
147,0.16,0.08
148,0.1,0.07
149,7.09,6.74
150,0.87,5.25
151,2.72,4.37
152,0.64,1.46
153,1.68,4.21
156,8.14,13.06
157,139.44,14.82
162,1.04,0.86
163,4.6,6.16
165,2.28,3.58
166,0.08,0.2
170,2.86,16.02
172,0.26,0.79
173,0.2,0.65
174,0.21,3.37
177,3.33,2.52
178,11.0,3.34
179,1.18,1.01
180,0.73,0.55
181,1.48,1.96
184,0.22,2.38
185,3.58,4.77
187,2.67,0.18
188,0.08,0.18
190,0.58,2.95
191,2.17,0.99
192,12.66,22.0
193,3.7,0.79
194,1.46,4.2
197,2.31,1.66
199,10.48,16.86
200,4.22,2.61
201,6.13,10.91
202,11.12,8.5
203,0.55,2.22
204,5.53,5.16
207,3.91,1.96
209,1.51,3.66
210,1.49,2.72
211,1.25,2.63
212,12.74,11.06
213,38.38,15.53
214,2.15,8.04
216,4.82,4.27
217,0.6,1.68
219,1.87,0.39
222,6.14,2.83
223,0.49,2.38
224,3.69,1.54
225,1.62,5.47
227,22.65,13.09
228,4.85,6.24
229,1.84,3.54
231,4.66,1.6
232,9.27,3.0
234,26.6,4.74
235,6.14,3.02
237,5.28,3.93
240,22.79,1.16
241,21.7,19.29
242,2.69,15.29
244,5.74,1.09
245,5.98,4.37
247,7.05,0.35
248,27.66,33.0
249,38.07,4.79
250,27.21,1.51
251,25.69,9.59
252,19.66,24.75
253,12.54,10.39
254,82.47,19.96
255,31.71,17.16
256,18.18,20.42
257,9.15,6.07
258,6.31,3.96
259,3.34,7.04
260,31.93,11.33
263,3.63,0.46
264,0.59,10.94
265,34.6,1.11
266,45.39,9.52
267,6.12,13.67
268,12.81,7.33
269,14.44,21.36
270,3.68,3.11
271,4.72,0.05
272,8.06,4.55
273,58.41,40.98
274,63.92,7.03
275,179.83,69.26
276,24.25,2.64
277,211.69,56.16
278,10.44,3.19
280,7.86,16.31
281,1.59,0.64
282,23.15,0.6
283,13.56,6.82
284,0.42,3.54
285,1.95,1.42
288,10.74,5.82
290,20.63,20.64
291,3.03,0.96
292,19.3,14.02
293,4.12,0.63
294,0.46,1.54
295,7.27,0.25
298,12.64,1.85
299,6.68,5.42
300,0.67,3.64
301,18.56,1.88
302,2.34,5.83
305,2.53,5.66
307,1.0,5.16
309,6.63,1.06
310,28.07,6.19
312,1.29,0.31
313,1.38,0.38
315,2.23,2.03
317,0.46,2.61
318,46.8,63.85
319,4.64,0.36
320,5.89,3.52
321,3.59,0.31
323,15.21,5.04
324,63.29,20.06
325,67.71,4.57
326,3.95,2.18
328,0.17,1.02
329,2.29,5.96
330,1.94,2.16
332,9.88,11.2
334,13.92,10.46
335,21.27,1.25
336,4.74,13.35
338,56.76,24.5
339,43.88,26.45
340,53.11,4.01
341,6.08,2.08
345,39.9,43.42
346,50.25,10.47
348,9.72,2.52
349,0.79,1.08
350,5.32,13.6
351,103.9,52.9
352,6.56,37.09
353,20.88,11.19
354,38.41,5.68
355,24.1,34.76
356,51.02,5.45
358,51.1,14.5
359,29.92,11.12
360,38.06,4.58
361,1.03,5.73
