,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,12.95,8.32
1,12.19,4.61
2,42.79,3.11
4,35.73,10.01
5,6.75,0.9
6,3.38,11.09
7,40.78,3.83
8,2.53,10.19
10,0.31,12.03
12,1.53,11.69
13,3.31,4.87
17,22.83,1.4
19,5.46,5.18
20,0.41,4.16
22,37.23,27.36
23,4.08,32.7
24,76.07,9.44
25,1.24,1.85
27,1.56,0.59
29,0.75,6.09
31,21.75,30.08
32,2.65,2.53
33,3.74,14.19
35,3.86,0.79
36,2.55,2.79
37,14.2,46.76
38,56.49,2.47
39,11.05,14.49
40,4.94,0.2
42,5.0,1.18
43,100.56,8.17
45,51.83,6.62
47,57.5,10.0
48,1.81,3.23
49,4.13,4.74
50,4.16,0.34
53,0.22,16.31
54,1.2,0.73
55,3.34,0.17
56,2.83,4.09
58,33.37,25.73
59,15.21,22.89
60,1.6,2.97
62,44.28,15.44
63,39.07,27.32
64,22.59,20.88
65,21.77,22.82
66,27.27,0.33
69,92.54,55.93
71,22.71,0.57
72,28.48,20.91
73,31.34,17.11
74,40.33,11.81
75,104.19,4.51
76,8.26,2.35
77,47.25,6.92
78,126.52,1.94
80,inf,inf
81,2.61,16.99
83,63.35,13.54
85,13.71,5.58
86,60.57,7.96
87,37.8,22.86
88,67.16,0.48
89,23.32,14.99
90,9.02,11.62
91,68.0,5.55
93,26.78,12.24
94,13.18,24.79
95,74.66,21.31
96,9.73,13.39
97,26.56,10.1
99,inf,inf
104,89.45,61.16
106,10.09,23.02
108,20.49,35.86
109,29.46,46.96
110,166.89,53.53
111,65.65,13.9
112,161.92,27.26
114,126.76,27.97
117,5.07,2.8
118,14.95,26.16
120,5.57,4.56
121,70.37,33.53
123,24.31,4.3
124,17.26,4.94
125,24.29,5.21
126,13.39,9.19
127,5.96,1.08
128,107.48,2.6
129,53.29,0.51
133,39.04,28.59
136,6.93,3.99
137,86.87,4.98
138,28.15,8.19
139,119.13,37.01
141,8.1,3.55
142,3.48,9.19
144,8.99,23.15
145,59.93,18.86
146,16.08,25.3
149,3.04,26.11
150,53.59,3.45
151,19.61,3.45
152,2.24,3.03
155,0.19,0.01
156,5.13,4.99
157,272.66,164.45
158,10.97,57.0
159,2.74,11.32
160,1.23,2.78
161,5.02,18.51
163,8.17,18.71
166,30.76,10.38
167,1.16,9.47
168,2.65,2.98
170,4.68,7.97
172,75.11,91.38
173,3.94,16.26
175,8.76,11.95
176,1.07,4.94
177,11.07,20.09
178,31.6,6.12
179,8.08,14.43
181,5.12,5.55
182,8.42,3.01
183,1.97,4.31
184,1.16,1.54
185,38.34,2.8
