,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
基本変数のみ,0.74,0.07,0.87,0.88,0.88,0.65,0.61,0.72,0.49,0.65,0.79,0.85,0.87,0.94,0.96,0.66,0.67,0.65,0.55
詳細変数あり,0.88,1.0,0.94,0.99,0.98,0.86,0.77,0.9,0.51,0.9,0.86,0.94,0.92,0.93,0.96,0.9,0.92,0.94,0.82
