,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
基本変数のみ,73.97,24.66,78.58,inf,inf,inf,98.92,104.78,30.22,94.75,59.01,,89.19,68.06,69.01,104.35,158.94,224.82,inf
詳細変数あり,32.58,0.0,30.84,inf,inf,inf,42.91,33.28,29.92,22.98,28.32,,34.26,69.82,57.67,30.82,28.5,48.97,inf
