,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
基本変数のみ,51.52,32.81,44.32,38.17,43.32,69.38,53.79,41.92,32.88,46.5,37.43,51.16,35.78,23.25,17.05,61.83,48.34,65.67,78.53
詳細変数あり,34.14,0.0,29.59,11.5,17.52,43.2,41.37,25.27,32.36,24.25,30.58,33.42,26.89,24.15,17.31,33.16,23.66,27.06,49.24
