,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
基本変数のみ,3.4,1.73,4.52,2.39,4.26,9.22,4.24,2.57,3.06,3.44,3.47,5.78,4.84,2.15,2.62,4.96,3.79,7.32,5.29
詳細変数あり,1.64,0.0,2.49,0.66,1.2,4.43,3.24,1.66,3.25,1.76,4.18,3.35,2.73,1.72,2.11,4.98,1.86,1.91,3.54
