,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1,0.23,3.71
2,20.8,11.28
4,47.27,18.74
5,88.93,20.15
6,1.85,19.64
8,21.49,23.82
9,1.14,30.77
10,14.82,21.59
11,2.51,16.26
12,34.55,21.49
13,74.72,27.67
14,45.13,18.62
16,36.12,16.4
17,18.07,24.21
19,27.39,16.53
21,97.77,14.0
23,25.32,21.12
24,49.79,19.49
25,61.25,24.47
26,17.27,15.91
27,15.81,16.97
28,3.03,20.45
29,14.82,17.81
32,20.77,15.03
34,3.17,19.03
36,17.49,11.67
37,90.56,6.37
40,65.89,15.82
42,99.09,15.44
43,23.53,17.72
44,36.01,12.02
45,31.24,18.28
46,7.4,14.4
48,40.01,5.63
49,14.3,8.28
50,37.67,25.27
51,58.61,11.18
56,42.43,52.8
57,26.2,11.0
58,31.82,3.32
62,5.39,26.18
63,3.9,7.54
65,25.69,3.66
66,40.33,11.32
67,2.42,10.6
69,9.62,15.6
71,9.21,3.88
72,3.37,28.11
73,403.32,10.68
74,16.79,11.23
75,3.44,4.92
76,22.01,3.0
77,2.3,1.79
79,71.97,19.89
81,2.26,1.2
83,3.66,16.82
85,7.45,10.85
86,18.12,32.5
87,55.35,89.5
88,4.47,10.27
89,17.08,6.75
90,19.95,8.73
91,17.18,4.99
92,4.72,52.19
93,60.84,50.21
94,2.67,1.98
95,29.49,14.52
97,7.55,3.55
98,8.06,16.18
99,1.95,44.33
101,11.3,7.08
102,10.92,1.32
106,18.49,13.95
107,900.51,179.79
109,10.73,4.98
110,6.4,0.97
111,12.81,5.24
114,10.74,34.3
115,22.73,15.03
116,8.99,8.95
117,28.63,0.48
119,1.78,9.7
122,63.49,50.25
123,8.43,12.02
128,59.16,54.23
130,4.92,20.59
132,9.16,3.13
133,2.83,0.89
134,2.85,1.28
135,26.62,3.87
136,88.61,13.79
137,4.35,10.08
138,42.72,9.42
139,29.03,33.69
140,3.23,8.37
141,1.8,5.24
142,0.11,24.47
143,25.84,5.28
144,1.1,11.77
145,0.65,6.47
146,11.2,13.46
147,5.09,2.52
148,2.77,6.03
149,7.39,20.66
151,0.78,1.1
152,17.13,12.28
153,19.64,5.75
156,41.62,10.3
159,34.78,11.63
160,27.73,4.41
161,37.24,8.57
164,261.59,19.17
165,2.2,0.73
166,12.72,13.59
168,10.47,1.3
169,1.29,18.98
170,413.26,0.14
171,50.06,26.49
173,18.28,20.48
175,11.33,4.97
176,12.03,17.61
177,52.67,14.25
178,38.24,15.71
180,34.14,2.69
181,5.42,3.87
182,19.35,10.17
183,81.25,43.57
185,32.13,7.89
186,6.72,0.79
187,1.3,0.82
189,4.89,17.1
190,11.23,15.68
193,0.62,2.94
194,5.44,23.5
195,39.64,48.51
197,4.12,5.68
198,19.75,2.57
199,71.47,24.0
202,13.76,16.5
203,31.51,16.26
204,55.58,10.82
205,97.39,20.45
206,73.06,6.33
207,18.68,15.67
208,43.15,17.27
209,17.79,17.99
210,39.04,51.63
212,94.67,8.01
215,32.17,14.12
216,8.83,11.58
217,30.01,13.36
223,34.13,57.97
224,33.03,13.85
226,14.8,94.32
227,26.71,52.02
228,9.61,40.39
230,11.85,17.78
231,96.36,20.21
232,16.23,12.93
234,114.62,19.3
236,53.81,18.58
238,61.45,15.47
239,32.64,14.16
240,131.34,27.38
242,75.18,12.83
243,39.49,11.97
245,36.7,19.08
246,42.1,6.02
247,10.86,15.23
248,7.63,18.58
250,44.68,19.86
252,86.89,75.09
253,8.27,20.12
254,147.43,18.63
255,94.72,20.51
256,49.06,3.97
