,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2019-03-25,19.0,2.0,22.0,9.0,7.0,15.0,2019-03-25
2019-03-26,10.0,1.0,22.0,9.0,7.0,13.0,2019-03-26
2019-03-27,12.0,2.0,6.0,3.0,3.0,4.0,2019-03-27
2019-03-28,7.0,1.0,8.0,3.0,2.0,6.0,2019-03-28
2019-03-29,13.0,1.0,27.0,15.0,16.0,15.0,2019-03-29
2019-03-30,4.0,2.0,2.0,1.0,1.0,1.0,2019-03-30
2019-03-31,3.0,1.0,1.0,2.0,1.0,1.0,2019-03-31
2019-04-01,14.0,2.0,23.0,13.0,13.0,15.0,2019-04-01
2019-04-02,18.0,1.0,26.0,15.0,16.0,16.0,2019-04-02
2019-04-03,21.0,2.0,24.0,15.0,16.0,15.0,2019-04-03
2019-04-04,12.0,1.0,13.0,7.0,7.0,10.0,2019-04-04
2019-04-05,8.0,1.0,5.0,3.0,3.0,3.0,2019-04-05
2019-04-06,3.0,2.0,1.0,1.0,1.0,1.0,2019-04-06
2019-04-07,4.0,1.0,2.0,2.0,1.0,2.0,2019-04-07
2019-04-08,7.0,2.0,25.0,11.0,8.0,14.0,2019-04-08
2019-04-09,12.0,1.0,13.0,6.0,5.0,9.0,2019-04-09
2019-04-10,24.0,2.0,30.0,15.0,18.0,15.0,2019-04-10
2019-04-11,20.0,1.0,16.0,8.0,8.0,15.0,2019-04-11
2019-04-12,14.0,1.0,23.0,15.0,12.0,16.0,2019-04-12
2019-04-13,7.0,2.0,2.0,1.0,1.0,1.0,2019-04-13
2019-04-14,3.0,1.0,1.0,1.0,1.0,1.0,2019-04-14
2019-04-15,6.0,2.0,3.0,1.0,1.0,2.0,2019-04-15
2019-04-16,5.0,1.0,4.0,3.0,3.0,3.0,2019-04-16
2019-04-17,3.0,1.0,1.0,1.0,1.0,1.0,2019-04-17
2019-04-18,4.0,2.0,2.0,1.0,1.0,2.0,2019-04-18
2019-04-19,6.0,1.0,2.0,1.0,1.0,1.0,2019-04-19
2019-04-20,3.0,2.0,1.0,2.0,1.0,1.0,2019-04-20
2019-04-21,4.0,1.0,2.0,1.0,2.0,1.0,2019-04-21
2019-04-22,7.0,1.0,2.0,1.0,1.0,1.0,2019-04-22
2019-04-23,7.0,2.0,1.0,1.0,1.0,2.0,2019-04-23
2019-04-24,6.0,1.0,2.0,1.0,1.0,1.0,2019-04-24
2019-04-25,8.0,1.0,1.0,1.0,1.0,1.0,2019-04-25
2019-04-26,3.0,2.0,15.0,2.0,2.0,1.0,2019-04-26
2019-04-27,3.0,1.0,2.0,1.0,1.0,1.0,2019-04-27
2019-04-28,3.0,2.0,2.0,1.0,1.0,2.0,2019-04-28
2019-04-29,3.0,1.0,1.0,1.0,1.0,1.0,2019-04-29
2019-04-30,3.0,2.0,2.0,1.0,1.0,1.0,2019-04-30
2019-05-01,3.0,1.0,2.0,2.0,1.0,1.0,2019-05-01
2019-05-02,4.0,1.0,1.0,1.0,2.0,1.0,2019-05-02
2019-05-03,3.0,2.0,2.0,1.0,1.0,2.0,2019-05-03
2019-05-04,3.0,1.0,1.0,1.0,1.0,1.0,2019-05-04
2019-05-05,3.0,1.0,2.0,1.0,1.0,1.0,2019-05-05
2019-05-06,3.0,2.0,2.0,1.0,1.0,1.0,2019-05-06
2019-05-07,3.0,1.0,1.0,1.0,1.0,1.0,2019-05-07
2019-05-08,3.0,2.0,2.0,2.0,1.0,2.0,2019-05-08
2019-05-09,6.0,1.0,2.0,1.0,2.0,1.0,2019-05-09
2019-05-10,3.0,1.0,1.0,1.0,1.0,1.0,2019-05-10
2019-05-11,10.0,2.0,2.0,1.0,1.0,1.0,2019-05-11
2019-05-12,7.0,1.0,1.0,1.0,1.0,1.0,2019-05-12
2019-05-13,5.0,1.0,2.0,1.0,1.0,2.0,2019-05-13
2019-05-14,3.0,2.0,2.0,2.0,1.0,1.0,2019-05-14
2019-05-15,3.0,1.0,1.0,1.0,2.0,1.0,2019-05-15
2019-05-16,6.0,2.0,2.0,1.0,1.0,1.0,2019-05-16
2019-05-17,13.0,1.0,2.0,1.0,1.0,1.0,2019-05-17
2019-05-18,9.0,1.0,1.0,1.0,1.0,2.0,2019-05-18
2019-05-19,3.0,2.0,2.0,1.0,1.0,1.0,2019-05-19
2019-05-20,14.0,1.0,1.0,2.0,1.0,1.0,2019-05-20
2019-05-21,11.0,1.0,2.0,1.0,2.0,1.0,2019-05-21
2019-05-22,12.0,2.0,2.0,1.0,1.0,1.0,2019-05-22
2019-05-23,10.0,1.0,1.0,1.0,1.0,2.0,2019-05-23
2019-05-24,12.0,1.0,2.0,1.0,1.0,1.0,2019-05-24
2019-05-25,4.0,2.0,2.0,1.0,1.0,1.0,2019-05-25
2019-05-26,7.0,1.0,1.0,2.0,1.0,1.0,2019-05-26
2019-05-27,20.0,1.0,2.0,1.0,1.0,1.0,2019-05-27
2019-05-28,14.0,2.0,1.0,1.0,2.0,2.0,2019-05-28
2019-05-29,15.0,1.0,2.0,1.0,1.0,1.0,2019-05-29
2019-05-30,11.0,2.0,2.0,1.0,1.0,1.0,2019-05-30
2019-05-31,10.0,1.0,1.0,1.0,1.0,1.0,2019-05-31
2019-06-01,3.0,1.0,2.0,2.0,1.0,1.0,2019-06-01
2019-06-02,3.0,2.0,1.0,1.0,1.0,2.0,2019-06-02
2019-06-03,10.0,1.0,2.0,1.0,1.0,1.0,2019-06-03
2019-06-04,11.0,1.0,2.0,1.0,2.0,1.0,2019-06-04
2019-06-05,9.0,2.0,1.0,1.0,1.0,1.0,2019-06-05
2019-06-06,13.0,1.0,2.0,1.0,1.0,1.0,2019-06-06
2019-06-07,9.0,1.0,2.0,2.0,1.0,2.0,2019-06-07
2019-06-08,4.0,2.0,1.0,1.0,1.0,1.0,2019-06-08
2019-06-09,3.0,1.0,2.0,1.0,1.0,1.0,2019-06-09
2019-06-10,4.0,2.0,1.0,1.0,2.0,1.0,2019-06-10
2019-06-11,6.0,1.0,2.0,1.0,1.0,1.0,2019-06-11
2019-06-12,6.0,1.0,2.0,2.0,1.0,2.0,2019-06-12
2019-06-13,10.0,2.0,1.0,1.0,1.0,1.0,2019-06-13
2019-06-14,11.0,1.0,2.0,1.0,1.0,1.0,2019-06-14
2019-06-15,3.0,1.0,2.0,1.0,1.0,1.0,2019-06-15
2019-06-16,3.0,2.0,1.0,1.0,1.0,1.0,2019-06-16
2019-06-17,10.0,1.0,2.0,1.0,2.0,2.0,2019-06-17
2019-06-18,13.0,1.0,1.0,2.0,1.0,1.0,2019-06-18
2019-06-19,10.0,2.0,2.0,1.0,1.0,1.0,2019-06-19
2019-06-20,12.0,1.0,2.0,1.0,1.0,1.0,2019-06-20
2019-06-21,12.0,2.0,1.0,1.0,1.0,1.0,2019-06-21
2019-06-22,32.0,2.0,2.0,2.0,1.0,3.0,2019-06-22
2019-06-23,21.0,1.0,1.0,0.0,2.0,1.0,2019-06-23
2019-06-24,7.0,1.0,2.0,1.0,1.0,1.0,2019-06-24
2019-06-25,11.0,1.0,7.0,3.0,1.0,2.0,2019-06-25
2019-06-26,14.0,1.0,10.0,8.0,5.0,3.0,2019-06-26
2019-06-27,14.0,1.0,13.0,10.0,7.0,5.0,2019-06-27
2019-06-28,15.0,1.0,15.0,10.0,11.0,6.0,2019-06-28
2019-06-29,4.0,2.0,2.0,1.0,1.0,0.0,2019-06-29
2019-06-30,3.0,1.0,1.0,1.0,1.0,1.0,2019-06-30
2019-07-01,12.0,1.0,2.0,1.0,1.0,1.0,2019-07-01
2019-07-02,12.0,1.0,8.0,6.0,2.0,3.0,2019-07-02
2019-07-03,13.0,1.0,12.0,6.0,4.0,3.0,2019-07-03
2019-07-04,12.0,1.0,4.0,1.0,2.0,3.0,2019-07-04
2019-07-05,11.0,1.0,2.0,1.0,1.0,2.0,2019-07-05
2019-07-06,8.0,2.0,1.0,1.0,1.0,1.0,2019-07-06
2019-07-07,3.0,1.0,2.0,1.0,0.0,1.0,2019-07-07
2019-07-08,13.0,1.0,1.0,1.0,1.0,1.0,2019-07-08
2019-07-09,8.0,1.0,2.0,1.0,2.0,1.0,2019-07-09
2019-07-10,10.0,1.0,1.0,1.0,0.0,1.0,2019-07-10
2019-07-11,10.0,1.0,2.0,1.0,2.0,1.0,2019-07-11
2019-07-12,8.0,2.0,1.0,1.0,0.0,1.0,2019-07-12
2019-07-13,12.0,1.0,1.0,1.0,1.0,1.0,2019-07-13
2019-07-14,3.0,1.0,2.0,1.0,1.0,1.0,2019-07-14
2019-07-15,3.0,1.0,1.0,1.0,1.0,1.0,2019-07-15
2019-07-16,11.0,1.0,2.0,1.0,1.0,1.0,2019-07-16
2019-07-17,13.0,1.0,7.0,1.0,1.0,2.0,2019-07-17
2019-07-18,16.0,1.0,11.0,7.0,6.0,3.0,2019-07-18
2019-07-19,17.0,2.0,15.0,9.0,9.0,5.0,2019-07-19
2019-07-20,6.0,1.0,2.0,1.0,1.0,1.0,2019-07-20
2019-07-21,3.0,1.0,1.0,1.0,1.0,1.0,2019-07-21
2019-07-22,13.0,1.0,2.0,1.0,1.0,1.0,2019-07-22
2019-07-23,12.0,1.0,7.0,5.0,5.0,3.0,2019-07-23
2019-07-24,17.0,1.0,18.0,11.0,11.0,5.0,2019-07-24
2019-07-25,19.0,1.0,30.0,13.0,15.0,11.0,2019-07-25
2019-07-26,19.0,1.0,31.0,13.0,16.0,10.0,2019-07-26
2019-07-27,7.0,1.0,1.0,1.0,1.0,1.0,2019-07-27
2019-07-28,3.0,2.0,1.0,1.0,0.0,1.0,2019-07-28
2019-07-29,23.0,1.0,38.0,19.0,20.0,14.0,2019-07-29
2019-07-30,22.0,1.0,39.0,19.0,21.0,15.0,2019-07-30
2019-07-31,25.0,1.0,40.0,20.0,21.0,14.0,2019-07-31
2019-08-01,25.0,1.0,40.0,19.0,23.0,15.0,2019-08-01
2019-08-02,42.0,1.0,42.0,20.0,25.0,16.0,2019-08-02
2019-08-03,36.0,1.0,1.0,1.0,0.0,1.0,2019-08-03
2019-08-04,33.0,1.0,1.0,1.0,1.0,1.0,2019-08-04
2019-08-05,46.0,1.0,40.0,22.0,19.0,13.0,2019-08-05
2019-08-06,46.0,1.0,39.0,20.0,20.0,13.0,2019-08-06
2019-08-07,49.0,2.0,42.0,24.0,20.0,12.0,2019-08-07
2019-08-08,47.0,1.0,39.0,23.0,19.0,13.0,2019-08-08
2019-08-09,49.0,1.0,40.0,24.0,18.0,13.0,2019-08-09
2019-08-10,34.0,1.0,1.0,1.0,1.0,1.0,2019-08-10
2019-08-11,32.0,1.0,2.0,1.0,0.0,1.0,2019-08-11
2019-08-12,33.0,1.0,1.0,1.0,0.0,1.0,2019-08-12
2019-08-13,42.0,1.0,37.0,17.0,17.0,13.0,2019-08-13
2019-08-14,45.0,1.0,35.0,18.0,17.0,13.0,2019-08-14
2019-08-15,45.0,1.0,36.0,22.0,17.0,11.0,2019-08-15
2019-08-16,44.0,1.0,33.0,21.0,15.0,11.0,2019-08-16
2019-08-17,35.0,2.0,2.0,1.0,0.0,1.0,2019-08-17
2019-08-18,32.0,1.0,1.0,1.0,0.0,1.0,2019-08-18
2019-08-19,43.0,1.0,35.0,21.0,16.0,10.0,2019-08-19
2019-08-20,38.0,1.0,21.0,16.0,16.0,11.0,2019-08-20
2019-08-21,40.0,1.0,27.0,18.0,15.0,9.0,2019-08-21
2019-08-22,36.0,1.0,13.0,12.0,11.0,10.0,2019-08-22
2019-08-23,34.0,1.0,13.0,9.0,11.0,12.0,2019-08-23
2019-08-24,30.0,1.0,1.0,1.0,0.0,1.0,2019-08-24
2019-08-25,26.0,2.0,2.0,1.0,0.0,1.0,2019-08-25
2019-08-26,35.0,1.0,11.0,10.0,10.0,10.0,2019-08-26
2019-08-27,35.0,1.0,14.0,9.0,10.0,11.0,2019-08-27
2019-08-28,35.0,1.0,16.0,14.0,11.0,12.0,2019-08-28
2019-08-29,41.0,1.0,17.0,14.0,16.0,13.0,2019-08-29
2019-08-30,36.0,1.0,11.0,10.0,8.0,11.0,2019-08-30
2019-08-31,30.0,1.0,1.0,1.0,0.0,1.0,2019-08-31
2019-09-01,28.0,1.0,1.0,1.0,0.0,1.0,2019-09-01
2019-09-02,40.0,2.0,35.0,19.0,15.0,12.0,2019-09-02
2019-09-03,37.0,1.0,16.0,16.0,12.0,12.0,2019-09-03
2019-09-04,15.0,1.0,6.0,2.0,3.0,6.0,2019-09-04
2019-09-05,34.0,1.0,15.0,11.0,7.0,11.0,2019-09-05
2019-09-06,39.0,1.0,33.0,15.0,15.0,12.0,2019-09-06
2019-09-07,30.0,1.0,2.0,1.0,0.0,1.0,2019-09-07
2019-09-08,30.0,1.0,1.0,1.0,0.0,1.0,2019-09-08
2019-09-09,45.0,1.0,39.0,17.0,19.0,8.0,2019-09-09
2019-09-10,43.0,1.0,38.0,19.0,19.0,12.0,2019-09-10
2019-09-11,40.0,2.0,37.0,21.0,18.0,11.0,2019-09-11
2019-09-12,36.0,1.0,12.0,10.0,11.0,11.0,2019-09-12
2019-09-13,30.0,1.0,3.0,1.0,2.0,1.0,2019-09-13
2019-09-14,23.0,1.0,2.0,1.0,0.0,1.0,2019-09-14
2019-09-15,25.0,1.0,1.0,1.0,1.0,1.0,2019-09-15
2019-09-16,21.0,1.0,1.0,1.0,1.0,1.0,2019-09-16
2019-09-17,37.0,1.0,21.0,10.0,11.0,4.0,2019-09-17
2019-09-18,27.0,1.0,3.0,1.0,1.0,1.0,2019-09-18
2019-09-19,28.0,2.0,7.0,2.0,1.0,3.0,2019-09-19
2019-09-20,25.0,1.0,6.0,1.0,2.0,2.0,2019-09-20
2019-09-21,22.0,1.0,1.0,0.0,0.0,1.0,2019-09-21
2019-09-22,24.0,1.0,1.0,0.0,1.0,1.0,2019-09-22
2019-09-23,29.0,1.0,2.0,1.0,0.0,1.0,2019-09-23
2019-09-24,32.0,1.0,13.0,12.0,10.0,4.0,2019-09-24
2019-09-25,30.0,1.0,10.0,4.0,6.0,4.0,2019-09-25
2019-09-26,28.0,1.0,7.0,1.0,4.0,3.0,2019-09-26
2019-09-27,31.0,1.0,8.0,1.0,7.0,3.0,2019-09-27
2019-09-28,25.0,2.0,1.0,1.0,0.0,1.0,2019-09-28
2019-09-29,25.0,1.0,1.0,1.0,0.0,1.0,2019-09-29
2019-09-30,33.0,1.0,13.0,7.0,9.0,3.0,2019-09-30
2019-10-01,31.0,1.0,11.0,6.0,7.0,4.0,2019-10-01
2019-10-02,30.0,1.0,9.0,5.0,7.0,4.0,2019-10-02
2019-10-03,32.0,1.0,9.0,1.0,5.0,4.0,2019-10-03
2019-10-04,15.0,1.0,10.0,7.0,8.0,5.0,2019-10-04
2019-10-05,10.0,1.0,1.0,1.0,0.0,1.0,2019-10-05
2019-10-06,6.0,2.0,2.0,1.0,0.0,1.0,2019-10-06
2019-10-07,11.0,1.0,2.0,1.0,0.0,1.0,2019-10-07
2019-10-08,12.0,1.0,5.0,1.0,1.0,2.0,2019-10-08
2019-10-09,11.0,1.0,2.0,1.0,1.0,1.0,2019-10-09
2019-10-10,11.0,1.0,1.0,1.0,0.0,1.0,2019-10-10
2019-10-11,9.0,1.0,2.0,1.0,1.0,1.0,2019-10-11
2019-10-12,3.0,2.0,1.0,1.0,0.0,1.0,2019-10-12
2019-10-13,3.0,1.0,1.0,1.0,0.0,1.0,2019-10-13
2019-10-14,3.0,1.0,2.0,1.0,0.0,1.0,2019-10-14
2019-10-15,10.0,1.0,1.0,1.0,0.0,1.0,2019-10-15
2019-10-16,5.0,1.0,2.0,1.0,0.0,1.0,2019-10-16
2019-10-17,3.0,1.0,1.0,1.0,1.0,1.0,2019-10-17
2019-10-18,4.0,1.0,1.0,1.0,0.0,1.0,2019-10-18
2019-10-19,3.0,2.0,2.0,1.0,0.0,1.0,2019-10-19
2019-10-20,3.0,1.0,1.0,1.0,0.0,1.0,2019-10-20
2019-10-21,6.0,1.0,2.0,1.0,0.0,1.0,2019-10-21
2019-10-22,3.0,1.0,1.0,1.0,1.0,1.0,2019-10-22
2019-10-23,5.0,1.0,2.0,1.0,0.0,1.0,2019-10-23
2019-10-24,4.0,1.0,1.0,1.0,0.0,1.0,2019-10-24
2019-10-25,4.0,2.0,2.0,1.0,1.0,1.0,2019-10-25
2019-10-26,3.0,1.0,1.0,1.0,0.0,1.0,2019-10-26
2019-10-27,4.0,1.0,1.0,1.0,0.0,1.0,2019-10-27
2019-10-28,4.0,1.0,2.0,1.0,0.0,1.0,2019-10-28
2019-10-29,3.0,1.0,1.0,1.0,0.0,1.0,2019-10-29
2019-10-30,4.0,1.0,2.0,1.0,1.0,1.0,2019-10-30
2019-10-31,6.0,2.0,1.0,1.0,0.0,1.0,2019-10-31
2019-11-01,4.0,1.0,2.0,1.0,0.0,1.0,2019-11-01
2019-11-02,3.0,1.0,1.0,1.0,0.0,1.0,2019-11-02
2019-11-03,4.0,1.0,1.0,1.0,0.0,1.0,2019-11-03
2019-11-04,3.0,1.0,2.0,1.0,0.0,1.0,2019-11-04
2019-11-05,3.0,1.0,1.0,1.0,1.0,1.0,2019-11-05
2019-11-06,3.0,2.0,2.0,1.0,1.0,1.0,2019-11-06
2019-11-07,3.0,1.0,1.0,1.0,0.0,1.0,2019-11-07
2019-11-08,4.0,1.0,2.0,1.0,1.0,1.0,2019-11-08
2019-11-09,3.0,1.0,1.0,1.0,0.0,1.0,2019-11-09
2019-11-10,3.0,1.0,1.0,1.0,0.0,1.0,2019-11-10
2019-11-11,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-11
2019-11-12,5.0,1.0,1.0,1.0,1.0,1.0,2019-11-12
2019-11-13,3.0,1.0,2.0,1.0,0.0,1.0,2019-11-13
2019-11-14,3.0,1.0,1.0,1.0,1.0,1.0,2019-11-14
2019-11-15,4.0,1.0,2.0,1.0,1.0,1.0,2019-11-15
2019-11-16,3.0,2.0,1.0,1.0,0.0,1.0,2019-11-16
2019-11-17,3.0,1.0,2.0,1.0,0.0,1.0,2019-11-17
2019-11-18,3.0,1.0,1.0,1.0,1.0,1.0,2019-11-18
2019-11-19,3.0,1.0,2.0,1.0,0.0,2.0,2019-11-19
2019-11-20,4.0,1.0,1.0,1.0,0.0,1.0,2019-11-20
2019-11-21,3.0,1.0,1.0,1.0,1.0,1.0,2019-11-21
2019-11-22,8.0,2.0,24.0,1.0,1.0,12.0,2019-11-22
2019-11-23,7.0,1.0,1.0,1.0,0.0,1.0,2019-11-23
2019-11-24,4.0,1.0,2.0,1.0,0.0,2.0,2019-11-24
2019-11-25,3.0,1.0,2.0,1.0,0.0,1.0,2019-11-25
2019-11-26,10.0,1.0,27.0,2.0,1.0,15.0,2019-11-26
2019-11-27,15.0,2.0,25.0,4.0,0.0,14.0,2019-11-27
2019-11-28,15.0,1.0,25.0,1.0,1.0,15.0,2019-11-28
2019-11-29,14.0,1.0,29.0,6.0,0.0,15.0,2019-11-29
2019-11-30,18.0,1.0,2.0,2.0,1.0,2.0,2019-11-30
2019-12-01,3.0,2.0,1.0,1.0,1.0,1.0,2019-12-01
2019-12-02,23.0,1.0,27.0,8.0,1.0,15.0,2019-12-02
2019-12-03,12.0,1.0,19.0,2.0,0.0,9.0,2019-12-03
2019-12-04,17.0,1.0,20.0,2.0,1.0,15.0,2019-12-04
2019-12-05,20.0,1.0,22.0,4.0,1.0,16.0,2019-12-05
2019-12-06,29.0,2.0,27.0,6.0,1.0,15.0,2019-12-06
2019-12-07,21.0,1.0,2.0,1.0,0.0,1.0,2019-12-07
2019-12-08,3.0,1.0,1.0,1.0,1.0,1.0,2019-12-08
2019-12-09,27.0,1.0,32.0,16.0,1.0,16.0,2019-12-09
2019-12-10,24.0,2.0,24.0,4.0,1.0,15.0,2019-12-10
2019-12-11,18.0,1.0,21.0,4.0,0.0,11.0,2019-12-11
2019-12-12,13.0,1.0,14.0,2.0,1.0,7.0,2019-12-12
2019-12-13,19.0,1.0,29.0,7.0,0.0,15.0,2019-12-13
2019-12-14,14.0,2.0,1.0,2.0,1.0,2.0,2019-12-14
2019-12-15,4.0,1.0,2.0,1.0,1.0,1.0,2019-12-15
2019-12-16,28.0,1.0,29.0,6.0,0.0,15.0,2019-12-16
2019-12-17,27.0,1.0,28.0,9.0,1.0,16.0,2019-12-17
2019-12-18,19.0,1.0,20.0,4.0,1.0,15.0,2019-12-18
2019-12-19,29.0,2.0,27.0,4.0,0.0,15.0,2019-12-19
2019-12-20,26.0,1.0,22.0,3.0,1.0,15.0,2019-12-20
2019-12-21,27.0,1.0,1.0,2.0,1.0,2.0,2019-12-21
2019-12-22,7.0,1.0,2.0,1.0,0.0,1.0,2019-12-22
2019-12-23,28.0,1.0,28.0,8.0,1.0,15.0,2019-12-23
2019-12-24,25.0,2.0,2.0,1.0,0.0,1.0,2019-12-24
2019-12-25,27.0,1.0,31.0,15.0,1.0,16.0,2019-12-25
2019-12-26,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-26
2019-12-27,22.0,1.0,24.0,5.0,1.0,15.0,2019-12-27
2019-12-28,12.0,2.0,2.0,1.0,0.0,1.0,2019-12-28
2019-12-29,3.0,1.0,2.0,1.0,1.0,1.0,2019-12-29
2019-12-30,4.0,1.0,1.0,1.0,1.0,1.0,2019-12-30
2019-12-31,3.0,1.0,2.0,1.0,0.0,2.0,2019-12-31
2020-01-01,3.0,2.0,2.0,2.0,1.0,1.0,2020-01-01
2020-01-02,4.0,1.0,1.0,1.0,1.0,1.0,2020-01-02
2020-01-03,3.0,1.0,33.0,18.0,1.0,17.0,2020-01-03
2020-01-04,21.0,1.0,2.0,1.0,0.0,1.0,2020-01-04
2020-01-05,3.0,2.0,1.0,1.0,1.0,1.0,2020-01-05
2020-01-06,31.0,1.0,30.0,15.0,1.0,17.0,2020-01-06
2020-01-07,29.0,1.0,32.0,15.0,1.0,15.0,2020-01-07
2020-01-08,30.0,1.0,32.0,15.0,0.0,16.0,2020-01-08
2020-01-09,23.0,2.0,22.0,4.0,1.0,14.0,2020-01-09
2020-01-10,20.0,1.0,27.0,7.0,1.0,15.0,2020-01-10
2020-01-11,21.0,1.0,1.0,1.0,1.0,1.0,2020-01-11
2020-01-12,3.0,1.0,2.0,1.0,0.0,2.0,2020-01-12
2020-01-13,4.0,2.0,2.0,1.0,1.0,1.0,2020-01-13
2020-01-14,22.0,1.0,27.0,7.0,1.0,15.0,2020-01-14
2020-01-15,29.0,1.0,29.0,9.0,1.0,15.0,2020-01-15
2020-01-16,31.0,1.0,30.0,8.0,0.0,15.0,2020-01-16
2020-01-17,32.0,2.0,29.0,6.0,1.0,15.0,2020-01-17
2020-01-18,15.0,1.0,2.0,2.0,1.0,1.0,2020-01-18
2020-01-19,3.0,1.0,1.0,1.0,1.0,2.0,2020-01-19
2020-01-20,31.0,1.0,26.0,7.0,0.0,15.0,2020-01-20
2020-01-21,31.0,2.0,29.0,7.0,1.0,15.0,2020-01-21
2020-01-22,37.0,1.0,34.0,15.0,1.0,17.0,2020-01-22
2020-01-23,33.0,1.0,32.0,15.0,1.0,15.0,2020-01-23
2020-01-24,18.0,1.0,23.0,5.0,1.0,16.0,2020-01-24
2020-01-25,20.0,2.0,2.0,1.0,0.0,1.0,2020-01-25
2020-01-26,13.0,1.0,2.0,1.0,1.0,1.0,2020-01-26
2020-01-27,32.0,1.0,33.0,15.0,1.0,17.0,2020-01-27
2020-01-28,35.0,1.0,35.0,16.0,1.0,15.0,2020-01-28
2020-01-29,24.0,2.0,15.0,3.0,0.0,7.0,2020-01-29
2020-01-30,23.0,1.0,17.0,2.0,1.0,8.0,2020-01-30
2020-01-31,28.0,1.0,27.0,6.0,0.0,16.0,2020-01-31
2020-02-01,13.0,1.0,2.0,1.0,1.0,1.0,2020-02-01
2020-02-02,14.0,1.0,2.0,1.0,1.0,2.0,2020-02-02
2020-02-03,27.0,2.0,24.0,5.0,1.0,15.0,2020-02-03
2020-02-04,21.0,1.0,28.0,5.0,1.0,15.0,2020-02-04
2020-02-05,26.0,1.0,23.0,4.0,0.0,15.0,2020-02-05
2020-02-06,35.0,1.0,36.0,16.0,1.0,18.0,2020-02-06
2020-02-07,35.0,2.0,35.0,12.0,1.0,18.0,2020-02-07
2020-02-08,22.0,1.0,2.0,1.0,1.0,1.0,2020-02-08
2020-02-09,20.0,1.0,2.0,1.0,1.0,1.0,2020-02-09
2020-02-10,34.0,2.0,33.0,16.0,0.0,16.0,2020-02-10
2020-02-11,3.0,1.0,1.0,1.0,1.0,1.0,2020-02-11
2020-02-12,28.0,1.0,28.0,5.0,1.0,16.0,2020-02-12
2020-02-13,26.0,1.0,18.0,6.0,1.0,9.0,2020-02-13
2020-02-14,19.0,1.0,20.0,2.0,1.0,7.0,2020-02-14
2020-02-15,11.0,2.0,2.0,1.0,0.0,2.0,2020-02-15
2020-02-16,4.0,1.0,2.0,1.0,0.0,1.0,2020-02-16
2020-02-17,25.0,1.0,23.0,6.0,0.0,15.0,2020-02-17
2020-02-18,18.0,1.0,27.0,5.0,1.0,15.0,2020-02-18
2020-02-19,21.0,2.0,27.0,5.0,0.0,15.0,2020-02-19
2020-02-20,25.0,1.0,25.0,6.0,1.0,16.0,2020-02-20
2020-02-21,19.0,1.0,24.0,3.0,1.0,15.0,2020-02-21
2020-02-22,13.0,1.0,2.0,2.0,0.0,1.0,2020-02-22
2020-02-23,3.0,1.0,1.0,1.0,1.0,2.0,2020-02-23
2020-02-24,4.0,2.0,2.0,1.0,0.0,1.0,2020-02-24
2020-02-25,22.0,1.0,22.0,3.0,1.0,15.0,2020-02-25
2020-02-26,25.0,1.0,28.0,6.0,1.0,15.0,2020-02-26
2020-02-27,28.0,1.0,29.0,6.0,0.0,15.0,2020-02-27
2020-02-28,25.0,2.0,28.0,6.0,1.0,16.0,2020-02-28
2020-02-29,10.0,1.0,2.0,1.0,1.0,2.0,2020-02-29
2020-03-01,4.0,1.0,2.0,1.0,1.0,1.0,2020-03-01
2020-03-02,29.0,1.0,30.0,8.0,0.0,15.0,2020-03-02
2020-03-03,21.0,1.0,17.0,2.0,1.0,10.0,2020-03-03
2020-03-04,24.0,2.0,27.0,3.0,1.0,15.0,2020-03-04
2020-03-05,25.0,1.0,25.0,3.0,1.0,15.0,2020-03-05
2020-03-06,22.0,1.0,23.0,4.0,0.0,15.0,2020-03-06
2020-03-07,17.0,1.0,1.0,1.0,1.0,2.0,2020-03-07
2020-03-08,8.0,2.0,2.0,1.0,1.0,1.0,2020-03-08
2020-03-09,24.0,1.0,14.0,4.0,0.0,7.0,2020-03-09
2020-03-10,18.0,1.0,13.0,2.0,1.0,5.0,2020-03-10
2020-03-11,15.0,1.0,7.0,1.0,0.0,2.0,2020-03-11
2020-03-12,22.0,1.0,15.0,3.0,1.0,10.0,2020-03-12
2020-03-13,15.0,2.0,11.0,2.0,0.0,5.0,2020-03-13
2020-03-14,14.0,1.0,2.0,1.0,1.0,1.0,2020-03-14
2020-03-15,3.0,1.0,2.0,2.0,0.0,2.0,2020-03-15
2020-03-16,25.0,1.0,26.0,6.0,1.0,15.0,2020-03-16
2020-03-17,30.0,2.0,28.0,7.0,1.0,15.0,2020-03-17
2020-03-18,18.0,1.0,11.0,3.0,0.0,7.0,2020-03-18
2020-03-19,13.0,1.0,9.0,3.0,1.0,14.0,2020-03-19
2020-03-20,3.0,1.0,1.0,1.0,0.0,2.0,2020-03-20
2020-03-21,9.0,1.0,2.0,1.0,1.0,1.0,2020-03-21
2020-03-22,3.0,1.0,1.0,1.0,0.0,1.0,2020-03-22
2020-03-23,16.0,2.0,24.0,3.0,1.0,6.0,2020-03-23
2020-03-24,20.0,1.0,26.0,3.0,1.0,15.0,2020-03-24
2020-03-25,17.0,1.0,18.0,2.0,1.0,12.0,2020-03-25
