,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2018-06-23,16.0,1.0,1.0,1.0,1.0,1.0,2018-06-23
2018-06-24,16.0,2.0,2.0,1.0,2.0,1.0,2018-06-24
2018-06-25,26.0,1.0,11.0,12.0,13.0,3.0,2018-06-25
2018-06-26,23.0,1.0,10.0,10.0,12.0,4.0,2018-06-26
2018-06-27,25.0,1.0,13.0,16.0,16.0,10.0,2018-06-27
2018-06-28,25.0,1.0,27.0,18.0,20.0,12.0,2018-06-28
2018-06-29,27.0,2.0,15.0,18.0,21.0,13.0,2018-06-29
2018-06-30,21.0,2.0,1.0,1.0,1.0,1.0,2018-06-30
2018-07-01,10.0,1.0,2.0,1.0,1.0,1.0,2018-07-01
2018-07-02,31.0,9.0,36.0,23.0,20.0,13.0,2018-07-02
2018-07-03,30.0,8.0,35.0,17.0,20.0,13.0,2018-07-03
2018-07-04,27.0,2.0,32.0,20.0,18.0,11.0,2018-07-04
2018-07-05,22.0,2.0,16.0,17.0,18.0,11.0,2018-07-05
2018-07-06,20.0,2.0,4.0,3.0,1.0,1.0,2018-07-06
2018-07-07,16.0,1.0,1.0,1.0,1.0,1.0,2018-07-07
2018-07-08,14.0,1.0,1.0,1.0,0.0,1.0,2018-07-08
2018-07-09,28.0,2.0,30.0,20.0,19.0,7.0,2018-07-09
2018-07-10,43.0,5.0,36.0,18.0,22.0,7.0,2018-07-10
2018-07-11,52.0,5.0,36.0,19.0,23.0,9.0,2018-07-11
2018-07-12,45.0,3.0,11.0,15.0,16.0,11.0,2018-07-12
2018-07-13,54.0,3.0,38.0,16.0,21.0,13.0,2018-07-13
2018-07-14,25.0,4.0,1.0,0.0,1.0,1.0,2018-07-14
2018-07-15,14.0,1.0,1.0,1.0,1.0,1.0,2018-07-15
2018-07-16,13.0,1.0,2.0,1.0,0.0,1.0,2018-07-16
2018-07-17,51.0,6.0,17.0,10.0,10.0,7.0,2018-07-17
