,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
1,31.78,24.37
2,22.04,18.43
3,26.1,18.67
4,29.93,33.22
5,3.18,0.66
6,5.09,5.64
7,25.6,17.34
8,8.26,10.73
9,11.33,5.69
10,10.57,5.4
12,3.77,2.35
13,10.91,11.98
14,0.49,2.7
15,6.96,8.21
18,23.97,25.13
19,33.21,30.13
21,24.21,29.26
23,5.93,16.39
26,8.08,6.81
27,18.38,19.44
28,9.83,13.82
29,10.25,2.02
30,49.12,42.52
31,9.35,4.51
33,11.04,3.62
34,17.09,15.05
35,7.7,7.42
38,21.07,17.72
39,9.31,6.65
41,2.34,2.23
42,5.33,9.18
43,3.72,4.8
44,54.79,42.19
48,17.85,16.19
49,18.49,17.67
51,17.52,13.61
52,23.39,25.85
54,31.98,26.58
57,3.7,5.12
58,8.44,5.29
59,48.1,36.43
61,10.37,27.15
62,196.78,154.28
63,26.4,21.75
64,11.77,7.06
65,21.47,16.53
66,33.92,24.33
67,6.98,17.71
68,25.61,24.72
70,18.52,16.73
71,2.61,3.86
73,49.47,33.21
74,8.32,0.8
77,34.54,26.37
78,4.94,13.41
79,46.01,97.0
81,73.29,94.7
82,14.16,28.96
84,110.17,105.35
85,28.01,23.73
86,13.34,14.87
87,17.04,14.86
88,91.42,84.94
89,317.62,278.26
91,56.97,79.31
92,119.46,98.02
93,4.43,9.9
94,117.55,98.38
95,48.12,37.75
96,1.14,8.24
98,4.99,14.38
101,16.64,21.26
103,39.04,37.03
104,44.77,35.69
105,10.46,18.77
106,28.05,26.11
107,69.2,71.4
113,2.37,8.51
114,26.45,16.16
115,1.77,4.48
117,14.35,13.33
118,8.87,8.21
119,16.33,15.01
120,7.68,7.84
121,0.61,3.76
