,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
1,11.34,8.44
3,20.73,14.81
6,1.0,3.15
8,26.69,24.51
9,20.35,24.95
10,10.33,22.81
11,13.31,11.52
12,6.1,10.49
13,19.88,12.58
15,14.72,4.74
16,5.88,14.72
19,24.67,9.54
20,22.41,4.09
21,24.1,17.21
22,6.83,3.95
23,5.6,3.68
24,1.74,0.92
25,6.57,5.72
27,40.31,18.35
30,1.77,22.73
31,2.79,10.71
33,2.9,2.87
34,9.17,2.64
35,3.57,2.67
36,2.5,2.23
39,1.19,1.52
40,1.9,0.87
42,5.32,3.64
43,10.42,6.42
44,20.73,16.3
45,4.61,0.63
46,7.61,0.51
48,1.22,1.73
50,3.38,7.69
51,17.31,15.15
52,34.75,35.2
53,2.05,6.05
54,27.9,16.39
56,14.57,6.97
57,4.33,3.43
58,11.24,8.58
59,15.72,5.47
61,1.87,2.59
62,212.15,168.43
63,23.85,15.25
64,35.41,6.84
65,22.31,30.79
66,26.78,24.45
67,7.13,11.16
70,5.0,7.51
71,8.04,1.34
73,34.81,35.98
74,0.64,0.55
77,12.79,43.33
78,4.97,15.75
79,81.27,61.83
81,106.43,92.07
83,32.39,40.77
84,93.67,57.2
85,6.37,7.84
86,36.75,24.62
87,2.25,0.08
88,70.96,53.92
90,67.4,44.02
91,3.63,0.46
92,142.26,131.02
93,0.61,3.18
94,104.8,88.62
97,11.79,11.92
98,27.94,21.87
99,18.06,41.5
100,21.17,13.27
101,1.94,9.86
102,19.32,13.07
103,42.14,57.89
104,34.15,27.16
109,56.77,52.41
110,30.98,25.5
111,8.51,12.43
112,1.58,1.38
113,7.15,9.04
114,6.52,1.54
117,1.84,1.43
118,11.9,7.81
119,22.82,24.11
