,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1,33.34,10.75
2,11.57,9.53
4,213.15,28.62
5,248.27,9.2
6,28.75,3.0
8,33.29,7.57
9,236.87,36.4
10,20.17,7.66
11,33.3,4.12
12,237.17,2.84
13,21.14,1.15
14,20.47,10.44
16,0.0,9.63
17,125.95,19.92
19,11.87,2.8
21,0.98,24.97
23,76.53,7.06
24,66.34,9.01
25,293.14,10.34
26,216.68,10.62
27,70.3,11.0
28,108.97,10.8
29,6.92,4.63
32,99.56,11.56
34,139.28,7.2
36,30.12,4.52
37,100.29,11.46
40,11.75,0.17
42,19.07,0.38
43,5.39,7.11
44,0.71,10.0
45,54.17,7.31
46,22.74,15.4
48,12.54,2.33
49,6.6,19.36
50,1.94,0.46
51,121.17,13.59
56,28.07,10.88
57,1.98,1.68
58,33.16,3.02
62,8.72,2.73
63,1.79,4.56
65,23.21,19.51
66,80.76,26.1
67,20.03,1.71
69,43.42,32.77
71,8.97,16.21
72,3.02,29.61
73,0.02,49.1
74,15.51,7.64
75,15.09,10.84
76,18.15,3.2
77,7.73,11.48
79,11.47,10.23
81,0.81,7.67
83,62.19,14.83
85,19.39,9.26
86,5.19,0.63
87,55.0,2.77
88,46.7,0.25
89,74.17,10.1
90,64.81,14.52
91,73.96,9.72
92,57.38,10.84
93,21.26,8.69
94,9.11,32.75
95,9.15,0.46
97,3.55,8.4
98,6.84,0.9
99,4.91,15.42
101,8.0,7.18
102,5.36,3.16
106,5.23,3.95
107,6.64,0.65
109,4.47,3.25
110,0.26,1.57
111,4.4,2.66
114,1.67,4.8
115,126.77,21.52
116,9.14,4.85
117,15.29,9.29
119,21.23,10.18
122,7.8,41.9
123,8.33,8.3
128,17.9,11.67
130,24.83,12.45
132,15.22,13.26
133,2.9,2.81
134,13.99,6.19
135,77.1,5.5
136,26.36,9.04
137,13.64,20.93
138,5.63,2.91
139,9.39,7.84
140,1.9,4.34
141,4.21,10.31
142,95.66,2.28
143,219.45,8.94
144,0.83,1.25
145,0.48,5.17
146,8.26,12.56
147,2.36,2.2
148,25.98,20.82
149,14.22,26.37
151,12.87,15.96
152,20.17,7.18
153,28.27,12.68
156,17.3,5.99
159,0.68,15.91
160,5.02,6.01
161,11.32,2.34
164,58.45,13.84
165,9.94,0.14
166,1.04,17.14
168,7.86,10.08
169,10.22,5.02
170,7.82,11.12
171,69.61,2.26
173,28.22,10.93
175,448.46,7.54
176,2.71,18.59
177,9.11,0.39
178,42.02,5.94
180,0.19,12.35
181,17.97,11.98
182,7.17,4.16
183,1.63,6.16
185,9.7,2.97
186,3.01,3.96
187,6.76,9.21
189,6.42,1.82
190,0.38,7.27
