,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
Case1,0.48,-0.03,0.4,0.34,0.36,0.28,0.21,0.23,0.25,0.44,0.46,0.42,0.54,0.19,0.11,0.43,0.41,0.42,0.37
Case2,0.86,-0.05,0.88,0.84,0.92,0.59,0.36,0.55,0.36,0.62,0.77,0.65,0.68,0.59,0.48,0.68,0.64,0.7,0.44
Case3,0.88,-0.04,0.93,0.82,0.93,0.66,0.48,0.55,0.62,0.65,0.74,0.69,0.78,0.77,0.67,0.71,0.76,0.73,0.51
Case4,0.79,0.23,0.9,0.88,0.91,0.74,0.55,0.49,0.63,0.75,0.75,0.8,0.9,0.93,0.93,0.68,0.73,0.68,0.53
